step,split_counties,split_munis
0,64,282
1,64,285
2,64,285
3,64,287
4,64,287
5,64,287
6,64,288
7,64,289
8,64,289
9,64,289
10,64,290
11,64,289
12,64,290
13,64,290
14,64,292
15,64,290
16,64,291
17,64,290
18,64,290
19,64,290
20,64,293
21,64,292
22,64,292
23,64,292
24,64,292
25,64,297
26,64,292
27,64,292
28,64,291
29,64,291
30,64,292
31,64,292
32,64,292
33,64,292
34,64,295
35,64,298
36,64,299
37,64,299
38,64,300
39,64,300
40,65,299
41,65,294
42,65,293
43,65,293
44,65,293
45,65,291
46,65,289
47,66,289
48,66,291
49,66,293
50,66,293
51,66,293
52,66,293
53,66,294
54,66,294
55,66,293
56,66,292
57,66,292
58,66,294
59,66,294
60,66,295
61,66,295
62,66,294
63,66,295
64,66,293
65,66,293
66,66,295
67,66,293
68,66,294
69,66,294
70,66,292
71,66,291
72,66,291
73,66,290
74,66,290
75,66,290
76,66,290
77,66,288
78,66,288
79,66,288
80,66,289
81,66,290
82,66,290
83,66,290
84,66,294
85,66,294
86,66,293
87,66,289
88,66,289
89,66,289
90,66,288
91,66,287
92,66,287
93,66,287
94,66,288
95,66,291
96,66,290
97,66,289
98,66,289
99,65,289
100,65,289
101,65,289
102,65,290
103,65,292
104,65,296
105,65,296
106,65,296
107,65,296
108,65,296
109,65,297
110,65,298
111,65,299
112,65,299
113,65,300
114,65,300
115,65,299
116,65,301
117,65,299
118,65,305
119,65,303
120,65,305
121,65,305
122,65,305
123,65,305
124,65,305
125,65,305
126,65,306
127,65,306
128,65,306
129,65,308
130,65,308
131,65,303
132,65,302
133,65,303
134,65,305
135,65,305
136,65,304
137,65,304
138,65,302
139,65,302
140,65,302
141,65,297
142,65,296
143,65,294
144,65,294
145,65,295
146,65,296
147,65,296
148,65,298
149,65,299
150,65,299
151,65,300
152,65,299
153,65,296
154,65,296
155,65,296
156,65,296
157,65,296
158,65,296
159,65,299
160,65,299
161,65,301
162,65,302
163,65,300
164,65,300
165,65,301
166,65,303
167,65,306
168,65,306
169,65,306
170,65,306
171,65,306
172,65,308
173,65,308
174,65,308
175,65,308
176,65,306
177,65,306
178,65,307
179,65,310
180,65,310
181,65,311
182,65,312
183,65,312
184,65,312
185,65,312
186,65,311
187,65,311
188,65,309
189,65,309
190,65,308
191,65,309
192,65,309
193,65,309
194,65,309
195,65,315
196,66,315
197,66,315
198,66,313
199,66,311
200,66,313
201,66,313
202,66,316
203,66,315
204,66,314
205,66,315
206,66,315
207,66,315
208,66,315
209,66,315
210,66,315
211,66,317
212,66,317
213,66,319
214,66,318
215,66,312
216,66,307
217,66,306
218,66,306
219,66,306
220,66,305
221,66,306
222,66,308
223,66,309
224,66,308
225,66,310
226,66,310
227,66,310
228,66,310
229,66,310
230,66,307
231,66,307
232,66,306
233,66,305
234,66,307
235,66,306
236,66,307
237,66,311
238,67,312
239,67,310
240,67,307
241,67,306
242,67,306
243,67,306
244,67,306
245,67,304
246,66,301
247,66,301
248,66,301
249,66,301
250,66,301
251,66,303
