step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,281
4,64,280
5,64,282
6,64,284
7,64,284
8,64,285
9,64,285
10,64,285
11,64,285
12,64,287
13,64,286
14,64,286
15,64,286
16,64,286
17,64,285
18,64,284
19,64,285
20,64,286
21,64,286
22,64,286
23,64,286
24,64,286
25,64,286
26,64,286
27,64,283
28,64,284
29,64,284
30,64,284
31,64,283
32,64,285
33,64,284
34,64,283
35,64,283
36,64,281
37,64,281
38,65,281
39,65,281
40,65,282
41,65,281
42,64,282
43,64,281
44,64,284
45,64,285
46,64,285
47,64,286
48,64,287
49,65,287
50,65,286
51,65,285
52,65,285
53,65,285
54,65,285
55,65,284
56,65,286
57,65,286
58,65,286
59,65,286
60,65,285
61,65,287
62,65,287
63,65,286
64,65,286
65,65,287
66,65,287
67,65,288
68,65,289
69,65,289
70,65,289
71,65,289
72,65,289
73,65,290
74,65,290
75,65,291
76,65,291
77,65,292
78,65,293
79,65,291
80,65,291
81,65,293
82,65,292
83,65,293
84,65,294
85,65,291
86,65,291
87,65,290
88,65,291
89,65,295
90,65,296
91,65,296
92,65,296
93,65,293
94,65,293
95,65,292
96,65,292
97,65,293
98,65,293
99,65,293
100,65,293
101,65,295
102,65,296
103,65,296
104,65,296
105,65,297
106,65,299
107,65,300
108,65,299
109,65,299
110,65,299
111,65,298
112,65,298
113,65,298
114,65,298
115,65,298
116,65,300
117,65,300
118,65,299
119,65,298
120,65,299
121,65,299
122,65,298
123,65,298
124,65,300
125,65,300
126,65,300
127,65,299
128,65,294
129,65,294
130,66,297
131,66,297
132,66,297
133,66,297
134,66,296
135,66,296
136,66,297
137,66,296
138,66,297
139,65,297
140,65,297
141,65,299
142,65,301
143,65,301
144,65,301
145,65,299
146,65,299
147,65,299
148,65,298
149,65,298
150,65,299
151,65,298
152,65,299
153,65,298
154,66,297
155,66,297
156,66,296
157,66,296
158,66,297
159,66,299
160,66,298
161,66,298
162,66,297
163,66,297
164,66,298
165,66,297
166,66,298
167,66,298
168,66,298
169,66,299
170,66,300
171,66,300
172,67,301
173,67,301
174,67,301
175,67,301
176,67,303
177,67,303
178,67,302
179,67,302
180,67,304
181,67,304
182,67,303
183,67,305
184,67,305
185,67,308
186,67,307
187,67,305
188,67,307
189,67,311
190,67,308
191,67,310
192,67,309
193,67,309
194,67,310
195,67,313
196,67,311
197,67,311
198,67,309
199,67,310
200,67,308
201,67,309
202,67,312
203,67,312
204,67,311
205,67,309
206,67,308
207,67,308
208,66,308
209,66,309
210,66,306
211,66,305
212,66,306
213,66,306
214,66,304
215,66,303
216,66,301
217,66,300
218,66,301
219,66,301
220,66,301
221,66,301
222,66,298
223,66,299
224,66,299
225,66,298
226,66,300
227,66,300
228,66,300
229,66,299
230,66,299
231,66,301
232,67,300
233,67,297
234,67,297
235,67,297
236,67,298
237,67,296
238,67,296
239,67,296
240,67,296
241,67,295
242,66,295
243,66,293
244,66,293
245,66,293
246,66,293
247,66,293
248,66,293
249,66,292
250,66,292
251,66,292
252,66,291
253,66,291
254,66,293
255,66,294
256,66,292
257,66,292
258,66,292
259,66,290
260,66,289
261,66,290
262,66,289
263,66,288
264,66,289
265,66,289
266,66,292
267,66,292
268,66,291
269,66,291
270,66,291
271,66,292
272,66,292
273,66,289
274,66,290
275,66,290
276,66,291
277,66,290
278,66,290
279,66,290
280,66,290
281,66,293
282,66,292
283,66,292
284,66,292
285,66,292
286,65,298
287,65,298
288,65,299
289,65,295
290,65,295
291,65,298
292,65,295
293,65,295
294,65,295
295,65,296
296,65,294
297,65,296
298,65,298
299,65,298
300,65,297
301,65,297
302,65,299
303,65,299
304,65,299
305,65,302
306,65,302
307,65,301
308,65,301
309,65,301
310,65,302
311,65,303
312,65,303
313,65,302
314,65,302
315,65,301
316,65,301
317,65,301
318,65,300
319,65,299
320,65,300
321,65,301
322,65,301
323,65,299
324,65,299
325,65,299
326,65,299
327,65,300
328,65,301
329,65,301
330,64,302
331,64,302
332,64,302
333,64,302
334,64,303
335,64,301
336,64,301
337,64,303
338,64,303
339,64,303
340,64,302
341,64,301
342,64,302
343,64,303
344,64,302
345,64,302
346,64,302
347,64,304
348,64,302
349,64,302
350,64,300
351,64,300
352,64,302
353,64,302
354,64,304
355,64,303
356,64,303
357,64,302
358,64,304
359,64,300
360,64,303
361,64,303
362,64,303
363,64,303
364,64,304
365,65,302
366,65,302
367,65,302
368,65,302
369,65,302
370,65,302
371,65,303
372,65,303
373,65,303
374,65,304
375,65,302
376,66,304
377,66,303
378,66,302
379,65,301
380,65,302
381,65,301
382,65,300
383,65,299
384,65,299
385,65,300
386,65,301
387,65,299
388,65,298
389,65,297
390,65,297
391,65,296
392,65,296
393,65,300
394,65,298
395,65,299
396,65,300
397,65,300
398,65,300
399,65,299
400,65,299
401,65,301
402,65,298
403,65,298
404,65,297
405,65,297
406,65,297
407,65,294
408,65,291
409,65,291
410,65,291
411,65,291
412,65,291
413,65,291
414,65,290
415,65,290
416,65,289
417,65,289
418,65,289
419,65,289
420,65,291
421,65,290
422,65,290
423,65,288
424,65,288
425,65,291
426,65,287
427,65,289
428,65,289
429,65,291
430,65,288
431,65,288
432,65,288
433,65,289
