step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,283
4,64,281
5,64,279
6,64,283
7,64,283
8,64,283
9,64,282
10,64,279
11,64,278
12,64,277
13,64,278
14,64,278
15,64,278
16,64,280
17,64,280
18,64,279
19,64,279
20,64,279
21,64,279
22,64,280
23,64,280
24,64,281
25,64,281
26,64,281
27,64,281
28,64,280
29,64,279
30,64,279
31,64,280
32,64,281
33,64,281
34,64,281
35,64,280
36,64,281
37,64,285
38,64,285
39,64,285
40,64,285
41,64,285
42,64,285
43,64,286
44,64,284
45,64,283
46,64,283
47,65,284
48,65,283
49,65,282
50,65,282
51,65,281
52,65,280
53,65,272
54,65,272
55,65,272
56,65,273
57,65,273
58,65,274
59,65,274
60,65,271
61,65,272
62,65,272
63,65,274
64,65,275
65,65,275
66,65,279
67,66,277
68,66,278
69,66,278
70,66,277
71,66,278
72,66,278
73,66,277
74,66,277
75,66,276
76,66,276
77,66,279
78,66,281
79,66,281
80,66,282
81,66,278
82,66,278
83,66,280
84,66,280
85,66,281
86,66,281
87,66,281
88,66,281
89,66,281
90,66,281
91,66,281
92,66,281
93,66,280
94,66,280
95,66,280
96,66,280
97,66,281
98,66,280
99,66,279
100,66,279
101,66,279
102,66,278
103,66,278
104,66,278
105,66,278
106,66,276
107,66,276
108,66,277
109,66,277
110,66,276
111,65,275
112,65,275
113,65,275
114,65,274
115,65,272
116,65,272
117,65,272
118,65,272
119,65,271
120,65,272
121,65,272
122,65,272
123,65,272
124,65,272
125,65,272
126,65,271
127,65,270
128,65,271
129,65,271
130,65,271
131,65,268
132,65,268
133,65,263
134,65,264
135,65,265
136,65,265
137,65,265
138,65,267
139,65,268
140,65,268
141,65,268
142,65,268
143,65,267
144,65,268
145,65,268
146,65,268
147,65,268
148,65,270
149,65,268
150,65,268
151,65,268
152,65,268
153,65,268
154,65,268
155,65,268
156,65,269
157,66,269
158,66,269
159,66,268
160,66,265
161,66,266
162,66,269
163,66,270
164,66,268
165,66,268
166,66,268
167,66,268
168,67,269
169,67,268
170,67,268
171,67,266
172,67,265
173,67,266
174,67,266
175,67,266
176,67,265
177,67,266
178,67,266
179,67,266
180,67,268
181,67,268
182,67,267
183,67,266
184,67,268
185,67,271
186,67,269
187,67,272
188,67,272
189,67,271
190,67,271
191,67,271
192,67,272
193,67,272
194,67,274
195,67,274
196,67,273
197,67,273
198,67,271
199,67,271
200,67,271
201,66,271
202,66,271
203,66,271
204,66,271
205,66,271
206,66,271
207,66,274
208,66,274
209,66,274
210,66,274
211,66,274
212,66,273
213,66,273
214,66,273
215,66,273
216,66,271
217,66,270
218,66,269
219,66,268
220,66,269
221,66,268
222,66,267
223,66,267
224,66,267
225,66,267
226,66,267
227,66,264
228,66,264
229,66,262
230,66,260
231,66,260
232,66,260
233,66,260
234,66,261
235,66,262
236,66,264
237,66,265
238,66,265
239,66,265
240,66,265
241,66,265
242,66,265
243,66,265
244,66,265
245,66,265
246,66,265
247,66,265
248,66,268
249,66,271
250,66,271
251,66,272
252,65,271
253,65,270
254,65,271
255,66,274
256,66,273
257,66,274
258,66,275
259,66,275
260,66,274
261,66,273
262,66,273
263,66,272
264,66,272
265,66,275
266,66,275
267,66,275
268,66,275
269,66,275
270,66,275
271,66,275
272,66,275
273,66,274
274,66,274
275,66,275
276,66,276
277,66,276
278,66,276
279,66,277
280,66,277
281,66,278
282,66,279
283,65,276
284,65,276
285,65,276
286,65,277
287,65,278
288,65,277
289,65,277
290,65,277
291,65,276
292,65,276
293,65,274
294,65,278
295,65,278
296,65,277
297,65,281
298,65,280
299,65,280
300,65,278
301,65,278
302,65,278
303,65,278
304,65,279
305,65,279
306,65,280
307,65,280
308,65,281
309,65,282
310,65,280
311,65,279
312,65,280
313,65,278
314,66,282
315,65,282
316,65,282
317,65,282
318,66,283
319,66,283
320,66,283
321,66,285
322,66,286
323,66,286
324,66,286
325,66,286
326,66,287
327,66,287
328,66,290
329,66,291
330,66,291
331,66,291
332,66,291
333,66,291
334,66,295
335,66,296
336,66,296
337,66,292
338,66,294
339,66,294
340,66,294
341,66,295
342,66,294
343,66,294
344,66,294
345,66,296
346,66,296
347,66,296
348,66,295
349,66,295
350,66,292
351,66,293
352,66,293
353,66,293
354,66,294
355,66,294
356,66,293
357,66,292
358,66,290
359,66,286
360,66,286
361,66,285
362,66,285
363,66,284
364,66,281
365,66,281
366,66,282
367,66,282
368,66,282
369,66,282
370,65,283
371,65,283
372,65,281
373,65,281
374,65,281
375,65,280
376,65,280
377,65,280
378,65,282
379,65,279
380,65,279
381,65,279
382,65,279
383,66,281
384,66,281
385,66,281
386,66,280
387,66,280
388,66,280
389,66,280
390,66,280
391,66,280
392,66,280
393,66,279
394,66,279
395,66,279
396,66,280
397,66,280
398,66,280
399,66,281
400,66,280
401,66,280
402,66,280
403,66,280
404,66,280
405,66,279
406,66,280
407,66,280
408,66,278
409,67,274
410,67,273
411,67,272
412,67,272
413,67,272
414,67,272
415,67,271
416,67,272
417,67,269
418,67,267
419,67,270
420,67,267
421,67,266
422,67,269
423,67,270
424,67,270
425,67,269
426,67,268
427,67,268
428,67,266
429,67,266
430,67,266
431,67,267
432,67,266
433,67,267
