step,split_counties,split_munis
0,64,284
1,64,283
2,64,283
3,64,282
4,64,284
5,64,280
6,64,279
7,64,278
8,64,278
9,64,279
10,64,279
11,64,278
12,64,277
13,64,277
14,64,277
15,64,277
16,64,277
17,64,279
18,64,278
19,64,278
20,64,277
21,64,278
22,64,278
23,64,278
24,64,278
25,64,281
26,64,282
27,64,282
28,64,282
29,64,282
30,64,281
31,64,281
32,64,281
33,64,280
34,64,279
35,64,280
36,64,281
37,64,281
38,64,280
39,64,280
40,64,280
41,64,280
42,64,280
43,64,280
44,64,280
45,64,282
46,64,282
47,64,282
48,64,284
49,64,284
50,64,285
51,64,285
52,64,285
53,64,285
54,64,286
55,64,286
56,64,287
57,64,288
58,64,288
59,64,289
60,64,290
61,64,288
62,64,288
63,64,288
64,64,288
65,64,288
66,64,288
67,64,288
68,64,289
69,64,289
70,64,289
71,64,290
72,64,290
73,64,289
74,64,289
75,64,289
76,64,291
77,64,290
78,64,290
79,64,289
80,64,288
81,64,288
82,64,287
83,64,286
84,64,285
85,64,284
86,64,287
87,64,286
88,64,286
89,64,285
90,64,285
91,64,286
92,64,285
93,64,285
94,64,285
95,65,285
96,65,287
97,65,287
98,65,287
99,65,287
100,65,288
101,65,288
102,65,288
103,65,285
104,65,285
105,65,286
106,65,288
107,65,288
108,65,288
109,65,288
110,65,289
111,65,289
112,65,287
113,65,287
114,65,287
115,65,285
116,65,285
117,65,284
118,65,284
119,65,285
120,65,285
121,65,285
122,65,284
123,65,284
124,65,283
125,65,283
126,65,283
127,65,283
128,65,284
129,65,284
130,65,284
131,65,284
132,65,284
133,65,282
134,65,282
135,65,281
136,65,279
137,65,279
138,65,279
139,65,280
140,65,278
141,65,279
142,65,279
143,65,281
144,65,280
145,65,280
146,65,278
147,65,278
148,65,279
149,65,279
150,65,280
151,65,279
152,65,280
153,65,280
154,65,280
155,65,281
156,65,280
157,65,280
158,65,278
159,65,279
160,65,278
161,65,277
162,65,276
163,65,276
164,65,276
165,65,276
166,65,275
167,65,273
168,65,273
169,65,273
170,65,271
171,65,271
172,65,272
173,65,272
174,65,275
175,65,275
176,65,275
177,65,275
178,65,276
179,65,276
180,65,278
181,65,278
182,65,278
183,65,278
184,65,277
185,65,276
186,65,275
187,65,275
188,65,276
189,65,277
190,65,280
191,65,279
192,65,278
193,65,279
194,65,281
195,65,282
196,65,282
197,65,280
198,65,280
199,65,280
200,65,280
201,65,280
202,65,279
203,65,280
204,65,279
205,65,278
206,65,279
207,65,279
208,65,279
209,65,279
210,65,280
211,65,281
212,65,282
213,65,282
214,65,283
215,65,283
216,65,283
217,65,283
218,65,283
219,65,283
220,65,284
221,65,288
222,65,288
223,65,286
224,65,286
225,65,286
226,65,286
227,65,286
228,65,286
229,65,286
230,65,286
231,65,287
232,65,285
233,65,285
234,65,284
235,65,284
236,65,282
237,65,281
238,65,281
239,65,281
240,65,282
241,65,283
242,65,285
243,65,285
244,65,290
245,65,290
246,65,290
247,65,291
248,65,288
249,65,290
250,66,294
251,66,294
252,66,293
253,66,293
254,66,292
255,66,294
256,66,294
257,66,294
258,66,297
259,66,298
260,66,300
261,66,298
262,66,297
263,66,298
264,66,299
265,66,299
266,65,297
267,65,298
268,65,295
269,65,294
270,65,294
271,65,294
272,65,294
273,65,295
274,65,296
275,65,296
276,65,296
277,65,296
278,65,297
279,65,297
280,65,297
281,65,297
282,65,297
283,66,299
284,66,299
285,66,298
286,66,297
287,66,298
288,66,298
289,66,298
290,66,299
291,66,299
292,66,299
293,66,300
294,66,302
295,66,300
296,66,302
297,67,304
298,67,305
299,67,304
300,67,304
301,67,304
302,67,303
303,67,303
304,67,302
305,67,302
306,67,302
307,67,301
308,67,302
309,67,302
310,67,302
311,67,302
312,67,302
313,67,304
314,67,306
315,67,305
316,67,305
317,67,305
318,67,303
319,67,303
320,66,302
321,66,300
322,66,301
323,66,301
324,66,301
325,66,302
326,66,301
327,66,301
328,66,299
329,66,298
330,66,298
331,66,302
332,66,301
333,66,301
334,66,301
335,66,301
336,66,300
337,66,299
338,66,299
339,66,299
340,65,296
341,65,298
342,65,297
343,65,295
344,65,296
345,65,296
346,65,296
347,65,296
348,65,296
349,65,296
350,65,296
351,65,297
352,65,297
353,65,298
354,65,298
355,65,296
356,65,297
357,65,298
358,65,298
359,65,296
360,65,296
361,65,296
362,65,296
363,65,296
364,65,294
365,65,294
366,65,294
367,65,290
368,65,290
369,65,291
370,65,291
371,65,291
372,65,290
373,65,291
374,65,291
375,65,291
376,65,286
377,65,285
378,65,285
379,65,285
380,65,285
381,65,285
382,65,285
383,65,285
384,65,283
385,65,283
386,65,283
387,65,283
388,65,283
389,65,282
390,65,282
391,65,286
392,65,286
393,65,287
394,65,286
395,65,287
396,65,286
397,65,286
398,65,286
399,65,287
400,65,287
401,65,286
402,65,286
403,65,286
404,65,286
405,65,285
406,65,285
407,65,286
408,65,286
409,65,288
410,65,287
411,65,287
412,65,287
413,65,287
414,65,287
415,65,290
416,65,291
417,65,291
418,65,292
419,65,293
420,65,293
421,65,292
422,65,292
423,65,292
424,65,293
425,65,293
426,65,289
427,65,291
428,65,293
429,65,293
430,65,295
431,65,296
432,65,295
433,65,295
434,65,295
435,65,294
436,65,294
437,65,294
438,65,295
439,65,295
440,65,295
441,65,295
442,65,295
443,65,296
444,65,293
445,65,294
446,65,293
447,66,293
448,66,294
449,66,295
450,66,295
451,66,295
452,66,296
453,66,296
454,66,295
455,66,296
456,66,296
457,66,297
458,66,297
459,66,297
460,66,297
461,66,297
462,66,297
463,66,297
464,66,297
465,66,297
466,66,296
467,66,296
468,66,294
469,66,294
470,67,296
471,67,296
472,67,296
473,67,297
474,67,297
475,67,297
476,67,297
477,67,294
478,67,294
479,66,292
480,66,291
481,66,290
482,66,285
483,66,286
484,67,290
485,67,290
486,68,291
487,68,291
488,68,290
489,68,290
490,68,290
491,68,290
492,68,290
493,68,290
494,68,290
495,68,290
496,68,292
497,68,292
498,68,292
499,68,294
500,67,293
501,67,293
502,67,292
503,67,292
504,67,292
505,67,293
506,67,294
507,67,293
508,67,295
509,67,295
510,67,295
511,67,295
512,67,296
513,67,295
514,67,294
515,67,294
516,67,292
517,67,291
518,66,291
519,66,291
520,66,291
521,66,291
522,66,292
523,66,292
524,66,293
525,66,293
526,66,292
527,66,295
528,66,295
529,66,295
530,66,295
531,66,295
532,66,295
533,66,295
534,66,295
535,65,294
536,65,294
537,65,293
538,65,293
539,65,293
540,65,293
541,65,293
542,65,295
543,65,294
544,65,293
545,65,294
546,65,293
547,65,290
548,65,290
549,65,290
550,65,289
551,65,290
552,65,290
553,65,289
554,65,289
555,65,289
556,65,289
557,65,289
558,65,289
559,65,292
560,65,290
561,65,290
562,65,287
563,65,287
564,65,286
565,65,286
566,65,286
567,65,284
568,65,286
569,65,286
570,65,289
571,65,288
572,65,287
573,65,288
574,65,288
575,65,286
576,65,288
577,65,287
578,65,285
579,65,287
580,65,287
581,65,289
582,65,288
583,65,285
584,65,285
585,65,284
586,65,281
587,65,280
588,65,281
589,65,280
590,65,280
591,65,280
592,65,280
593,65,281
594,65,282
595,65,285
596,65,286
597,65,288
598,65,289
599,65,289
600,65,286
601,65,286
602,65,287
603,65,288
604,65,288
605,65,287
606,65,287
607,65,288
608,65,288
609,65,287
610,65,290
611,66,292
612,66,292
613,66,289
614,66,289
615,66,286
616,66,287
617,66,284
618,66,285
619,66,285
620,66,285
621,66,285
622,66,284
623,66,284
624,66,286
625,66,287
626,66,288
627,66,288
628,66,288
629,66,288
630,66,290
631,66,292
632,66,290
633,66,290
634,66,292
635,66,292
636,66,296
637,66,296
638,66,295
639,66,295
640,66,295
641,66,296
642,66,296
643,66,296
644,66,297
645,66,299
646,66,298
647,66,297
648,67,297
649,67,297
650,67,296
651,67,296
652,67,298
653,67,299
654,67,298
655,67,299
656,67,298
657,67,296
658,67,293
659,67,295
660,67,294
661,67,294
662,67,293
663,67,292
664,67,292
665,67,292
666,67,289
667,67,289
668,67,289
669,67,289
670,67,289
671,67,289
672,67,289
673,67,289
674,67,289
675,67,294
676,67,294
677,67,294
678,67,295
679,67,291
680,67,289
681,67,288
682,67,290
683,67,290
684,67,290
685,67,289
686,67,289
687,67,289
688,67,289
689,67,289
690,67,290
691,67,293
692,67,292
693,67,292
694,67,293
695,67,291
696,67,292
697,67,293
698,67,293
699,67,291
700,67,291
701,67,291
702,67,289
703,67,293
704,67,295
705,67,297
706,67,298
707,67,299
708,67,301
709,67,300
710,67,300
711,67,300
712,67,300
713,67,300
714,67,299
715,66,298
716,66,299
717,66,299
718,66,297
719,66,293
720,66,293
721,66,293
722,66,292
723,66,292
724,66,297
725,66,296
726,66,296
727,66,296
728,66,297
729,66,297
730,66,297
731,66,297
732,66,297
733,66,295
734,66,293
735,66,294
736,66,292
737,66,290
738,66,290
739,66,290
740,66,293
741,66,295
742,66,294
743,66,295
744,66,297
745,66,299
746,66,297
747,66,296
748,66,297
749,66,298
750,66,298
751,66,298
752,66,298
753,66,298
754,66,299
755,66,299
756,66,294
757,66,292
758,66,293
759,66,293
760,66,293
761,66,291
762,66,290
763,66,290
764,66,290
765,66,290
766,66,288
767,66,288
768,66,287
769,66,287
770,66,287
771,66,287
772,66,285
773,66,285
774,66,285
775,66,285
776,66,285
777,66,285
778,66,285
779,66,285
780,66,285
781,66,286
782,66,286
783,66,288
784,66,289
785,66,288
786,66,290
787,66,291
788,66,291
789,66,290
790,66,290
791,66,291
792,66,291
793,66,291
794,66,289
795,66,289
796,66,289
797,66,290
798,66,289
799,66,289
800,66,293
801,66,292
802,66,293
803,66,293
804,66,294
805,66,294
806,66,294
807,66,294
808,66,294
809,66,295
810,66,296
811,66,294
812,66,293
813,66,291
814,66,291
815,66,291
816,66,292
817,66,294
818,66,294
819,66,294
820,66,294
821,66,293
822,66,293
823,66,291
824,66,293
825,66,291
826,66,291
827,66,292
828,66,293
829,66,292
830,66,293
831,66,293
832,66,293
833,66,294
834,66,294
835,66,294
836,66,294
837,66,294
838,66,296
839,66,295
840,66,295
841,66,294
842,66,293
843,66,292
844,66,292
845,66,293
846,66,291
847,66,291
848,66,292
849,66,292
850,66,292
851,66,298
852,66,298
853,66,299
854,66,299
855,66,299
856,66,297
857,66,298
858,66,297
859,66,296
860,66,296
861,66,295
862,66,291
863,66,293
864,66,292
