step,split_counties,split_munis
0,64,282
1,64,284
2,64,286
3,64,287
4,64,288
5,64,287
6,64,286
7,64,286
8,64,286
9,64,286
10,64,286
11,66,289
12,66,289
13,66,289
14,66,289
15,66,289
16,66,289
17,66,289
18,66,289
19,66,289
20,66,287
21,66,286
22,66,284
23,66,287
24,66,287
25,66,287
26,66,287
27,66,292
28,66,291
29,66,292
30,66,292
31,66,294
32,66,294
33,66,292
34,66,293
35,66,295
36,66,297
37,66,297
38,66,297
39,66,296
40,66,296
41,66,296
42,66,296
43,66,296
44,66,295
45,66,296
46,65,296
47,65,298
48,65,299
49,65,301
50,65,301
51,65,301
52,65,301
53,65,301
54,65,302
55,65,301
56,65,302
57,65,303
58,65,304
59,65,304
60,65,304
61,65,307
62,66,306
63,66,306
64,66,307
65,66,307
66,66,307
67,66,308
68,66,307
69,66,306
70,66,306
71,66,305
72,66,305
73,66,305
74,66,305
75,66,305
76,66,305
77,66,304
78,66,304
79,66,301
80,66,303
81,66,303
82,66,304
83,66,304
84,66,305
85,66,305
86,66,305
87,66,305
88,66,304
89,66,304
90,66,303
91,66,301
92,66,298
93,66,299
94,66,298
95,66,299
96,66,298
97,66,299
98,66,299
99,66,299
100,66,298
101,66,297
102,66,297
103,66,297
104,66,297
105,66,297
106,66,297
107,66,297
108,66,297
109,66,296
110,66,295
111,66,295
112,66,294
113,66,294
114,66,295
115,66,293
116,66,292
117,66,291
118,66,291
119,66,291
120,66,292
121,66,292
122,66,292
123,66,290
124,66,290
125,66,290
126,66,291
127,66,291
128,66,291
129,66,291
130,66,291
131,66,290
132,66,290
133,66,291
134,66,291
135,66,291
136,65,292
137,65,292
138,65,291
139,65,293
140,65,293
141,65,293
142,65,294
143,65,293
144,65,293
145,65,293
146,65,289
147,65,287
148,65,287
149,65,285
150,65,283
151,65,283
152,65,283
153,65,283
154,65,284
155,65,283
156,65,283
157,65,283
158,65,285
159,65,284
160,65,284
161,65,286
162,65,286
163,65,286
164,65,287
165,65,286
166,65,286
167,65,286
168,65,286
169,65,286
170,65,286
171,65,286
172,65,285
173,65,285
174,65,285
175,65,285
176,65,286
177,65,285
178,65,285
179,65,284
180,65,285
181,65,285
182,65,287
183,65,287
184,65,287
185,65,287
186,65,287
187,65,287
188,65,287
189,65,286
190,65,287
191,65,287
192,65,288
193,65,288
194,65,288
195,65,289
196,65,287
197,65,288
198,65,288
199,65,289
200,65,289
201,65,289
202,65,289
203,65,290
204,65,290
205,65,290
206,65,290
207,65,291
208,65,289
209,65,289
210,65,288
211,65,288
212,65,289
213,65,288
214,65,289
215,65,291
216,65,291
217,65,291
218,65,291
219,65,294
220,65,296
221,65,295
222,64,295
223,64,296
224,64,295
225,64,293
226,64,293
227,64,293
228,64,294
229,64,294
230,64,294
231,64,293
232,64,294
233,64,294
234,64,294
235,64,294
236,65,297
237,65,296
238,65,293
239,65,293
240,65,296
241,65,296
242,65,296
243,65,295
244,65,296
245,65,296
246,65,297
247,65,297
248,65,296
249,65,295
250,65,295
251,65,296
252,65,296
253,65,296
254,65,295
255,65,295
256,65,295
257,64,295
258,64,294
259,64,294
260,64,294
261,64,294
262,64,294
263,64,299
264,64,299
265,64,301
266,64,300
267,64,300
268,64,302
269,64,302
270,64,302
271,64,302
272,64,303
273,64,303
274,64,303
275,64,300
276,64,300
277,64,300
278,64,300
279,64,300
280,64,299
281,64,299
282,64,300
283,65,303
284,65,304
285,65,303
286,65,304
287,65,302
288,65,305
289,65,303
290,65,303
291,65,306
292,65,305
293,65,303
294,65,301
295,65,299
296,65,300
297,65,299
298,65,298
299,65,297
300,65,296
301,65,296
302,65,294
303,65,295
304,65,295
305,65,295
306,65,297
307,65,296
308,65,295
309,65,295
310,65,297
311,65,298
312,65,298
313,65,299
314,65,299
315,65,298
316,65,300
317,65,302
318,65,302
319,65,303
320,65,301
321,65,300
322,65,300
323,65,299
324,65,299
325,65,299
326,65,299
327,65,299
328,65,299
329,65,301
330,65,301
331,65,296
332,65,296
333,66,294
334,66,294
335,66,294
336,66,293
337,66,294
338,66,296
339,66,299
340,66,301
341,66,298
342,66,299
343,66,298
344,66,298
345,66,298
346,66,297
347,66,295
348,66,296
349,66,296
350,66,293
351,66,295
352,65,295
353,65,293
354,65,294
355,65,296
356,65,296
357,65,293
358,65,292
359,65,295
360,65,293
361,65,293
362,65,293
363,65,293
364,65,293
365,65,296
366,65,296
367,65,295
368,65,294
369,65,294
370,65,298
371,64,299
372,64,299
373,65,301
374,65,301
375,65,301
376,65,299
377,65,299
378,65,298
379,65,298
380,65,298
381,65,297
382,65,296
383,65,298
384,65,298
385,65,297
386,65,296
387,65,298
388,65,300
389,66,300
390,66,300
391,66,301
392,66,301
393,66,301
394,66,301
395,66,300
396,66,300
397,66,300
398,66,300
399,66,300
400,66,300
401,66,301
402,66,297
403,66,297
404,66,297
405,66,298
406,66,298
407,66,296
408,66,294
409,66,296
410,66,296
411,66,295
412,66,295
413,66,295
414,66,293
415,66,290
416,66,290
417,66,290
418,66,290
419,66,290
420,66,290
421,66,290
422,66,290
423,66,289
424,66,290
425,66,291
426,66,291
427,66,293
428,66,295
429,66,295
430,66,295
431,66,295
432,66,291
433,66,292
434,66,292
435,66,292
436,66,291
437,66,287
438,66,287
439,66,286
440,66,286
441,66,285
442,66,283
443,66,284
444,66,283
445,66,284
446,66,284
447,66,284
448,66,284
449,66,285
450,66,285
451,66,284
452,66,284
453,66,281
454,67,280
455,67,279
456,67,279
457,67,279
458,67,279
459,67,277
460,67,277
461,67,277
462,67,282
463,67,281
464,67,281
465,67,281
466,67,280
467,67,282
468,67,285
469,67,285
470,67,288
471,67,291
472,67,291
473,67,291
474,67,292
475,67,292
476,67,292
477,67,292
478,67,291
479,67,286
480,67,284
481,67,284
482,67,284
483,67,286
484,67,289
485,67,288
486,67,288
487,67,289
488,67,290
489,67,291
490,67,290
491,67,289
492,67,289
493,67,289
494,67,292
495,67,290
496,67,290
497,67,290
498,67,289
499,67,288
500,67,289
501,67,290
502,67,288
503,67,288
504,67,288
505,67,287
506,67,287
507,67,285
508,67,288
509,67,288
510,67,288
511,67,288
512,67,289
513,67,289
514,67,290
515,67,291
516,67,292
517,67,292
518,67,292
519,67,290
520,67,288
521,67,288
522,67,288
523,67,286
524,67,284
525,67,284
526,67,285
527,67,285
528,67,285
529,67,285
530,67,284
531,67,284
532,67,284
533,67,284
534,67,284
535,67,283
536,66,284
537,66,286
538,66,286
539,66,287
540,66,287
541,66,289
542,66,289
543,66,289
544,66,290
545,66,290
546,66,294
547,66,294
548,66,293
549,66,293
550,66,293
551,66,296
552,66,296
553,66,296
554,66,295
555,66,295
556,66,294
557,66,294
558,66,295
559,66,292
560,66,294
561,66,295
562,66,294
563,66,295
564,66,295
565,66,298
566,66,297
567,66,299
568,66,299
569,67,298
570,67,298
571,67,298
572,67,298
573,67,295
574,67,294
575,66,290
576,66,291
577,66,291
578,66,292
579,66,292
580,66,293
581,66,293
582,66,297
583,66,296
584,66,293
585,66,294
586,66,297
587,66,299
588,66,299
589,66,297
590,66,297
591,66,297
592,66,298
593,66,299
594,66,299
595,66,299
596,66,297
597,66,297
598,66,297
599,66,296
600,66,295
601,66,294
602,66,294
603,66,294
604,66,294
605,66,294
606,66,293
607,66,293
608,66,291
609,66,291
610,65,287
611,65,288
612,65,288
613,65,287
614,65,286
615,65,287
616,65,286
617,65,285
618,65,285
619,65,285
620,65,285
621,65,285
622,65,286
623,65,287
624,65,287
625,65,288
626,65,289
627,65,290
628,65,290
629,65,290
630,65,290
631,65,289
632,65,289
633,65,288
634,65,290
635,65,291
636,65,286
637,65,286
638,65,285
639,65,285
640,64,285
641,64,284
642,64,282
643,64,283
644,64,283
645,64,282
646,65,281
647,65,280
648,65,281
649,65,281
650,65,281
651,65,281
652,65,282
653,65,281
654,65,281
655,65,280
656,65,280
657,65,273
658,65,273
659,65,274
660,65,274
661,65,275
662,65,275
663,65,275
664,65,276
665,65,276
666,65,277
667,65,276
668,65,276
669,65,276
670,65,276
671,65,277
672,65,277
673,65,277
674,65,275
675,65,275
676,65,273
677,65,273
678,65,273
679,65,273
680,65,270
681,65,271
682,65,273
683,65,272
684,65,270
685,65,270
686,65,271
687,65,271
688,65,273
689,65,275
690,65,276
691,65,274
692,65,274
693,65,274
694,65,277
695,65,277
696,65,277
697,65,277
698,65,277
699,65,277
700,66,280
701,66,280
702,66,280
703,66,278
704,66,278
705,66,279
706,66,282
707,66,282
708,66,281
709,66,281
710,66,281
711,66,283
712,66,283
713,66,282
714,66,280
715,65,284
716,65,282
717,65,281
718,65,287
719,65,287
720,65,285
721,65,285
722,65,286
723,65,286
724,65,286
725,65,289
726,65,289
727,65,290
728,65,290
729,65,291
730,65,291
731,65,288
732,65,288
733,65,288
734,66,290
735,66,290
736,66,290
737,66,289
738,66,290
739,66,290
740,66,291
741,66,292
742,66,292
743,66,291
744,66,291
745,66,291
746,67,287
747,67,287
748,67,287
749,67,287
750,67,287
751,67,287
752,67,286
753,67,286
754,67,283
755,67,283
756,67,283
757,67,281
758,67,283
759,67,283
760,67,283
761,67,284
762,67,284
763,67,284
764,67,284
765,67,283
766,67,282
767,66,281
768,66,281
769,66,279
770,66,279
771,66,279
772,66,278
773,66,277
774,66,277
775,66,281
776,66,282
777,66,282
778,66,282
779,66,282
780,66,283
781,66,284
782,66,284
783,66,282
784,66,282
785,66,282
786,66,281
787,66,281
788,66,284
789,66,285
790,66,285
791,66,285
792,66,285
793,66,284
794,66,285
795,66,285
796,67,289
797,67,288
798,67,289
799,68,289
800,68,289
801,68,288
802,68,290
803,68,293
804,68,293
805,68,293
806,68,293
807,68,294
808,68,295
809,68,296
810,68,296
811,68,295
812,68,297
813,68,298
814,68,297
815,68,299
816,68,299
817,68,299
818,68,301
819,68,301
820,68,302
821,68,303
822,68,302
823,68,302
824,68,302
825,68,303
826,68,303
827,68,302
828,68,299
829,68,298
830,68,297
831,68,297
832,68,296
833,68,297
834,68,296
835,68,293
836,68,294
837,68,295
838,68,294
839,68,294
840,68,293
841,68,293
842,68,296
843,68,294
844,68,294
845,68,294
846,68,295
847,68,295
848,68,295
849,68,295
850,68,296
851,68,297
852,68,298
853,68,298
854,68,298
855,68,298
856,68,295
857,68,293
858,68,293
859,68,290
860,68,289
861,68,288
862,68,288
863,68,288
864,68,288
865,68,288
866,68,290
867,68,289
868,68,289
869,68,291
870,68,291
871,68,289
872,68,289
873,68,289
874,68,288
875,68,285
876,68,285
877,68,284
878,68,283
879,68,288
880,68,289
881,68,289
882,68,292
883,68,289
884,68,290
885,68,291
886,68,291
887,68,291
888,68,291
889,68,291
890,68,290
891,68,291
892,68,294
893,68,295
894,68,294
895,68,291
896,68,289
897,68,289
898,68,291
899,68,291
900,68,291
901,68,291
902,68,292
903,68,295
904,68,296
905,68,296
906,68,296
907,68,297
908,68,297
909,68,297
910,68,297
911,68,296
912,68,297
913,68,297
914,68,298
915,68,297
916,68,297
917,68,297
918,68,296
919,68,296
920,68,298
921,68,297
922,68,297
923,68,297
924,68,296
925,68,296
926,68,295
927,68,294
928,68,294
929,68,294
930,68,294
931,68,292
932,68,292
933,68,292
934,68,292
935,68,292
936,68,293
937,68,293
938,68,293
939,68,290
940,68,290
941,68,290
942,68,290
943,68,289
944,68,289
945,68,289
946,68,290
947,68,290
948,68,290
949,68,290
950,68,290
951,68,290
952,68,289
953,68,290
954,68,290
955,68,290
956,68,289
957,68,289
958,68,284
959,68,284
960,68,284
961,68,284
962,68,283
963,68,283
964,68,283
965,68,283
966,68,282
967,68,285
968,68,285
969,68,285
970,68,285
971,68,285
972,68,285
973,68,285
974,68,285
975,68,286
976,68,288
977,68,288
978,68,286
979,68,286
980,68,287
981,68,287
982,68,287
983,68,288
984,68,288
985,68,287
986,68,287
987,68,287
988,68,287
989,68,287
990,68,286
991,68,286
992,68,286
993,68,286
994,68,287
995,68,287
996,68,287
997,68,289
998,68,290
999,68,290
1000,68,290
1001,68,289
1002,68,291
1003,68,291
1004,68,291
1005,68,289
1006,68,287
1007,68,283
1008,68,283
1009,68,283
1010,68,283
1011,68,283
1012,68,285
1013,68,285
1014,68,288
1015,68,289
1016,68,290
1017,68,292
1018,68,294
1019,68,295
1020,68,296
1021,68,295
1022,68,295
1023,68,294
1024,68,294
1025,68,294
1026,68,294
1027,68,295
1028,68,295
1029,68,295
1030,68,295
1031,68,295
1032,68,296
1033,68,294
1034,68,294
1035,68,293
1036,68,293
1037,68,293
1038,68,292
1039,68,294
1040,68,297
1041,68,296
1042,68,295
1043,68,293
1044,68,294
1045,68,299
1046,68,299
1047,68,299
1048,68,299
1049,68,299
1050,68,298
1051,68,294
1052,68,295
1053,68,295
1054,68,299
1055,68,298
1056,68,299
1057,68,299
1058,68,303
1059,68,303
1060,68,303
1061,68,303
1062,68,303
1063,68,302
1064,68,302
1065,68,300
1066,68,300
1067,68,300
1068,68,301
1069,68,301
1070,68,300
1071,68,299
1072,68,299
1073,68,299
1074,68,299
1075,68,296
1076,68,295
1077,68,294
1078,68,295
1079,68,292
1080,68,290
1081,68,291
1082,69,292
1083,69,293
1084,69,293
1085,69,293
1086,69,288
1087,69,289
1088,69,291
1089,69,291
1090,69,291
1091,69,293
1092,69,293
1093,69,296
1094,68,297
1095,68,297
1096,68,296
1097,68,294
1098,68,294
1099,68,294
1100,68,294
1101,68,293
1102,68,293
1103,68,294
1104,68,295
1105,68,295
1106,68,297
1107,68,298
1108,68,297
1109,68,297
1110,68,297
1111,68,299
1112,68,299
1113,68,299
1114,68,297
1115,68,298
1116,68,298
1117,68,300
1118,68,300
1119,67,301
1120,67,301
1121,67,301
1122,67,300
1123,67,300
1124,67,298
1125,67,297
1126,68,300
1127,68,300
1128,68,298
1129,68,298
1130,68,298
1131,68,298
1132,68,297
1133,68,297
1134,68,295
1135,68,294
1136,68,293
1137,68,293
1138,68,292
1139,68,292
1140,68,291
1141,68,292
1142,68,292
1143,68,292
1144,68,291
1145,67,288
1146,67,288
1147,67,288
1148,67,283
1149,67,283
1150,67,283
1151,67,283
1152,67,283
1153,67,283
1154,67,283
1155,67,281
1156,67,280
1157,67,280
1158,67,280
1159,67,281
1160,67,281
1161,67,278
1162,67,278
1163,67,278
1164,67,278
1165,67,276
1166,67,276
1167,67,276
1168,67,276
1169,67,276
1170,67,277
1171,67,277
1172,67,277
1173,67,276
1174,67,278
1175,67,280
1176,67,281
1177,67,284
1178,67,286
1179,67,285
1180,67,285
1181,67,288
1182,67,288
1183,67,288
1184,67,289
1185,67,288
1186,67,285
1187,67,286
1188,67,286
1189,67,286
1190,67,284
1191,67,284
1192,67,285
1193,67,285
1194,67,285
1195,67,285
1196,67,285
1197,67,285
1198,67,286
1199,67,286
1200,67,287
1201,67,287
1202,67,287
1203,67,287
1204,67,287
1205,67,289
