step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,282
4,64,282
5,64,283
6,65,288
7,65,288
8,65,288
9,65,288
10,65,288
11,65,289
12,65,289
13,65,289
14,65,291
15,65,291
16,65,290
17,65,290
18,65,290
19,65,290
20,65,290
21,65,293
22,65,293
23,65,294
24,65,293
25,65,294
26,65,295
27,65,296
28,65,296
29,65,296
30,65,296
31,65,295
32,65,295
33,65,295
34,65,295
35,65,295
36,65,295
37,65,295
38,65,296
39,65,296
40,65,297
41,65,296
42,65,295
43,65,295
44,65,295
45,65,295
46,65,295
47,65,295
48,65,294
49,65,294
50,65,294
51,65,293
52,65,293
53,65,293
54,65,293
55,65,295
56,65,295
57,65,296
58,65,294
59,65,296
60,65,296
61,66,297
62,66,297
63,66,298
64,66,298
65,65,298
66,65,296
67,65,297
68,65,297
69,65,297
70,65,297
71,65,297
72,65,297
73,65,299
74,65,298
75,65,296
76,65,296
77,65,296
78,65,298
79,65,297
80,65,297
81,65,295
82,65,296
83,65,296
84,65,296
85,65,295
86,65,295
87,65,298
88,65,297
89,65,296
90,65,296
91,65,296
92,65,297
93,65,298
94,65,299
95,65,299
96,65,298
97,65,298
98,65,299
99,65,299
100,65,299
101,65,302
102,65,301
103,65,300
104,65,301
105,65,301
106,65,303
107,65,304
108,65,304
109,65,304
110,65,304
111,65,305
112,65,304
113,65,304
114,66,303
115,66,303
116,66,301
117,66,300
118,66,301
119,66,300
120,66,297
121,66,297
122,66,298
123,66,298
124,66,298
125,66,299
126,66,299
127,66,299
128,66,299
129,66,299
130,66,299
131,66,299
132,66,299
133,66,298
134,66,299
135,66,301
136,66,301
137,66,303
138,66,303
139,66,301
140,66,302
141,66,300
142,66,300
143,66,302
144,66,301
145,66,301
146,66,301
147,66,301
148,66,301
149,66,301
150,66,300
151,66,300
152,66,300
153,66,300
154,66,302
155,66,302
156,66,302
157,66,302
158,66,302
159,66,303
160,66,304
161,66,307
162,66,307
163,66,307
164,66,308
165,66,307
166,66,308
167,66,309
168,66,309
169,66,313
170,66,313
171,66,312
172,66,312
173,66,312
174,66,313
175,66,313
176,66,313
177,66,313
178,66,314
179,66,314
180,66,315
181,66,313
182,66,313
183,66,312
184,66,312
185,66,312
186,66,314
187,66,313
188,66,312
189,66,311
190,66,312
191,66,311
192,66,313
193,66,315
194,66,315
195,66,313
196,66,314
197,66,314
198,66,314
199,65,313
200,65,313
201,64,310
202,64,309
203,64,307
204,64,308
205,64,308
206,64,308
207,64,306
208,64,306
209,64,305
210,64,305
211,64,305
212,64,305
213,64,305
214,64,303
215,64,301
216,64,301
217,64,302
218,64,302
219,64,302
220,64,302
221,64,302
222,64,302
223,63,300
224,63,300
225,63,299
226,63,300
227,63,300
228,63,300
229,63,301
230,63,303
231,63,303
232,63,302
233,63,302
234,63,300
235,63,300
236,63,298
237,63,298
238,63,298
239,63,298
240,63,295
241,63,293
242,63,292
243,63,292
244,63,293
245,63,293
246,63,294
247,63,293
248,63,295
249,63,295
250,63,297
251,63,295
252,63,296
253,63,298
254,63,297
255,63,298
256,63,298
257,63,296
258,63,295
259,63,295
260,63,295
261,63,296
262,63,293
263,63,292
264,63,291
265,63,290
266,63,290
267,63,291
268,63,293
269,63,293
270,63,291
271,63,291
272,63,290
273,63,289
274,63,289
275,63,291
276,63,289
277,63,289
278,63,290
279,63,290
280,63,289
281,63,290
282,63,291
283,63,292
284,63,293
285,63,293
286,63,293
287,63,293
288,63,294
289,63,293
290,63,295
291,63,294
292,63,293
293,63,293
294,63,291
295,63,291
296,63,292
297,63,292
298,63,291
299,63,293
300,63,293
301,63,292
302,63,292
303,63,292
304,63,291
305,65,288
306,65,283
307,65,285
308,65,285
309,65,284
310,65,284
311,65,285
312,65,285
313,65,284
314,65,286
315,65,285
316,65,285
317,65,285
318,65,285
319,65,285
320,65,286
321,65,286
322,65,285
323,65,288
324,65,288
325,65,286
326,65,286
327,65,286
328,65,287
329,65,285
330,65,284
331,65,286
332,65,286
333,65,289
334,65,287
335,65,287
336,65,287
337,65,287
338,65,288
339,65,288
340,65,286
341,65,286
342,66,286
343,66,286
344,66,286
345,66,290
346,66,289
347,66,290
348,66,289
349,66,290
350,66,289
351,66,289
352,66,289
353,66,291
354,66,289
355,66,290
356,66,287
357,66,287
358,66,285
359,66,285
360,66,285
361,66,285
362,66,285
363,66,285
364,66,284
365,66,282
366,65,279
367,65,279
368,65,279
369,66,279
370,66,279
371,66,279
372,66,280
373,66,279
374,66,278
375,66,278
376,66,277
377,66,277
378,66,279
379,66,279
380,66,279
381,66,279
382,66,280
383,66,280
384,66,278
385,66,279
386,66,279
387,66,279
388,66,279
389,67,278
390,67,277
391,67,281
392,67,281
393,67,281
394,67,281
395,67,281
396,67,280
397,67,282
398,67,282
399,67,280
400,67,282
401,67,280
402,67,280
403,67,280
404,67,282
405,67,282
406,67,282
407,67,281
408,67,284
409,67,282
410,67,282
411,67,282
412,67,282
413,67,283
414,68,283
415,68,283
416,68,285
417,68,285
418,68,285
419,68,285
420,68,284
421,67,285
422,67,285
423,67,284
424,67,284
425,67,286
426,67,286
427,67,287
428,67,288
429,67,289
430,67,289
431,67,287
432,67,287
433,67,287
