step,split_counties,split_munis
0,64,282
1,64,284
2,64,284
3,64,285
4,64,284
5,64,285
6,64,284
7,64,284
8,64,284
9,64,285
10,64,284
11,64,285
12,63,288
13,63,287
14,63,288
15,63,288
16,63,288
17,63,288
18,63,288
19,63,287
20,63,287
21,63,289
22,63,289
23,63,290
24,63,287
25,63,287
26,63,287
27,63,285
28,63,285
29,63,285
30,63,285
31,63,285
32,63,285
33,63,283
34,63,284
35,63,287
36,63,287
37,63,287
38,64,289
39,64,292
40,64,292
41,64,291
42,64,291
43,64,293
44,64,293
45,64,296
46,64,300
47,64,300
48,64,299
49,64,298
50,64,298
51,64,297
52,64,296
53,64,297
54,64,297
55,64,297
56,64,296
57,64,298
58,64,298
59,64,298
60,64,297
61,64,297
62,64,297
63,64,296
64,64,297
65,64,298
66,64,297
67,64,297
68,65,299
69,65,299
70,65,298
71,65,300
72,65,300
73,65,301
74,65,303
75,65,302
76,65,303
77,65,305
78,65,303
79,65,307
80,65,308
81,65,309
82,65,307
83,65,306
84,64,304
85,64,304
86,64,306
87,64,308
88,64,308
89,64,307
90,64,305
91,64,305
92,64,305
93,64,305
94,64,307
95,64,307
96,64,308
97,64,305
98,64,304
99,64,303
100,64,303
101,64,303
102,64,304
103,64,305
104,64,305
105,64,304
106,64,304
107,64,305
108,64,305
109,64,305
110,64,305
111,64,305
112,64,304
113,64,304
114,64,304
115,64,304
116,64,303
117,64,302
118,64,302
119,64,300
120,64,301
121,64,301
122,64,303
123,64,304
124,64,305
125,64,305
126,64,302
127,64,301
128,64,299
129,64,298
130,64,297
131,64,298
132,64,300
133,64,300
134,64,300
135,64,301
136,65,301
137,65,302
138,65,303
139,65,300
140,65,299
141,65,299
142,65,299
143,64,299
144,64,298
145,64,298
146,64,298
147,64,298
148,64,295
149,64,295
150,64,292
151,64,292
152,64,293
153,64,292
154,64,293
155,64,293
156,64,293
157,64,294
158,64,296
159,64,296
160,64,296
161,64,296
162,64,298
163,64,298
164,64,298
165,64,298
166,64,298
167,64,296
168,64,296
169,64,296
170,64,297
171,64,296
172,64,295
173,64,295
174,64,294
175,64,293
176,64,296
177,64,296
178,64,297
179,64,299
180,64,299
181,64,301
182,64,303
183,64,304
184,64,304
185,64,304
186,64,303
187,64,307
188,64,310
189,64,309
190,64,310
191,64,309
192,64,307
193,64,308
194,64,303
195,64,303
196,64,304
197,64,304
198,64,301
199,64,301
200,64,302
201,64,302
202,64,302
203,64,302
204,64,298
205,64,298
206,64,298
207,64,300
208,64,298
209,64,298
210,64,297
211,64,298
212,64,299
213,64,297
214,64,297
215,64,297
216,64,296
217,64,295
218,64,292
219,64,288
220,64,288
221,64,287
222,64,287
223,64,286
224,64,286
225,64,286
226,64,286
227,64,286
228,64,284
229,64,288
230,64,288
231,64,287
232,64,286
233,64,285
234,64,287
235,64,288
236,64,290
237,64,290
238,64,290
239,64,289
240,65,290
241,65,290
242,65,284
243,65,283
244,65,284
245,65,285
246,65,285
247,65,285
248,65,285
249,65,285
250,65,285
251,65,286
252,65,283
253,65,281
254,65,282
255,65,282
256,65,284
257,65,284
258,65,283
259,65,284
260,65,284
261,65,284
262,65,284
263,65,283
264,65,283
265,65,284
266,65,284
267,65,285
268,65,285
269,65,285
270,65,286
271,65,287
272,65,286
273,65,286
274,65,286
275,65,286
276,65,286
277,65,287
278,65,286
279,65,286
280,65,286
281,65,288
282,65,288
283,65,289
284,65,289
285,65,290
286,65,290
287,65,290
288,65,290
289,65,291
290,65,294
291,65,294
292,65,294
293,65,294
294,65,290
295,65,291
296,65,291
297,65,290
298,65,291
299,65,291
300,65,290
301,65,291
302,65,292
303,65,293
304,65,294
305,65,294
306,65,296
307,65,292
308,65,290
309,65,292
310,65,292
311,65,292
312,65,292
313,65,292
314,65,293
315,65,292
316,65,292
317,65,290
318,65,289
319,65,289
320,65,285
321,65,285
322,64,283
323,64,280
324,64,280
325,64,280
326,64,282
327,64,281
328,64,281
329,64,281
330,64,280
331,64,281
332,64,281
333,64,282
334,64,283
335,64,284
336,64,284
337,64,286
338,64,283
339,64,283
340,64,283
341,64,284
342,64,284
343,64,285
344,64,285
345,64,285
346,64,285
347,64,286
348,64,285
349,64,284
350,64,286
351,64,286
352,64,286
353,64,287
354,64,287
355,64,287
356,64,289
357,64,288
358,64,290
359,64,290
360,64,291
361,64,292
362,64,290
363,64,288
364,64,290
365,63,285
366,63,285
367,63,285
368,63,284
369,63,285
370,63,282
371,63,282
372,63,282
373,63,282
374,63,282
375,63,282
376,63,282
377,63,282
378,63,281
379,63,280
380,63,280
381,63,279
382,63,278
383,63,278
384,63,279
385,64,280
386,64,283
387,64,282
388,64,283
389,64,283
390,64,280
391,64,280
392,64,280
393,64,280
394,64,279
395,64,279
396,64,279
397,64,279
398,64,279
399,64,278
400,64,278
401,64,277
402,64,278
403,64,279
404,64,277
405,64,276
406,64,278
407,64,278
408,64,278
409,64,277
410,64,277
411,64,278
412,65,278
413,65,278
414,65,277
415,65,277
416,65,276
417,65,276
418,65,276
419,65,276
420,65,277
421,65,277
422,65,277
423,65,277
424,65,277
425,65,277
426,65,278
427,65,279
428,65,278
429,65,278
430,65,279
431,65,279
432,65,279
433,65,281
434,65,285
435,65,283
436,65,282
437,65,282
438,65,282
439,65,283
440,65,282
441,65,281
442,65,280
443,65,282
444,65,282
445,65,282
446,65,282
447,65,279
448,65,279
449,64,280
450,64,281
451,64,282
452,64,283
453,64,284
454,64,284
455,64,286
456,64,286
457,64,284
458,64,284
459,64,281
460,64,281
461,64,282
462,64,281
463,64,281
464,64,282
465,64,282
466,64,283
467,64,285
468,64,283
469,64,283
470,64,286
471,64,286
472,64,285
473,64,285
474,64,282
475,64,283
476,64,283
477,64,283
478,64,283
479,64,281
480,64,278
481,64,278
482,64,276
483,64,275
484,65,272
485,65,272
486,65,271
487,65,273
488,65,276
489,65,277
490,65,278
491,65,278
492,65,278
493,65,279
494,65,279
495,65,278
496,65,278
497,65,278
498,65,277
499,65,275
500,65,276
501,65,277
502,65,276
503,65,276
504,65,276
505,65,276
506,65,276
507,65,276
508,65,277
509,65,277
510,65,277
511,65,277
512,65,277
513,65,277
514,65,277
515,65,279
516,65,282
517,65,282
518,65,283
519,65,283
520,65,283
521,65,279
522,65,281
523,65,281
524,65,282
525,65,284
526,65,284
527,65,283
528,65,283
529,65,283
530,65,284
531,65,284
532,65,284
533,65,284
534,66,281
535,66,281
536,66,279
537,66,279
538,66,279
539,66,277
540,66,277
541,66,277
542,66,278
543,66,276
544,66,275
545,66,275
546,66,277
547,66,276
548,66,275
549,66,278
550,66,278
551,66,278
552,66,279
553,66,279
554,66,279
555,66,279
556,65,278
557,65,278
558,65,278
559,65,278
560,65,276
561,65,276
562,65,276
563,65,276
564,65,278
565,65,278
566,65,278
567,65,278
568,65,280
569,65,278
570,65,277
571,65,277
572,65,278
573,65,279
574,65,280
575,65,280
576,65,280
577,65,280
578,65,279
579,65,279
580,65,277
581,65,277
582,65,278
583,65,278
584,65,279
585,65,278
586,65,278
587,65,274
588,65,273
589,65,271
590,65,270
591,65,270
592,65,270
593,65,268
594,65,268
595,65,268
596,65,268
597,65,268
598,65,270
599,65,269
600,65,268
601,65,266
602,65,266
603,65,266
604,65,266
605,65,267
606,65,266
607,65,266
608,65,266
609,65,266
610,65,267
611,65,268
612,65,269
613,65,269
614,65,269
615,65,268
616,65,268
617,65,267
618,65,267
619,65,268
620,65,267
621,65,267
622,65,268
623,65,266
624,65,266
625,65,269
626,65,269
627,65,268
628,65,268
629,65,268
630,65,268
631,65,268
632,65,268
633,65,268
634,65,269
635,65,272
636,65,272
637,65,274
638,65,274
639,65,273
640,65,273
641,65,273
642,65,273
643,65,274
644,65,274
645,65,276
646,65,276
647,65,276
648,65,278
649,65,277
650,65,279
651,65,279
652,65,279
653,65,279
654,65,278
655,65,274
656,65,273
657,65,274
658,65,274
659,65,270
660,65,271
661,65,272
662,65,272
663,65,272
664,65,273
665,65,273
666,65,274
667,65,274
668,65,274
669,65,273
670,65,273
671,65,273
672,65,276
673,65,276
674,65,274
675,65,273
676,64,274
677,64,272
678,64,272
679,64,270
680,64,270
681,64,270
682,64,268
683,64,268
684,64,269
685,64,271
686,64,271
687,64,273
688,64,274
689,64,275
690,65,275
691,65,277
692,65,278
693,65,278
694,65,279
695,65,280
696,65,278
697,65,280
698,65,280
699,65,280
700,65,280
701,65,278
702,65,278
703,65,278
704,65,278
705,65,278
706,65,278
707,65,278
708,65,278
709,65,280
710,65,281
711,65,287
712,65,286
713,65,286
714,66,286
715,66,287
716,66,288
717,66,289
718,66,289
719,66,290
720,66,289
721,65,289
722,65,289
723,65,289
724,65,289
725,65,287
726,65,288
727,65,289
728,65,289
729,65,289
730,65,288
731,65,287
732,65,285
733,65,284
734,65,286
735,65,285
736,65,286
737,65,286
738,65,284
739,65,286
740,65,286
741,65,282
742,65,283
743,65,283
744,65,285
745,65,287
746,65,287
747,65,285
748,65,285
749,65,284
750,65,287
751,65,286
752,65,285
753,65,283
754,65,285
755,65,285
756,65,287
757,65,286
758,65,286
759,65,286
760,65,285
761,65,285
762,65,285
763,65,285
764,65,285
765,65,285
766,64,283
767,64,282
768,64,283
769,64,283
770,64,283
771,64,282
772,64,283
773,64,283
774,64,283
775,64,283
776,64,283
777,64,282
778,64,280
779,64,280
780,64,280
781,64,283
782,64,284
783,64,283
784,64,283
785,64,283
786,64,281
787,64,279
788,64,279
789,64,280
790,63,278
791,63,277
792,63,277
793,63,279
794,63,279
795,63,280
796,63,280
797,63,280
798,63,279
799,63,278
800,63,277
801,63,275
802,63,276
803,63,274
804,63,274
805,63,274
806,63,273
807,64,268
808,64,266
809,64,266
810,64,266
811,64,266
812,64,264
813,64,265
814,64,265
815,64,262
816,64,262
817,64,263
818,64,263
819,64,263
820,64,263
821,65,264
822,65,262
823,65,262
824,65,264
825,65,263
826,65,261
827,65,262
828,65,262
829,65,262
830,65,261
831,65,261
832,65,261
833,65,262
834,65,261
835,65,263
836,65,265
837,65,265
838,65,266
839,65,265
840,65,264
841,65,263
842,65,264
843,65,263
844,65,262
845,65,262
846,65,262
847,65,262
848,65,262
849,65,262
850,65,262
851,65,262
852,65,262
853,65,262
854,65,262
855,65,261
856,65,262
857,65,261
858,65,261
859,65,262
860,65,260
861,65,262
862,65,262
863,65,262
864,65,262
865,65,259
866,65,259
867,65,258
868,65,258
869,65,258
870,65,258
871,65,258
872,65,259
873,65,259
874,65,259
875,65,258
876,65,257
877,65,258
878,65,258
879,65,258
880,65,257
881,65,258
882,65,258
883,65,256
884,65,255
885,66,253
886,66,254
887,66,254
888,66,254
889,66,254
890,66,254
891,66,257
892,66,256
893,66,257
894,66,260
895,66,262
896,66,262
897,66,264
898,66,266
899,66,266
900,66,265
901,66,264
902,66,265
903,66,266
904,66,268
905,66,270
906,66,272
907,66,272
908,66,270
909,66,271
910,66,271
911,66,271
912,66,271
913,66,270
914,66,270
915,66,269
916,66,269
917,66,269
918,66,269
919,66,270
920,66,270
921,66,269
922,66,269
923,66,269
924,66,270
925,66,271
926,66,271
927,66,271
928,66,271
929,66,273
930,66,273
931,66,273
932,66,272
933,66,272
934,66,272
935,66,271
936,66,271
937,66,271
938,66,274
939,66,275
940,66,277
941,66,277
942,66,279
943,66,279
944,66,278
945,66,278
946,66,278
947,66,278
948,66,278
949,66,281
950,66,285
951,66,283
952,66,285
953,66,286
954,66,285
955,66,285
956,66,285
957,66,285
958,67,286
959,67,288
960,67,288
961,67,288
962,67,289
963,67,289
964,67,290
965,67,289
966,67,289
967,67,288
968,67,290
969,67,290
970,67,291
971,67,292
972,67,293
973,67,295
974,67,295
975,67,294
976,67,296
977,67,294
978,67,295
979,67,295
980,67,295
981,67,295
982,67,295
983,67,295
984,67,296
985,67,298
986,67,299
987,67,300
988,67,299
989,67,298
990,67,296
991,67,297
992,67,297
993,67,295
994,67,295
995,67,295
996,67,293
997,67,293
998,67,296
999,67,295
1000,67,296
1001,67,296
1002,67,296
1003,67,295
1004,67,294
1005,67,299
1006,67,297
1007,67,297
1008,67,297
1009,67,298
1010,67,299
1011,67,299
1012,67,299
1013,67,298
1014,67,298
1015,67,295
1016,67,295
1017,67,297
1018,67,298
1019,67,298
1020,67,298
1021,67,297
1022,67,296
1023,67,296
1024,67,296
1025,67,296
1026,67,296
1027,67,296
1028,67,296
1029,67,297
1030,67,297
1031,67,297
1032,67,297
1033,67,297
1034,67,298
1035,67,297
1036,67,299
1037,67,299
1038,67,298
1039,67,296
1040,67,294
1041,67,295
1042,67,297
1043,67,296
1044,67,296
1045,67,298
1046,67,297
1047,67,294
1048,67,294
1049,67,296
1050,67,296
1051,67,300
1052,67,300
1053,67,301
1054,67,301
1055,67,300
1056,67,302
1057,67,302
1058,67,303
1059,67,303
1060,67,303
1061,67,303
1062,67,304
1063,67,304
1064,67,303
1065,67,303
1066,67,304
1067,67,304
1068,67,302
1069,67,302
1070,67,302
1071,67,301
1072,67,303
1073,67,304
1074,67,304
1075,67,304
1076,67,304
1077,67,305
1078,67,305
1079,67,303
1080,67,303
1081,67,302
1082,67,302
1083,67,302
1084,67,298
1085,67,297
1086,67,297
1087,67,293
1088,67,293
1089,67,294
1090,67,294
1091,67,294
1092,67,293
1093,67,292
1094,67,292
1095,67,296
1096,67,296
1097,67,298
1098,67,298
1099,67,298
1100,67,298
1101,67,297
1102,67,299
1103,67,299
1104,67,299
1105,67,299
1106,67,299
1107,67,299
1108,67,298
1109,67,292
1110,67,292
1111,67,292
1112,67,292
1113,67,292
1114,67,291
1115,67,291
1116,67,290
1117,67,293
1118,67,293
1119,67,294
1120,67,295
1121,67,292
1122,67,291
1123,67,292
1124,67,293
1125,67,289
1126,67,287
1127,67,286
1128,67,287
1129,67,284
1130,67,283
1131,67,282
1132,67,281
1133,67,280
1134,67,280
1135,67,280
1136,67,279
1137,67,279
1138,67,279
1139,67,280
1140,67,280
1141,67,281
1142,67,282
1143,67,281
1144,67,281
1145,67,281
1146,66,281
1147,66,281
1148,66,279
1149,66,276
1150,66,276
1151,66,275
1152,66,275
1153,66,275
1154,66,278
1155,66,278
1156,66,275
1157,66,275
1158,66,274
1159,66,275
1160,66,275
1161,66,275
1162,66,275
1163,66,275
1164,66,275
1165,66,275
1166,66,276
1167,66,277
1168,66,277
1169,66,276
1170,66,276
1171,66,275
1172,66,275
1173,66,274
1174,66,273
1175,66,273
1176,66,273
1177,66,273
1178,66,273
1179,66,273
1180,66,270
1181,66,270
1182,66,270
1183,66,272
1184,66,272
1185,66,273
1186,66,274
1187,66,274
1188,66,275
1189,66,275
1190,66,275
1191,66,275
1192,66,276
1193,66,277
1194,66,277
1195,66,279
1196,66,279
1197,66,279
1198,66,279
1199,66,275
1200,66,275
1201,66,275
1202,66,276
1203,66,276
1204,66,276
1205,66,276
