step,split_counties,split_munis
0,64,282
1,64,282
2,64,283
3,64,283
4,64,282
5,64,282
6,64,284
7,64,284
8,64,284
9,64,284
10,64,282
11,64,282
12,64,282
13,64,282
14,64,283
15,64,283
16,64,282
17,64,280
18,64,278
19,64,278
20,65,277
21,65,279
22,65,278
23,65,278
24,65,278
25,65,279
26,65,279
27,65,280
28,65,278
29,65,278
30,65,277
31,65,277
32,65,277
33,65,277
34,65,280
35,65,280
36,65,280
37,65,281
38,65,280
39,65,279
40,65,279
41,65,278
42,65,278
43,65,277
44,65,278
45,65,278
46,65,278
47,65,278
48,65,278
49,65,278
50,65,281
51,65,279
52,65,279
53,65,277
54,65,277
55,65,280
56,65,281
57,65,281
58,65,283
59,65,283
60,65,284
61,65,284
62,65,283
63,65,283
64,65,283
65,65,283
66,65,283
67,65,284
68,65,284
69,65,284
70,65,284
71,65,284
72,65,284
73,65,284
74,65,285
75,65,283
76,65,283
77,65,282
78,65,283
79,65,284
80,65,284
81,65,286
82,65,286
83,65,286
84,65,287
85,65,286
86,65,283
87,65,279
88,65,278
89,65,279
90,65,279
91,65,279
92,65,276
93,65,278
94,65,281
95,65,281
96,65,281
97,65,280
98,65,283
99,65,284
100,65,285
101,65,287
102,64,285
103,64,285
104,64,283
105,64,282
106,64,282
107,64,282
108,63,281
109,63,281
110,63,281
111,63,281
112,63,283
113,63,286
114,63,286
115,63,285
116,63,285
117,63,288
118,63,288
119,63,286
120,63,287
121,63,288
122,63,288
123,63,288
124,63,290
125,63,289
126,63,289
127,63,289
128,63,288
129,63,288
130,63,288
131,63,288
132,63,286
133,63,286
134,63,286
135,63,285
136,63,286
137,63,286
138,63,286
139,63,286
140,63,284
141,63,285
142,63,285
143,63,284
144,63,285
145,63,285
146,63,285
147,63,285
148,63,284
149,63,284
150,63,284
151,63,284
152,63,287
153,63,289
154,63,288
155,63,287
156,63,287
157,63,287
158,63,287
159,63,287
160,63,288
161,63,286
162,63,285
163,63,286
164,63,286
165,62,285
166,62,284
167,62,284
168,62,285
169,62,285
170,62,286
171,62,287
172,62,287
173,62,288
174,62,292
175,62,290
176,62,290
177,62,290
178,62,290
179,62,290
180,62,290
181,62,290
182,62,290
183,63,289
184,63,287
185,63,285
186,63,284
187,63,286
188,63,286
189,63,286
190,63,285
191,63,286
192,63,286
193,63,288
194,62,287
195,62,287
196,62,287
197,62,287
198,62,287
199,62,287
200,63,290
201,63,289
202,63,289
203,63,288
204,63,289
205,63,289
206,63,291
207,63,291
208,63,291
209,63,291
210,63,291
211,63,292
212,63,291
213,63,292
214,63,292
215,63,292
216,63,293
217,63,293
218,63,295
219,63,291
220,63,288
221,63,290
222,63,291
223,63,292
224,63,292
225,63,290
226,63,289
227,64,293
228,64,294
229,64,294
230,64,295
231,64,294
232,64,294
233,64,293
234,64,293
235,64,292
236,64,294
237,64,293
238,64,292
239,64,292
240,64,291
241,64,294
242,64,294
243,64,294
244,64,294
245,64,292
246,64,292
247,64,292
248,64,292
249,64,290
250,64,289
251,64,290
252,64,290
253,64,290
254,64,289
255,64,289
256,64,290
257,64,290
258,64,290
259,64,290
260,64,289
261,64,289
262,64,289
263,64,290
264,64,290
265,64,290
266,64,289
267,64,289
268,64,290
269,64,290
270,64,290
271,64,296
272,64,295
273,64,294
274,64,293
275,64,292
276,64,292
277,64,291
278,64,292
279,64,292
280,64,293
281,64,294
282,64,294
283,64,295
284,64,296
285,65,298
286,65,300
287,65,300
288,66,299
289,66,298
290,66,298
291,66,297
292,66,296
293,66,296
294,66,296
295,66,296
296,66,297
297,65,297
298,65,300
299,65,300
300,65,300
301,65,299
302,65,298
303,65,300
304,65,302
305,65,302
306,65,302
307,65,299
308,65,299
309,65,300
310,65,298
311,65,297
312,65,298
313,65,299
314,65,299
315,65,301
316,65,301
317,65,299
318,65,299
319,65,300
320,65,301
321,65,302
322,65,302
323,65,302
324,65,302
325,65,302
326,65,301
327,65,301
328,65,301
329,66,300
330,66,300
331,66,301
332,66,301
333,66,299
334,66,299
335,66,299
336,66,299
337,66,298
338,66,299
339,66,299
340,66,299
341,66,299
342,66,300
343,66,300
344,66,299
345,66,299
346,66,302
347,66,302
348,66,304
349,66,304
350,66,304
351,66,304
352,66,306
353,66,306
354,66,306
355,66,307
356,66,304
357,66,304
358,66,305
359,66,305
360,66,307
361,66,307
362,66,303
363,65,305
364,65,304
365,65,304
366,65,304
367,65,304
368,65,306
369,65,305
370,65,305
371,65,308
372,65,309
373,65,306
374,65,307
375,65,307
376,65,308
377,65,310
378,65,310
379,65,310
380,65,310
381,65,310
382,65,310
383,65,312
384,65,312
385,65,312
386,65,312
387,65,313
388,65,313
389,65,316
390,65,311
391,65,312
392,65,312
393,65,311
394,65,311
395,65,312
396,65,312
397,65,310
398,65,310
399,65,310
400,65,309
401,65,308
402,65,308
403,65,308
404,65,309
405,65,308
406,65,308
407,65,308
408,65,308
409,65,307
410,65,307
411,65,306
412,66,305
413,66,303
414,66,303
415,66,300
416,66,300
417,66,300
418,66,301
419,66,301
420,66,301
421,66,304
422,66,304
423,66,303
424,66,303
425,66,303
426,66,303
427,66,304
428,66,308
429,66,307
430,66,306
431,66,307
432,66,303
433,66,304
