step,split_counties,split_munis
0,64,284
1,64,284
2,64,284
3,64,283
4,64,283
5,64,283
6,64,283
7,64,283
8,64,282
9,64,282
10,64,282
11,64,282
12,64,282
13,64,283
14,64,283
15,64,284
16,64,284
17,64,285
18,64,284
19,64,284
20,65,285
21,65,289
22,65,289
23,65,289
24,65,289
25,65,288
26,65,288
27,65,288
28,65,288
29,65,287
30,65,288
31,65,288
32,65,287
33,65,287
34,65,286
35,65,285
36,65,284
37,65,286
38,65,284
39,65,284
40,65,286
41,65,287
42,65,288
43,65,289
44,65,289
45,65,288
46,65,290
47,65,290
48,65,290
49,65,293
50,65,293
51,65,295
52,65,296
53,65,297
54,65,298
55,65,297
56,65,297
57,65,300
58,65,302
59,65,302
60,65,303
61,65,303
62,65,305
63,65,305
64,65,305
65,65,304
66,65,303
67,65,304
68,65,303
69,65,303
70,65,299
71,65,301
72,65,302
73,65,301
74,65,300
75,65,301
76,65,302
77,65,302
78,65,301
79,65,301
80,65,301
81,65,304
82,65,304
83,65,306
84,65,307
85,65,308
86,65,308
87,65,308
88,65,308
89,65,308
90,65,310
91,65,310
92,65,310
93,65,310
94,66,312
95,66,311
96,66,311
97,66,310
98,66,310
99,66,310
100,66,310
101,66,310
102,66,310
103,66,309
104,66,308
105,66,309
106,66,308
107,66,306
108,64,304
109,64,306
110,64,306
111,64,304
112,64,304
113,64,304
114,64,304
115,64,303
116,64,303
117,64,302
118,64,302
119,64,301
120,64,300
121,64,299
122,64,298
123,64,299
124,64,299
125,64,302
126,64,301
127,64,302
128,64,302
129,64,299
130,64,300
131,64,300
132,64,298
133,64,298
134,64,297
135,64,298
136,64,299
137,64,299
138,64,298
139,64,298
140,64,298
141,64,296
142,64,296
143,64,295
144,64,296
145,64,298
146,64,298
147,64,298
148,64,298
149,64,299
150,64,298
151,64,298
152,64,299
153,64,298
154,64,297
155,64,299
156,64,295
157,64,296
158,64,297
159,64,299
160,64,300
161,64,301
162,64,301
163,64,301
164,64,301
165,64,300
166,64,300
167,64,300
168,64,301
169,64,303
170,64,301
171,64,301
172,64,303
173,64,305
174,64,307
175,64,307
176,64,308
177,64,308
178,64,307
179,64,305
180,64,306
181,64,307
182,64,304
