step,split_counties,split_munis
0,64,282
1,64,281
2,64,282
3,64,284
4,64,283
5,64,282
6,64,281
7,64,281
8,64,281
9,64,280
10,64,280
11,64,280
12,64,280
13,64,279
14,64,280
15,64,283
16,64,283
17,64,283
18,64,284
19,64,285
20,64,284
21,64,283
22,64,283
23,64,283
24,64,282
25,64,282
26,64,282
27,64,282
28,64,282
29,64,282
30,64,284
31,64,284
32,64,284
33,64,284
34,64,285
35,64,288
36,64,288
37,64,288
38,64,288
39,64,290
40,64,290
41,64,293
42,64,292
43,64,293
44,64,292
45,64,293
46,64,297
47,64,297
48,64,295
49,64,295
50,64,289
51,64,290
52,64,290
53,64,292
54,64,294
55,64,293
56,64,293
57,64,293
58,64,290
59,64,290
60,64,290
61,64,290
62,64,291
63,64,293
64,64,294
65,63,293
66,62,293
67,62,292
68,62,292
69,62,292
70,62,291
71,62,291
72,62,293
73,62,292
74,62,291
75,62,289
76,62,289
77,62,288
78,62,289
79,62,289
80,62,289
81,62,289
82,62,288
83,62,287
84,62,290
85,62,291
86,62,291
87,62,293
88,62,293
89,62,293
90,62,293
91,62,293
92,62,293
93,62,294
94,62,293
95,62,292
96,62,292
97,62,292
98,62,291
99,62,291
100,62,292
101,62,293
102,62,293
103,62,293
104,62,294
105,62,293
106,62,292
107,62,293
108,62,292
109,62,289
110,62,288
111,62,288
112,62,290
113,62,290
114,62,290
115,62,290
116,62,291
117,62,290
118,62,291
119,62,290
120,62,295
121,62,295
122,62,293
123,62,293
124,62,292
125,62,292
126,62,292
127,62,292
128,62,292
129,62,292
130,62,293
131,62,295
132,62,296
133,62,296
134,62,297
135,62,294
136,62,294
137,62,292
138,62,292
139,62,293
140,62,292
141,62,292
142,62,289
143,62,289
144,62,290
145,62,289
146,62,289
147,62,289
148,62,290
149,62,290
150,62,290
151,62,290
152,62,290
153,62,285
154,62,286
155,62,285
156,62,289
157,62,287
158,62,288
159,62,291
160,62,290
161,62,289
162,62,293
163,62,295
164,62,296
165,62,296
166,63,294
167,63,295
168,63,295
169,63,295
170,63,293
171,63,293
172,63,293
173,63,293
174,63,293
175,63,293
176,63,293
177,63,292
178,63,292
179,63,292
180,63,292
181,63,292
182,63,291
183,63,291
184,63,290
185,63,290
186,63,290
187,63,290
188,63,290
189,63,288
190,63,286
191,63,285
192,63,285
193,63,287
194,63,287
195,63,288
196,63,291
197,63,292
198,63,294
199,63,292
200,63,292
201,63,292
202,63,293
203,63,293
204,63,293
205,63,294
206,63,295
207,63,293
208,63,293
209,63,293
210,63,290
211,63,288
212,63,287
213,63,285
214,63,285
215,63,285
216,63,285
217,63,283
218,63,284
219,63,283
220,63,280
221,63,281
222,63,280
223,63,282
224,63,280
225,63,281
226,63,282
227,63,282
228,63,282
229,63,281
230,63,281
231,63,282
232,63,284
233,63,285
234,63,283
235,63,284
236,63,285
237,63,286
238,63,286
239,63,288
240,63,288
241,63,288
242,63,288
243,63,288
244,62,287
245,62,286
246,62,286
247,62,286
248,62,286
249,62,287
250,62,289
251,62,290
252,62,293
253,62,293
254,62,293
255,62,291
256,62,291
257,62,291
258,62,291
259,62,293
260,62,293
261,62,295
262,62,294
263,62,293
264,62,293
265,62,293
266,62,293
267,63,294
268,63,293
269,63,295
270,63,295
271,63,295
272,63,293
273,63,294
274,63,294
275,63,294
276,63,293
277,63,294
278,63,293
279,64,295
280,64,294
281,64,294
282,64,294
283,64,296
284,64,296
285,65,298
286,65,298
287,65,298
288,65,298
289,65,297
290,65,297
291,65,298
292,65,302
293,65,302
294,65,302
295,65,301
296,65,301
297,65,300
298,65,300
299,65,300
300,65,299
301,65,299
302,65,296
303,65,297
304,65,298
305,65,298
306,65,298
307,65,297
308,64,294
309,64,294
310,64,294
311,64,293
312,64,293
313,64,292
314,64,288
315,64,288
316,64,289
317,64,290
318,64,293
319,64,294
320,64,294
321,64,293
322,64,293
323,64,295
324,64,297
325,64,293
326,64,294
327,64,293
328,64,293
329,64,293
330,64,294
331,64,294
332,64,294
333,64,296
334,64,296
335,64,297
336,64,297
337,64,297
338,64,295
339,64,297
340,64,295
341,64,293
342,64,293
