step,split_counties,split_munis
0,64,282
1,64,282
2,64,280
3,64,279
4,64,279
5,64,279
6,64,277
7,64,278
8,64,278
9,64,281
10,64,281
11,64,280
12,64,280
13,64,280
14,64,280
15,64,279
16,64,279
17,64,280
18,64,279
19,64,280
20,64,278
21,64,278
22,64,274
23,64,278
24,64,276
25,64,275
26,64,277
27,64,276
28,64,276
29,64,276
30,64,276
31,64,276
32,64,277
33,64,277
34,64,277
35,64,277
36,64,278
37,64,280
38,64,280
39,64,279
40,64,279
41,64,280
42,64,280
43,64,279
44,64,278
45,64,278
46,64,278
47,64,278
48,64,278
49,64,278
50,64,278
51,64,278
52,64,277
53,64,278
54,64,277
55,64,277
56,64,279
57,64,279
58,64,281
59,64,281
60,64,281
61,64,281
62,64,283
63,64,283
64,64,283
65,64,282
66,64,282
67,64,282
68,64,282
69,64,282
70,64,283
71,64,282
72,64,282
73,64,281
74,64,281
75,64,281
76,64,280
77,64,281
78,64,282
79,64,285
80,64,283
81,64,283
82,64,283
83,64,281
84,64,281
85,64,280
86,64,281
87,64,281
88,64,281
89,64,281
90,64,280
91,64,280
92,64,279
93,64,279
94,64,279
95,64,279
96,64,278
97,64,277
98,64,277
99,64,277
100,64,278
101,64,277
102,64,277
103,64,279
104,65,280
105,65,281
106,65,281
107,65,281
108,65,281
109,65,281
110,65,281
111,65,279
112,65,279
113,65,278
114,65,279
115,65,283
116,65,283
117,65,282
118,65,282
119,65,284
120,65,284
121,65,284
122,65,284
123,65,282
124,65,282
125,65,284
126,64,284
127,64,284
128,64,285
129,64,287
130,64,289
131,64,290
132,64,290
133,64,290
134,64,290
135,64,287
136,64,287
137,64,287
138,64,286
139,65,283
140,65,283
141,65,283
142,65,283
143,65,281
144,65,277
145,65,276
146,65,275
147,65,275
148,65,276
149,65,277
150,65,276
151,65,276
152,65,277
153,65,277
154,65,279
155,65,279
156,65,279
157,65,278
158,65,278
159,65,280
160,65,280
161,65,278
162,65,279
163,65,279
164,65,279
165,65,280
166,65,280
167,65,283
168,65,283
169,64,282
170,64,282
171,64,282
172,64,282
173,64,286
174,64,287
175,64,287
176,64,288
177,64,287
178,64,286
179,64,291
180,64,291
181,64,290
182,64,290
183,64,290
184,64,290
185,64,291
186,65,293
187,65,293
188,65,293
189,65,293
190,65,293
191,65,290
192,65,290
193,65,289
194,65,289
195,65,287
196,65,286
197,65,286
198,65,286
199,65,286
200,65,283
201,65,282
202,65,282
203,65,282
204,65,282
205,65,284
206,65,284
207,65,284
208,65,284
209,65,284
210,66,283
211,66,284
212,66,282
213,66,282
214,66,279
215,66,279
216,66,281
217,66,281
218,66,278
219,66,281
220,66,282
221,66,283
222,66,284
223,66,289
224,66,289
225,66,288
226,66,288
227,66,288
228,66,289
229,66,288
230,66,287
231,66,285
232,66,285
233,66,284
234,66,284
235,66,285
236,66,286
237,66,286
238,66,286
239,66,286
240,66,285
241,66,287
242,67,287
243,67,287
244,67,289
245,67,289
246,67,289
247,67,289
248,67,289
249,67,289
250,67,289
251,67,292
252,67,292
253,67,292
254,67,294
255,67,293
256,67,291
257,67,292
258,67,292
259,67,294
260,67,292
261,67,292
262,67,291
263,67,291
264,67,289
265,67,288
266,67,288
267,67,288
268,67,288
269,67,288
270,67,291
271,67,291
272,67,292
273,67,288
274,67,287
275,67,290
276,67,290
277,67,290
278,67,289
279,67,289
280,67,289
281,67,289
282,66,290
283,66,289
284,66,291
285,66,291
286,66,291
287,66,291
288,66,292
289,66,291
290,66,291
291,66,291
292,66,293
293,66,293
294,66,293
295,66,294
296,66,294
297,64,292
298,64,294
299,64,294
300,64,296
301,64,296
302,64,295
303,64,295
304,64,292
305,64,292
306,64,293
307,64,293
308,64,294
309,64,295
310,64,297
311,64,296
312,64,296
313,64,294
314,64,294
315,64,294
316,64,294
317,64,294
318,64,293
319,64,293
320,64,296
321,64,296
322,63,294
323,63,294
324,63,294
325,63,294
326,63,296
327,63,293
328,63,293
329,63,292
330,63,292
331,63,292
332,63,292
333,63,292
334,63,295
335,63,295
336,63,294
337,63,289
338,63,289
339,63,290
340,63,289
341,63,289
342,63,289
343,63,289
344,63,289
345,63,289
346,63,289
347,63,289
348,63,289
349,63,292
350,62,292
351,62,290
352,62,288
353,62,286
354,62,286
355,62,284
356,62,284
357,62,284
358,62,285
359,62,285
360,62,286
361,62,287
362,62,287
363,62,286
364,62,286
365,62,286
366,62,285
367,62,285
368,62,285
369,62,284
370,62,284
371,62,284
372,62,283
373,62,284
374,62,284
375,62,285
376,62,286
377,62,288
378,62,288
379,62,288
380,62,288
381,62,288
382,62,288
383,63,291
384,63,292
385,63,292
386,63,290
387,62,292
388,62,291
389,62,289
390,62,291
391,63,293
392,62,294
393,62,294
394,62,294
395,62,293
396,62,292
397,62,292
398,62,292
399,62,293
400,62,294
401,62,294
402,62,295
403,62,294
404,62,292
405,62,291
406,62,291
407,62,291
408,62,293
409,62,293
410,62,293
411,62,291
412,62,290
413,62,290
414,62,290
415,62,291
416,62,292
417,62,291
418,62,292
419,62,291
420,62,291
421,62,290
422,63,291
423,63,291
424,63,291
425,63,292
426,64,293
427,64,296
428,64,296
429,64,296
430,64,297
431,64,297
432,64,297
433,64,293
