step,split_counties,split_munis
0,64,284
1,64,285
2,64,285
3,64,284
4,64,283
5,64,283
6,64,282
7,64,281
8,64,281
9,64,281
10,64,280
11,64,278
12,65,278
13,65,278
14,65,279
15,65,279
16,65,278
17,65,278
18,65,276
19,65,277
20,65,277
21,65,280
22,65,280
23,65,280
24,65,280
25,65,278
26,65,277
27,65,278
28,65,278
29,65,279
30,65,281
31,65,279
32,65,280
33,65,281
34,65,281
35,66,283
36,66,284
37,66,286
38,66,286
39,66,287
40,66,287
41,66,284
42,66,284
43,66,284
44,66,284
45,66,282
46,66,283
47,66,283
48,66,285
49,66,286
50,66,286
51,66,284
52,66,284
53,66,284
54,66,285
55,66,285
56,66,286
57,66,284
58,66,285
59,66,285
60,66,284
61,66,284
62,66,284
63,66,285
64,66,288
65,66,287
66,66,286
67,66,286
68,66,288
69,66,288
70,66,288
71,66,289
72,66,291
73,66,292
74,66,292
75,65,290
76,65,290
77,65,290
78,65,290
79,64,288
80,64,288
81,64,291
82,64,291
83,64,292
84,64,292
85,64,292
86,64,292
87,64,292
88,64,292
89,64,292
90,64,293
91,64,292
92,64,292
93,64,292
94,64,289
95,65,289
96,65,289
97,65,291
98,65,291
99,65,290
100,65,285
101,65,285
102,65,285
103,65,285
104,65,283
105,65,283
106,65,284
107,65,285
108,65,285
109,65,283
110,65,281
111,65,281
112,65,281
113,65,283
114,65,283
115,65,282
116,65,283
117,65,282
118,65,282
119,65,281
120,65,282
121,65,282
122,65,282
123,65,282
124,65,281
125,65,281
126,65,281
127,65,282
128,65,282
129,65,284
130,65,284
131,65,283
132,65,283
133,65,286
134,65,285
135,65,284
136,65,284
137,65,283
138,65,284
139,65,282
140,65,281
141,65,280
142,65,280
143,65,281
144,65,281
145,65,281
146,65,281
147,65,281
148,65,281
149,65,281
150,66,284
151,66,283
152,66,283
153,66,285
154,66,285
155,66,285
156,66,285
157,66,284
158,67,288
159,67,288
160,67,288
161,67,287
162,67,288
163,67,288
164,67,287
165,67,287
166,67,285
167,67,284
168,67,284
169,67,284
170,67,282
171,67,282
172,67,282
173,67,283
174,67,283
175,67,283
176,67,283
177,67,282
178,67,283
179,67,283
180,67,283
181,67,284
182,67,284
183,67,283
184,67,283
185,67,283
186,67,284
187,67,286
188,67,287
189,67,288
190,67,289
191,67,289
192,67,291
193,67,292
194,67,293
195,67,293
196,67,293
197,67,293
198,67,294
199,67,292
200,67,293
201,67,293
202,67,293
203,67,292
204,67,293
205,67,293
206,67,292
207,67,292
208,67,292
209,67,289
210,67,289
211,67,289
212,67,289
213,67,289
214,67,290
215,67,292
216,67,294
217,67,293
218,67,291
219,67,295
220,67,298
221,67,297
222,67,297
223,67,297
224,67,298
225,67,298
226,67,297
227,67,297
228,67,298
229,67,298
230,67,299
231,67,298
232,67,298
233,67,299
234,67,299
235,67,299
236,67,299
237,67,301
238,67,304
239,67,305
240,67,306
241,67,306
242,67,306
243,67,305
244,67,305
245,67,306
246,67,304
247,67,304
248,67,305
249,67,308
250,67,308
251,66,313
252,66,314
253,66,315
254,66,314
255,66,316
256,66,314
257,66,314
258,66,313
259,66,312
260,66,311
261,66,311
262,66,311
263,66,311
264,66,310
265,66,308
266,66,309
267,66,311
268,66,310
269,66,310
270,66,305
271,66,305
272,66,303
273,66,304
274,66,301
275,66,302
276,66,302
277,66,302
278,66,301
279,66,300
