step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,282
4,64,282
5,63,281
6,63,281
7,62,281
8,62,281
9,62,281
10,62,280
11,62,280
12,62,279
13,62,278
14,62,276
15,62,276
16,62,276
17,62,276
18,62,276
19,62,279
20,62,281
21,62,280
22,63,278
23,63,279
24,63,279
25,63,280
26,63,279
27,63,277
28,63,277
29,63,277
30,63,277
31,63,274
32,63,273
33,63,273
34,63,274
35,63,274
36,64,275
37,64,275
38,64,275
39,64,277
40,64,274
41,64,274
42,64,274
43,64,274
44,64,274
45,64,273
46,64,273
47,64,273
48,64,274
49,64,274
50,64,275
51,64,274
52,64,273
53,64,271
54,64,275
55,64,277
56,64,280
57,64,281
58,64,281
59,64,282
60,64,283
61,64,285
62,64,284
63,64,286
64,64,286
65,64,287
66,64,287
67,64,287
68,64,287
69,64,291
70,64,291
71,64,291
72,64,291
73,64,291
74,64,291
75,64,291
76,64,291
77,65,291
78,65,291
79,65,290
80,65,290
81,65,290
82,65,290
83,65,290
84,65,291
85,65,291
86,65,291
87,65,292
88,65,292
89,65,292
90,65,290
91,65,290
92,65,291
93,65,291
94,65,291
95,65,291
96,65,290
97,65,291
98,65,292
99,65,293
100,65,293
101,65,293
102,65,293
103,65,293
104,65,292
105,65,292
106,65,291
107,65,292
108,65,292
109,65,297
110,65,297
111,65,297
112,65,298
113,65,299
114,65,301
115,65,301
116,65,301
117,65,300
118,65,300
119,65,298
120,65,298
121,65,299
122,65,299
123,65,299
124,65,300
125,65,301
126,65,301
127,65,302
128,65,302
129,65,305
130,65,307
131,65,307
132,65,307
133,65,307
134,65,307
135,65,308
136,65,309
137,66,305
138,66,305
139,66,305
140,66,306
141,66,305
142,66,306
143,66,302
144,66,302
145,66,303
146,66,304
147,66,301
148,66,300
149,66,299
150,66,299
151,66,299
152,66,301
153,66,300
154,66,299
155,66,298
156,66,298
157,66,299
158,66,299
159,66,297
160,66,298
161,66,298
162,66,298
163,66,297
164,66,297
165,66,296
166,66,296
167,66,296
168,66,296
169,66,296
170,66,295
171,66,293
172,66,293
173,66,293
174,66,293
175,66,293
176,66,293
177,66,294
178,66,292
179,67,292
180,67,292
181,67,292
182,67,292
183,67,296
184,67,297
185,67,298
186,67,296
187,67,296
188,67,296
189,67,296
190,67,299
191,67,299
192,67,299
193,67,299
194,67,299
195,67,300
196,67,299
197,67,298
198,67,298
199,67,300
200,67,300
201,67,301
202,67,301
203,67,300
204,67,302
205,67,302
206,67,303
207,67,303
208,67,303
209,67,303
210,67,300
211,67,299
212,67,299
213,67,299
214,67,301
215,67,301
216,67,300
217,67,300
218,67,300
219,67,300
220,67,302
221,67,302
222,67,302
223,67,302
224,67,302
225,67,302
226,67,301
227,67,303
228,67,303
229,67,303
230,67,302
231,67,302
232,67,302
233,67,303
234,67,303
235,67,302
236,67,304
237,67,306
238,67,306
239,67,307
240,67,307
241,67,307
242,67,307
243,67,305
244,67,302
245,67,299
246,67,298
247,67,298
248,67,299
249,67,298
250,67,298
251,67,297
252,66,295
253,66,295
254,66,297
255,66,297
256,66,298
257,66,295
258,66,298
259,66,298
260,66,296
261,66,294
262,66,294
263,66,294
264,66,291
265,66,290
266,65,287
267,65,287
268,65,288
269,65,287
270,65,287
271,65,287
272,65,289
273,65,289
274,65,289
275,66,292
276,66,292
277,66,296
278,66,297
279,66,296
280,66,296
281,66,296
282,66,296
283,66,296
284,66,298
285,66,299
286,66,300
287,66,298
288,66,299
289,66,298
290,66,296
291,66,297
292,66,297
293,66,298
294,66,298
295,66,300
296,66,300
297,66,302
298,66,300
299,66,301
300,67,302
301,67,302
302,67,303
303,67,300
304,67,300
305,67,300
306,67,301
307,67,300
308,67,300
309,67,298
310,67,298
311,67,299
312,67,298
313,67,298
314,67,300
315,67,300
316,67,301
317,67,301
318,67,301
319,67,299
320,67,297
321,67,297
322,67,298
323,67,298
324,67,297
325,67,297
326,67,297
327,67,294
328,67,293
329,67,287
330,67,286
331,67,286
332,67,285
333,67,285
334,67,284
335,67,284
336,67,284
337,67,284
338,67,285
339,67,283
340,67,283
341,67,285
342,67,284
343,67,285
344,67,282
345,67,282
346,67,281
347,67,280
348,67,280
349,67,282
350,67,279
351,67,277
352,67,276
353,67,275
354,67,275
355,67,275
356,67,275
357,67,278
358,67,280
359,67,282
360,67,282
361,67,281
362,67,281
363,67,281
364,67,279
365,67,280
366,67,280
367,67,280
368,67,279
369,67,279
370,67,278
371,67,277
372,67,278
373,67,278
374,67,279
375,67,279
376,67,279
377,67,278
378,67,278
379,67,279
380,67,283
381,67,283
382,67,286
383,67,286
384,67,284
385,67,285
386,67,286
387,67,286
388,67,286
389,67,286
390,67,285
391,67,286
392,67,286
393,67,285
394,67,285
395,67,284
396,67,285
397,67,285
398,67,284
399,67,284
400,67,284
401,67,284
402,67,284
403,67,287
404,67,286
405,67,287
406,67,287
407,67,285
408,67,285
409,67,285
410,67,285
411,67,284
412,67,285
413,67,285
414,67,283
415,67,284
416,67,284
417,67,283
418,67,287
419,67,288
420,67,289
421,67,290
422,67,290
423,67,291
424,67,291
425,68,292
426,68,291
427,68,291
428,68,291
429,68,291
430,68,291
431,68,291
432,68,291
433,68,291
