step,split_counties,split_munis
0,64,282
1,64,282
2,64,281
3,64,282
4,64,282
5,64,282
6,64,282
7,64,282
8,64,282
9,64,282
10,64,281
11,64,280
12,64,279
13,64,281
14,64,282
15,64,282
16,64,282
17,64,282
18,64,283
19,64,285
20,64,285
21,64,284
22,64,284
23,64,285
24,64,286
25,64,285
26,64,285
27,64,285
28,64,283
29,64,284
30,64,285
31,64,286
32,64,285
33,64,286
34,64,289
35,64,287
36,64,287
37,64,287
38,64,287
39,64,287
40,64,287
41,64,288
42,63,288
43,63,288
44,63,287
45,63,288
46,63,288
47,63,288
48,63,288
49,63,287
50,63,287
51,63,288
52,63,288
53,63,287
54,63,285
55,63,285
56,63,284
57,63,283
58,63,282
59,63,282
60,63,279
61,63,280
62,63,279
63,63,279
64,63,280
65,63,280
66,63,279
67,63,279
68,63,276
69,63,275
70,64,277
71,64,277
72,64,275
73,64,275
74,65,274
75,65,275
76,65,275
77,65,277
78,65,277
79,65,276
80,65,275
81,65,275
82,65,274
83,65,274
84,65,274
85,65,276
86,65,275
87,65,275
88,65,275
89,65,274
90,65,275
91,65,274
92,65,274
93,65,273
94,65,273
95,65,273
96,65,273
97,65,273
98,65,273
99,65,273
100,65,272
101,65,272
102,65,272
103,65,273
104,65,273
105,65,273
106,65,273
107,65,275
108,65,274
109,65,274
110,65,276
111,65,280
112,65,280
113,65,282
114,65,282
115,65,282
116,65,281
117,65,283
118,65,283
119,65,284
120,65,286
121,65,286
122,65,287
123,65,288
124,65,290
125,65,290
126,65,291
127,65,292
128,65,292
129,65,292
130,65,292
131,65,291
132,65,291
133,65,291
134,65,291
135,65,291
136,65,291
137,65,291
138,65,290
139,65,291
140,65,291
141,65,294
142,65,294
143,65,292
144,65,292
145,65,291
146,65,291
147,65,291
148,65,291
149,65,290
150,65,290
151,65,290
152,65,289
153,65,289
154,65,289
155,65,290
156,65,291
157,65,291
158,65,291
159,65,291
160,65,291
161,65,291
162,65,290
163,65,292
164,65,292
165,65,292
166,65,295
167,65,292
168,65,293
169,65,294
170,65,294
171,65,293
172,65,293
173,65,293
174,65,295
175,65,295
176,65,293
177,65,292
178,65,292
179,65,292
180,65,291
181,65,292
182,65,298
183,65,296
184,65,297
185,65,298
186,65,298
187,65,299
188,65,299
189,65,298
190,65,297
191,65,296
192,65,296
193,65,296
194,65,297
195,65,297
196,65,296
197,65,296
198,65,296
199,65,297
200,65,297
201,65,297
202,65,295
203,65,295
204,65,293
205,64,292
206,63,291
207,63,291
208,63,292
209,63,290
210,64,292
211,64,292
212,64,291
213,64,293
214,64,293
215,64,294
216,64,293
217,64,294
218,64,297
219,64,297
220,64,297
221,64,297
222,64,297
223,64,298
224,64,299
225,64,299
226,64,299
227,64,299
228,64,300
229,64,299
230,64,301
231,64,301
232,64,300
233,64,301
234,64,299
235,64,296
236,64,298
237,64,296
238,64,297
239,64,292
240,64,292
241,64,292
242,64,292
243,64,293
244,64,296
245,64,296
246,64,296
247,64,297
248,64,298
249,64,297
250,64,300
251,64,300
252,64,301
253,64,300
254,64,301
255,64,301
256,64,300
257,64,299
258,64,299
259,64,299
260,64,299
261,64,298
262,64,298
263,64,298
264,64,299
265,64,300
266,64,300
267,64,300
268,64,299
269,64,299
270,64,300
271,64,299
272,64,299
273,65,301
274,65,302
275,65,300
276,65,301
277,65,301
278,65,302
279,65,305
280,65,304
281,64,303
282,64,304
283,64,303
284,64,304
285,64,304
286,64,304
287,64,304
288,64,303
289,64,303
290,64,304
291,64,303
292,64,302
293,64,302
294,64,301
295,64,301
296,64,301
297,64,301
298,64,302
299,64,303
300,64,304
301,64,304
302,64,302
303,64,299
304,64,300
305,64,301
306,64,299
307,64,299
308,64,302
309,64,303
310,64,303
311,64,303
312,64,303
313,64,304
314,64,304
315,64,302
316,64,302
317,64,301
318,64,299
319,64,299
320,64,299
321,64,298
322,64,295
323,64,295
324,64,294
325,64,294
326,64,295
327,64,295
328,64,294
329,64,294
330,64,295
331,64,297
332,64,295
333,64,297
334,64,297
335,64,296
336,64,294
337,64,294
338,64,294
339,64,294
340,64,295
341,64,295
342,64,294
343,64,296
344,64,295
345,64,292
346,64,292
347,64,291
348,64,291
349,64,290
350,64,289
351,64,289
352,64,288
353,64,290
354,64,291
355,64,291
356,64,292
357,64,291
358,64,292
359,64,295
360,64,295
361,65,294
362,65,295
363,65,295
364,65,294
365,65,296
366,65,294
367,65,297
368,65,297
369,65,296
370,65,296
371,66,300
372,66,298
373,66,297
374,66,293
375,66,292
376,65,289
377,65,290
378,65,291
379,65,291
380,65,293
381,65,295
382,65,295
383,65,292
384,65,292
385,65,292
386,65,292
387,65,290
388,65,291
389,65,291
390,65,292
391,65,290
392,65,290
393,65,290
394,65,290
395,65,291
396,65,291
397,66,290
398,66,293
399,66,294
400,66,294
401,66,294
402,66,294
403,66,294
404,66,293
405,66,293
406,66,293
407,66,293
408,66,293
409,66,293
410,66,292
411,66,292
412,66,292
413,66,291
414,66,292
415,66,292
416,66,294
417,66,294
418,66,294
419,66,293
420,66,293
421,66,292
422,66,288
423,66,288
424,66,288
425,66,285
426,66,287
427,66,287
428,66,290
429,66,288
430,66,288
431,66,288
432,66,288
433,66,287
