step,split_counties,split_munis
0,64,284
1,64,286
2,64,286
3,64,286
4,64,286
5,64,287
6,64,288
7,64,291
8,64,291
9,64,292
10,64,292
11,64,291
12,64,289
13,64,291
14,64,291
15,64,291
16,64,297
17,64,299
18,64,295
19,64,295
20,64,295
21,64,296
22,64,294
23,64,295
24,64,293
25,64,293
26,64,293
27,64,293
28,65,293
29,65,293
30,65,289
31,65,290
32,65,290
33,65,290
34,65,291
35,65,292
36,65,294
37,65,294
38,65,298
39,65,298
40,65,298
41,65,298
42,65,298
43,65,298
44,65,299
45,65,300
46,65,300
47,65,300
48,65,300
49,65,302
50,65,304
51,65,305
52,65,303
53,65,303
54,65,303
55,65,303
56,65,304
57,65,305
58,65,305
59,65,305
60,65,305
61,65,306
62,65,308
63,65,308
64,65,308
65,65,306
66,65,304
67,65,307
68,65,307
69,65,306
70,65,305
71,65,304
72,65,304
73,65,306
74,65,306
75,65,303
76,65,302
77,65,302
78,65,302
79,65,303
80,65,302
81,65,302
82,65,300
83,65,300
84,65,300
85,65,299
86,65,298
87,65,298
88,65,298
89,65,301
90,65,301
91,65,301
92,65,301
93,65,300
94,65,300
95,65,298
96,65,299
97,65,300
98,65,301
99,65,301
100,65,301
101,65,301
102,65,300
103,65,299
104,65,299
105,65,299
106,65,299
107,65,299
108,65,300
109,65,301
110,65,301
111,65,301
112,65,302
113,65,304
114,65,301
115,65,300
116,65,299
117,65,299
118,65,299
119,65,299
120,65,302
121,65,302
122,65,303
123,65,302
124,65,302
125,65,301
126,65,301
127,65,301
128,65,299
129,65,299
130,65,299
131,65,296
132,65,296
133,65,296
134,65,297
135,65,299
136,65,300
137,65,299
138,65,299
139,65,298
140,65,298
141,65,299
142,65,299
143,65,298
144,65,298
145,65,300
146,65,302
147,65,302
148,65,305
149,65,305
150,65,307
151,65,308
152,65,306
153,65,307
154,65,302
155,65,302
156,65,302
157,65,303
158,65,302
159,65,304
160,65,304
161,65,304
162,65,304
163,65,304
164,66,303
165,66,303
166,66,301
167,66,300
168,66,299
169,66,299
170,66,299
171,66,299
172,66,299
173,66,299
174,66,299
175,66,300
176,66,305
177,66,306
178,66,307
179,66,307
180,66,305
181,66,304
182,66,305
183,66,304
184,66,305
185,66,306
186,66,306
187,66,306
188,66,305
189,66,302
190,66,302
191,66,302
192,66,301
193,66,302
194,66,302
195,66,302
196,66,302
197,66,302
198,66,302
199,66,303
200,66,304
201,66,304
202,66,306
203,66,305
204,66,304
205,66,304
206,65,302
207,65,299
208,65,301
209,65,301
210,65,302
211,65,298
212,65,300
213,65,300
214,65,302
215,65,302
216,65,300
217,65,302
218,65,302
219,65,301
220,65,300
221,65,300
222,65,300
223,65,301
224,65,301
225,65,301
226,65,301
227,65,302
228,65,302
229,65,301
230,65,301
231,65,301
232,64,303
233,64,303
234,64,303
235,64,303
236,64,300
237,64,300
238,65,301
239,65,302
240,65,305
241,65,305
242,65,305
243,65,305
244,64,303
245,64,300
246,64,300
247,64,300
248,64,300
249,64,300
250,64,298
251,64,298
252,64,298
253,64,301
254,64,302
255,64,302
256,64,300
257,64,300
258,64,298
259,64,298
260,64,299
261,64,303
262,64,304
263,64,307
264,64,307
265,64,311
266,63,310
267,63,310
268,63,311
269,63,317
270,63,318
271,63,318
272,63,318
273,63,318
274,63,318
275,63,318
276,63,318
277,63,318
278,63,318
279,63,322
280,63,321
281,63,320
282,63,320
283,63,319
284,63,318
285,63,319
286,63,319
287,63,320
288,64,320
289,64,317
290,64,317
291,64,316
292,64,318
293,64,318
294,64,318
295,64,318
296,64,318
297,64,318
298,64,318
299,64,318
300,64,317
301,64,318
302,64,319
303,64,319
304,63,315
305,63,318
306,63,318
307,63,314
308,63,314
309,63,315
310,63,317
311,63,316
312,63,318
313,63,318
314,63,314
315,63,314
316,63,318
317,63,314
318,63,314
319,63,313
320,63,313
321,63,313
322,63,313
323,63,314
324,63,314
325,63,313
326,63,314
327,63,314
328,63,314
329,63,314
330,63,314
331,63,315
332,63,315
333,63,314
334,63,313
335,63,313
336,63,313
337,63,312
338,63,312
339,63,309
340,63,309
341,63,312
342,63,312
343,63,312
344,63,313
345,63,313
346,63,312
347,63,312
348,63,310
349,63,310
350,63,315
351,63,317
352,63,319
353,63,318
354,63,318
355,63,320
356,63,324
357,63,323
358,63,323
359,63,322
360,63,320
361,63,320
362,63,320
363,64,318
364,64,317
365,64,316
366,64,316
367,64,317
368,64,317
369,64,319
370,64,320
371,64,318
372,64,318
373,64,317
374,64,317
375,64,309
376,64,309
377,64,309
378,64,308
379,64,307
380,64,308
381,64,309
382,64,309
383,64,308
384,64,308
385,64,307
386,64,307
387,64,305
388,64,304
389,64,304
390,64,304
391,64,304
392,64,305
393,64,305
394,64,305
395,64,305
396,63,308
397,63,308
398,63,308
399,63,309
400,63,309
401,63,310
402,63,313
403,63,313
404,63,314
405,63,315
406,63,315
407,63,315
408,63,315
409,63,315
410,63,316
411,63,317
412,63,317
413,63,314
414,63,311
415,63,309
416,63,307
417,63,306
418,63,307
419,63,307
420,63,307
421,63,304
422,63,304
423,63,304
424,63,301
425,63,303
426,63,304
427,63,304
428,63,304
429,63,303
430,63,303
431,63,304
432,64,304
433,64,305
434,64,303
435,64,299
436,64,298
437,64,298
438,64,298
439,64,296
440,64,297
441,64,300
442,64,300
443,64,299
444,64,299
445,65,300
446,65,301
447,65,302
448,65,303
449,65,303
450,65,303
451,65,302
452,65,303
453,65,302
454,65,303
455,65,303
