step,split_counties,split_munis
0,64,282
1,64,281
2,64,282
3,64,285
4,64,285
5,64,283
6,64,283
7,64,282
8,64,282
9,64,282
10,64,282
11,64,282
12,64,284
13,64,285
14,64,286
15,64,287
16,64,286
17,64,285
18,64,285
19,64,285
20,64,285
21,64,284
22,64,283
23,64,282
24,65,281
25,65,280
26,66,281
27,66,281
28,66,280
29,66,282
30,66,281
31,66,279
32,66,278
33,66,275
34,66,277
35,66,274
36,66,274
37,66,275
38,66,279
39,66,278
40,66,277
41,67,278
42,67,276
43,67,277
44,67,280
45,67,280
46,67,280
47,67,280
48,67,279
49,67,280
50,67,280
51,67,278
52,67,278
53,67,277
54,67,277
55,67,276
56,67,276
57,67,276
58,66,277
59,66,277
60,66,277
61,66,277
62,66,279
63,66,281
64,66,281
65,66,282
66,66,282
67,66,280
68,66,282
69,66,281
70,65,281
71,65,282
72,65,282
73,65,285
74,65,285
75,65,289
76,65,289
77,65,288
78,65,288
79,65,288
80,65,288
81,65,291
82,65,291
83,65,293
84,65,292
85,65,291
86,65,291
87,65,291
88,65,292
89,65,292
90,65,292
91,65,292
92,65,291
93,65,293
94,65,293
95,65,293
96,65,293
97,65,292
98,65,291
99,65,291
100,65,291
101,65,291
102,65,289
103,65,289
104,65,287
105,65,287
106,65,285
107,65,285
108,65,285
109,65,287
110,65,288
111,65,287
112,65,287
113,65,288
114,65,289
115,65,290
116,65,289
117,65,288
118,65,286
119,65,286
120,65,287
121,65,287
122,65,286
123,65,286
124,65,285
125,65,285
126,65,286
127,65,286
128,65,286
129,65,286
130,65,285
131,65,286
132,65,288
133,65,288
134,65,287
135,64,287
136,64,285
137,64,286
138,64,284
139,64,284
140,64,284
141,64,284
142,64,286
143,64,284
144,64,283
145,64,283
146,64,284
147,64,287
148,64,288
149,64,287
150,64,286
151,64,286
152,64,286
153,64,284
154,64,284
155,64,284
156,64,282
157,64,282
158,64,282
159,64,282
160,64,279
161,64,277
162,64,276
163,64,277
164,64,278
165,64,276
166,64,278
167,65,280
168,65,281
169,65,281
170,65,279
171,65,279
172,65,279
173,65,279
174,65,278
175,65,278
176,65,277
177,65,276
178,65,277
179,65,281
180,65,280
181,65,280
182,65,282
183,65,280
184,65,280
185,65,280
186,65,280
187,65,284
188,65,284
189,65,284
190,65,283
191,65,283
192,65,280
193,65,280
194,65,280
195,65,280
196,65,279
197,65,280
198,65,280
199,65,280
200,65,278
201,65,278
202,65,278
203,65,278
204,65,278
205,65,278
206,65,278
207,65,278
208,65,276
209,65,276
210,65,275
211,65,274
212,65,275
213,65,272
214,65,272
215,65,270
216,65,269
217,65,269
218,65,270
219,65,271
220,65,271
221,65,271
222,65,270
223,65,274
224,65,273
225,65,275
226,65,274
227,65,276
228,65,275
229,65,276
230,65,275
231,65,279
232,65,279
233,65,278
234,65,279
235,65,279
236,65,279
237,65,279
238,65,279
239,65,278
240,66,281
241,66,281
242,65,277
243,65,279
244,65,280
245,65,281
246,65,284
247,65,284
248,65,285
249,65,285
250,66,282
251,66,282
252,66,282
253,66,279
254,66,281
255,66,282
256,66,282
257,66,282
258,66,282
259,66,282
260,66,281
261,66,284
262,66,284
263,66,285
264,66,287
265,66,286
266,66,286
267,66,286
268,66,286
269,66,286
270,66,287
271,66,290
272,66,290
273,66,290
274,66,290
275,66,288
276,66,288
277,66,288
278,66,288
279,66,287
280,67,287
281,67,287
282,67,285
283,67,286
284,67,288
285,67,290
286,66,292
287,66,292
288,66,292
289,66,290
290,66,291
291,66,291
292,66,286
293,66,286
294,66,289
295,66,288
296,66,288
297,66,287
298,66,286
299,66,286
300,66,286
301,65,285
302,65,283
303,65,283
304,65,282
305,65,281
306,65,281
307,65,281
308,65,281
309,65,284
310,65,284
311,65,284
312,65,288
313,65,285
314,65,285
315,65,285
316,65,285
317,65,285
318,65,284
319,65,283
320,65,283
321,65,282
322,65,286
323,65,286
324,65,286
325,65,287
326,65,286
327,65,288
328,65,289
329,65,291
330,65,291
331,65,289
332,65,289
333,65,291
334,65,291
335,65,292
336,65,289
337,65,288
338,65,288
339,65,290
340,65,291
341,65,291
342,65,291
