step,split_counties,split_munis
0,64,282
1,64,283
2,64,283
3,64,283
4,64,281
5,64,284
6,64,284
7,64,281
8,64,282
9,64,282
10,64,282
11,64,281
12,64,281
13,64,281
14,64,281
15,64,281
16,64,280
17,64,279
18,64,278
19,64,279
20,64,279
21,64,279
22,64,281
23,64,281
24,65,283
25,65,283
26,65,285
27,65,285
28,65,285
29,65,286
30,66,287
31,66,287
32,66,287
33,66,285
34,66,285
35,66,286
36,66,289
37,66,289
38,66,290
39,66,290
40,66,289
41,66,288
42,66,286
43,66,286
44,66,286
45,66,289
46,66,289
47,66,287
48,66,287
49,66,288
50,66,288
51,66,288
52,66,288
53,66,287
54,66,288
55,66,288
56,66,289
57,66,290
58,65,289
59,65,286
60,65,286
61,65,286
62,65,287
63,65,284
64,65,283
65,65,283
66,65,283
67,65,282
68,65,280
69,65,279
70,65,281
71,65,281
72,65,281
73,65,280
74,65,280
75,65,279
76,65,280
77,65,282
78,65,282
79,65,283
80,65,282
81,65,282
82,65,285
83,65,285
84,65,283
85,65,283
86,65,284
87,65,286
88,65,287
89,65,287
90,65,288
91,65,289
92,65,287
93,65,288
94,65,286
95,65,286
96,65,286
97,65,283
98,65,283
99,65,283
100,65,283
101,65,286
102,65,286
103,65,287
104,65,290
105,65,288
106,65,288
107,65,290
108,65,290
109,65,290
110,65,290
111,65,290
112,65,287
113,65,286
114,64,285
115,64,289
116,64,290
117,64,290
118,64,289
119,64,287
120,64,287
121,64,289
122,64,289
123,64,289
124,64,289
125,64,289
126,64,289
127,64,289
128,64,290
129,64,288
130,64,286
131,64,288
132,64,288
133,64,285
134,64,284
135,64,284
136,64,285
137,64,284
138,64,284
139,64,283
140,64,281
141,64,281
142,64,281
143,64,281
144,64,279
145,64,279
146,64,281
147,64,281
148,64,281
149,64,281
150,64,278
151,64,277
152,64,276
153,64,276
154,64,276
155,64,277
156,64,277
157,64,277
158,64,277
159,64,276
160,64,277
161,64,276
162,64,276
163,64,276
164,64,276
165,64,275
166,64,275
167,64,276
168,64,276
169,64,276
170,64,276
171,64,276
172,64,276
173,64,277
174,64,276
175,65,279
176,65,282
177,65,282
178,65,282
179,65,282
180,65,283
181,65,284
182,65,284
183,65,281
184,65,283
185,65,283
186,65,283
187,65,285
188,65,286
189,65,286
190,65,286
191,65,286
192,65,286
193,65,286
194,65,287
195,65,285
196,65,286
197,65,287
198,65,287
199,65,287
200,65,289
201,65,288
202,65,285
203,65,285
204,65,285
205,65,285
206,65,285
207,65,285
208,65,286
209,65,286
210,65,286
211,65,284
212,65,283
213,65,283
214,65,283
215,65,283
216,65,285
217,65,286
218,65,286
219,65,285
220,65,286
221,65,284
222,65,283
223,65,285
224,65,285
225,65,285
226,65,285
227,65,286
228,65,287
229,65,287
230,65,288
231,65,288
232,65,286
233,65,285
234,65,285
235,65,284
236,65,284
237,65,284
238,65,283
239,65,282
240,65,284
241,65,284
