step,split_counties,split_munis
0,64,282
1,64,281
2,64,281
3,64,280
4,64,280
5,64,280
6,64,280
7,64,280
8,64,279
9,64,279
10,64,278
11,64,282
12,64,281
13,64,281
14,64,283
15,64,284
16,64,283
17,64,281
18,64,281
19,64,281
20,64,280
21,64,280
22,65,280
23,65,280
24,65,281
25,65,283
26,65,283
27,65,284
28,65,284
29,65,282
30,65,284
31,65,287
32,65,286
33,65,286
34,65,286
35,65,286
36,65,285
37,65,286
38,65,287
39,65,288
40,65,288
41,65,291
42,65,292
43,65,293
44,65,292
45,65,292
46,65,293
47,65,290
48,65,288
49,65,288
50,65,288
51,65,286
52,65,286
53,65,284
54,65,284
55,65,284
56,65,283
57,65,283
58,65,283
59,65,283
60,65,282
61,65,282
62,65,283
63,65,283
64,65,283
65,65,282
66,65,282
67,65,282
68,65,282
69,65,282
70,65,277
71,65,276
72,65,276
73,65,277
74,65,277
75,65,277
76,65,275
77,65,275
78,65,276
79,65,276
80,65,277
81,65,277
82,65,277
83,65,272
84,65,270
85,65,271
86,65,271
87,65,271
88,66,272
89,66,272
90,66,273
91,66,273
92,65,271
93,65,271
94,65,268
95,65,270
96,65,271
97,65,271
98,65,271
99,65,271
100,65,272
101,65,271
102,65,271
103,65,269
104,66,269
105,66,269
106,66,270
107,66,270
108,66,270
109,66,270
110,66,271
111,66,271
112,66,273
113,66,272
114,66,272
115,66,272
116,66,272
117,66,271
118,66,272
119,66,272
120,66,273
121,66,273
122,66,274
123,66,273
124,66,273
125,66,273
126,66,273
127,66,273
128,66,273
129,66,274
130,66,272
131,66,273
132,66,273
133,66,273
134,66,273
135,66,273
136,66,274
137,66,274
138,66,277
139,66,277
140,66,277
141,66,278
142,65,280
143,65,281
144,65,281
145,65,281
146,65,281
147,65,281
148,65,281
149,65,281
150,65,280
151,65,279
152,65,280
153,65,280
154,65,280
155,65,281
156,65,281
157,65,281
158,65,280
159,65,281
160,65,280
161,65,281
162,65,283
163,65,283
164,65,283
165,65,282
166,65,282
167,65,282
168,65,282
169,65,282
170,65,283
171,65,282
172,65,283
173,65,283
174,65,282
175,65,282
176,65,282
177,65,282
178,65,281
179,65,281
180,65,279
181,65,282
182,65,286
183,65,285
184,65,285
185,65,283
186,65,283
187,65,283
188,65,282
189,65,281
190,65,280
191,65,280
192,65,280
193,65,280
194,65,281
195,65,279
196,65,279
197,65,279
198,65,275
199,65,276
200,65,276
201,65,277
202,65,277
203,65,275
204,65,273
205,65,273
206,65,273
207,65,273
208,65,273
209,65,273
210,65,275
211,65,276
212,65,276
213,65,275
214,65,274
215,65,274
216,65,273
217,65,273
218,65,274
219,65,273
220,65,273
221,65,273
222,65,272
223,65,273
224,65,273
225,65,269
226,65,270
227,65,270
228,65,269
229,65,269
230,65,269
231,65,270
232,65,270
233,65,270
234,65,269
235,65,269
236,65,267
237,65,264
238,65,264
239,65,264
240,65,263
241,65,264
242,65,266
243,65,265
244,65,266
245,65,266
246,65,266
247,65,267
248,65,266
249,65,266
250,65,265
251,65,268
252,65,268
253,65,266
254,65,264
255,65,264
256,65,267
257,65,266
258,65,269
259,65,271
260,65,270
261,65,270
262,65,274
263,65,274
264,65,274
265,65,274
266,65,275
267,65,274
268,65,274
269,65,274
270,65,273
271,65,273
272,65,273
273,65,273
274,65,273
275,65,273
276,65,273
277,65,274
278,65,274
279,66,272
280,66,272
281,66,273
282,66,272
283,66,275
284,66,278
285,66,277
286,66,277
287,66,275
288,66,274
289,66,275
290,66,273
291,66,272
292,66,272
293,66,272
294,66,271
295,66,272
296,66,272
297,66,271
298,66,271
299,66,270
300,66,269
301,66,271
302,66,275
303,66,275
304,66,275
305,66,275
306,66,277
307,66,277
308,66,275
309,66,275
310,66,275
311,65,274
312,65,275
313,65,275
314,65,275
315,65,277
316,65,278
317,65,280
318,65,280
319,65,280
320,65,276
321,65,275
322,65,273
323,65,275
324,65,279
325,65,279
326,65,279
327,65,280
328,65,279
329,65,279
330,65,279
331,65,279
332,65,280
333,65,280
334,66,281
335,66,281
336,66,281
337,66,279
338,66,281
339,66,282
340,67,281
341,67,283
342,67,284
