step,split_counties,split_munis
0,64,282
1,64,282
2,64,286
3,64,283
4,64,284
5,64,284
6,64,284
7,64,284
8,64,284
9,64,281
10,64,281
11,64,279
12,64,279
13,65,282
14,65,281
15,65,280
16,65,280
17,65,280
18,65,280
19,65,279
20,65,279
21,64,276
22,63,277
23,63,278
24,63,278
25,63,278
26,63,278
27,63,278
28,63,278
29,63,278
30,63,278
31,63,278
32,63,280
33,63,280
34,63,280
35,63,281
36,63,280
37,63,280
38,63,279
39,63,278
40,63,278
41,63,278
42,63,277
43,63,280
44,63,279
45,63,279
46,63,279
47,63,279
48,63,279
49,63,279
50,63,281
51,63,281
52,63,282
53,63,282
54,63,282
55,63,282
56,63,280
57,63,280
58,63,280
59,63,280
60,63,279
61,63,279
62,63,281
63,63,279
64,63,279
65,63,279
66,63,279
67,63,279
68,63,282
69,63,282
70,63,283
71,63,283
72,63,282
73,63,280
74,64,281
75,64,282
76,64,283
77,64,283
78,64,284
79,64,284
80,64,288
81,64,287
82,64,287
83,64,287
84,64,285
85,64,288
86,64,289
87,64,289
88,64,291
89,64,291
90,64,292
91,64,292
92,64,292
93,64,292
94,64,292
95,64,291
96,63,291
97,63,291
98,63,291
99,63,290
100,63,290
101,63,291
102,63,293
103,63,293
104,63,293
105,63,293
106,63,294
107,63,294
108,63,294
109,63,294
110,63,294
111,63,294
112,63,294
113,63,292
114,63,293
115,63,292
116,63,292
117,63,292
118,63,292
119,63,292
120,63,294
121,63,293
122,63,292
123,63,293
124,63,294
125,63,297
126,63,300
127,63,299
128,63,299
129,63,299
130,63,299
131,63,301
132,63,301
133,63,301
134,63,301
135,63,301
136,64,304
137,64,304
138,64,302
139,64,302
140,64,301
141,64,300
142,64,299
143,64,299
144,64,299
145,64,299
146,64,300
147,64,297
148,64,302
149,64,303
150,64,304
151,64,304
152,64,305
153,64,307
154,64,307
155,64,310
156,64,309
157,64,307
158,64,304
159,64,303
160,64,304
161,64,306
162,64,306
163,64,306
164,64,306
165,64,306
166,64,304
167,64,305
168,64,302
169,64,301
170,64,301
171,64,301
172,64,300
173,64,301
174,64,301
175,64,301
176,64,301
177,65,300
178,65,300
179,65,300
180,65,298
181,65,298
182,65,298
183,65,298
184,65,299
185,65,298
186,65,297
187,65,297
188,65,297
189,65,297
190,65,298
191,65,298
192,65,298
193,65,298
194,65,298
195,65,298
196,65,298
197,65,294
198,65,294
199,65,295
200,65,295
201,65,295
202,65,298
203,65,297
204,65,300
205,65,300
206,65,300
207,65,301
208,65,301
209,65,301
210,65,301
211,65,301
212,65,299
213,65,298
214,65,296
215,65,295
216,65,295
217,65,294
218,65,294
219,65,294
220,65,293
221,65,293
222,65,293
223,65,291
224,65,293
225,65,294
226,65,294
227,65,295
228,65,295
229,65,296
230,65,297
231,65,296
232,64,296
233,64,294
234,64,294
235,64,294
236,64,294
237,64,292
238,64,292
239,64,293
240,64,293
241,64,294
242,64,293
243,64,293
244,64,294
245,64,295
246,64,296
247,64,299
248,64,299
249,64,299
250,64,298
251,64,298
252,64,298
253,64,300
254,64,300
255,64,299
256,64,299
257,64,300
258,64,298
259,64,298
260,64,297
261,64,298
262,64,298
263,64,297
264,64,297
265,64,301
266,64,300
267,64,300
268,64,299
269,64,297
270,64,297
271,64,297
272,64,296
273,64,296
274,64,297
275,64,296
276,64,296
277,64,296
278,64,296
279,64,297
280,64,297
281,64,297
282,64,297
283,64,296
284,64,294
285,64,294
286,64,293
287,64,293
288,64,293
289,64,297
290,64,299
291,64,300
292,64,300
293,64,301
294,64,301
295,64,300
296,63,300
297,63,301
298,63,306
299,63,306
300,63,306
301,63,307
302,63,307
303,63,311
304,63,311
305,63,307
306,63,307
307,63,306
308,63,306
309,63,307
310,63,306
311,63,307
312,63,307
313,63,307
314,63,307
315,63,301
316,63,300
317,63,300
318,63,301
319,63,301
320,63,301
321,63,301
322,64,301
323,64,301
324,64,301
325,64,301
326,64,295
327,64,294
328,64,295
329,64,296
330,64,296
331,64,296
332,64,296
333,64,293
334,64,293
335,64,292
336,64,294
337,64,294
338,64,295
339,64,295
340,64,296
341,64,295
342,64,295
343,64,295
344,64,297
345,64,296
346,64,294
347,65,296
348,65,293
349,65,294
350,65,294
351,65,293
352,65,293
353,65,294
354,65,296
355,65,295
356,65,298
357,65,301
358,65,298
359,65,300
360,65,297
361,65,296
362,65,296
363,65,296
364,65,296
365,65,295
366,65,296
367,65,297
368,65,300
369,65,301
370,65,300
371,65,301
372,65,299
373,65,301
374,65,305
375,65,307
376,65,307
377,66,309
378,66,306
379,66,307
380,66,308
381,66,308
382,66,304
383,66,302
384,66,302
385,66,302
386,66,302
387,66,303
388,66,303
389,66,305
390,66,305
391,67,306
392,67,306
393,67,307
394,67,306
395,67,306
396,67,305
397,67,307
398,67,307
399,67,308
400,67,308
401,67,308
402,67,308
403,67,308
404,67,308
405,67,309
406,67,308
407,67,308
408,67,305
409,67,306
410,67,306
411,67,306
412,67,308
413,67,308
414,67,308
415,67,306
416,67,306
417,67,305
418,67,304
419,67,301
420,67,302
421,67,301
422,67,300
423,67,301
424,67,301
425,67,300
426,67,301
427,67,301
428,67,301
429,67,302
430,67,302
431,67,302
432,67,302
433,67,303
