step,split_counties,split_munis
0,64,284
1,64,285
2,64,285
3,64,287
4,64,287
5,64,287
6,64,287
7,64,287
8,64,287
9,64,287
10,64,288
11,64,289
12,64,292
13,64,292
14,64,290
15,64,290
16,64,292
17,64,288
18,64,288
19,64,285
20,64,285
21,64,285
22,64,287
23,64,287
24,64,288
25,64,287
26,64,289
27,64,289
28,64,288
29,64,288
30,64,290
31,64,290
32,64,290
33,64,290
34,64,288
35,64,288
36,64,288
37,64,288
38,64,292
39,64,292
40,64,293
41,64,293
42,64,295
43,64,295
44,64,294
45,64,294
46,64,295
47,64,295
48,64,294
49,64,294
50,64,296
51,64,295
52,64,296
53,64,297
54,64,295
55,64,295
56,64,294
57,64,293
58,64,293
59,64,293
60,64,293
61,64,292
62,64,290
63,64,290
64,64,290
65,64,290
66,64,290
67,64,292
68,64,292
69,64,292
70,64,292
71,64,293
72,64,293
73,64,292
74,64,292
75,64,290
76,64,290
77,65,290
78,65,291
79,65,291
80,65,291
81,65,291
82,65,290
83,65,289
84,65,293
85,65,293
86,65,294
87,65,295
88,65,298
89,65,299
90,65,297
91,65,297
92,65,296
93,65,296
94,65,299
95,65,299
96,65,298
97,65,298
98,65,298
99,65,299
100,65,299
101,65,299
102,65,301
103,65,302
104,65,302
105,65,302
106,65,298
107,65,297
108,65,294
109,65,294
110,65,294
111,65,294
112,65,294
113,65,294
114,65,293
115,65,293
116,65,294
117,66,294
118,66,293
119,66,293
120,66,293
121,66,291
122,66,290
123,66,290
124,66,291
125,66,293
126,66,292
127,66,294
128,67,294
129,67,298
130,67,298
131,67,298
132,67,295
133,67,295
134,67,295
135,67,293
136,67,293
137,67,293
138,67,293
139,67,293
140,67,294
141,67,294
142,67,294
143,67,290
144,67,290
145,67,290
146,67,290
147,67,291
148,67,292
149,67,293
150,67,293
151,67,293
152,67,292
153,67,292
154,67,294
155,67,294
156,67,297
157,67,297
158,67,299
159,67,299
160,67,299
161,67,299
162,67,298
163,67,298
164,67,298
165,67,300
166,67,300
167,67,301
168,67,299
169,67,300
170,67,300
171,67,301
172,67,301
173,67,300
174,67,300
175,67,300
176,67,299
177,67,299
178,67,299
179,67,302
180,67,300
181,67,300
182,67,300
183,67,299
184,67,299
185,67,300
186,67,301
187,67,302
188,67,303
189,67,303
190,67,304
191,67,304
192,67,304
193,67,305
194,67,305
195,67,305
196,67,301
197,67,302
198,67,302
199,67,302
200,67,302
201,67,303
202,67,303
203,67,303
204,67,303
205,67,303
206,67,302
207,67,302
208,67,302
209,67,302
210,67,302
211,67,301
212,67,301
213,67,301
214,67,302
215,67,303
216,67,301
217,67,301
218,67,299
219,67,299
220,67,303
221,66,302
222,66,303
223,66,303
224,66,298
225,66,293
226,66,293
227,66,293
228,66,297
229,66,298
230,66,297
231,66,298
232,66,298
233,66,298
234,65,300
235,65,300
236,65,302
237,65,302
238,65,302
239,65,302
240,65,302
241,65,302
242,65,304
243,65,304
244,65,304
245,65,301
246,65,302
247,65,302
248,65,303
249,65,303
250,65,303
251,65,303
252,65,303
253,65,303
254,65,303
255,65,304
256,65,304
257,65,303
258,65,304
259,65,304
260,65,304
261,65,305
262,65,306
263,65,306
264,65,306
265,65,306
266,65,308
267,65,307
268,65,306
269,65,306
270,65,305
271,65,303
272,65,302
273,65,305
274,65,303
275,65,305
276,65,305
277,65,305
278,65,306
279,65,305
