step,split_counties,split_munis
0,64,282
1,64,280
2,64,279
3,64,280
4,64,281
5,64,281
6,64,282
7,64,283
8,64,282
9,64,285
10,64,285
11,64,285
12,64,285
13,64,284
14,64,284
15,64,284
16,64,283
17,64,290
18,64,290
19,64,290
20,64,290
21,64,291
22,64,284
23,64,285
24,64,285
25,64,284
26,65,284
27,65,284
28,65,283
29,64,281
30,64,281
31,64,281
32,64,281
33,64,280
34,64,280
35,64,280
36,64,276
37,64,275
38,64,275
39,64,276
40,64,276
41,64,276
42,64,276
43,64,275
44,64,273
45,64,272
46,64,271
47,64,271
48,64,274
49,64,274
50,64,274
51,64,272
52,64,273
53,64,273
54,64,273
55,64,274
56,64,274
57,64,274
58,64,274
59,64,273
60,64,273
61,64,272
62,64,273
63,64,271
64,64,271
65,64,271
66,64,272
67,64,272
68,64,271
69,64,272
70,64,272
71,64,272
72,64,271
73,64,272
74,64,272
75,64,274
76,64,274
77,64,274
78,64,274
79,64,274
80,64,276
81,64,274
82,65,276
83,65,275
84,65,275
85,65,273
86,65,274
87,65,274
88,65,275
89,65,271
90,65,271
91,65,271
92,65,271
93,65,272
94,64,267
95,64,265
96,64,265
97,64,265
98,64,265
99,64,267
100,64,267
101,64,268
102,64,270
103,64,271
104,64,272
105,64,272
106,64,272
107,64,272
108,64,272
109,64,275
110,64,274
111,64,275
112,64,277
113,64,277
114,64,276
115,64,272
116,64,271
117,64,269
118,64,270
119,64,271
120,64,271
121,64,271
122,64,271
123,64,272
124,64,273
125,64,272
126,64,271
127,64,271
128,64,271
129,64,269
130,64,268
131,64,267
132,64,267
133,64,266
134,64,266
135,64,266
136,63,269
137,63,269
138,63,269
139,63,270
140,63,270
141,63,271
142,63,271
143,63,271
144,63,271
145,63,272
146,63,273
147,63,273
148,63,274
149,63,273
150,63,273
151,63,272
152,64,274
153,64,274
154,64,274
155,64,274
156,64,274
157,64,273
158,64,273
159,64,274
160,64,272
161,64,271
162,64,272
163,64,273
164,64,273
165,64,276
166,63,276
167,63,276
168,63,276
169,63,276
170,63,272
171,63,272
172,63,271
173,63,269
174,64,269
175,64,270
176,64,268
177,64,267
178,64,268
179,64,270
180,64,269
181,64,271
182,64,270
183,64,272
184,64,273
185,64,274
186,64,275
187,65,273
188,65,272
189,65,274
190,65,272
191,65,275
192,65,275
193,65,275
194,65,275
195,65,274
196,65,275
197,65,274
198,65,273
199,65,274
200,65,274
201,66,272
202,66,272
203,66,273
204,65,272
205,65,268
206,65,268
207,65,268
208,65,268
209,65,268
210,65,267
211,65,267
212,65,267
213,65,267
214,65,266
215,65,266
216,65,265
217,65,265
