step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,282
4,64,281
5,64,280
6,64,280
7,64,279
8,64,278
9,64,278
10,64,279
11,64,279
12,64,279
13,64,279
14,64,279
15,64,279
16,64,281
17,64,282
18,64,281
19,64,282
20,64,283
21,64,283
22,64,282
23,64,282
24,64,279
25,64,279
26,64,279
27,64,279
28,64,280
29,64,280
30,64,280
31,64,280
32,64,280
33,64,282
34,64,282
35,64,283
36,64,284
37,64,286
38,64,285
39,64,283
40,64,283
41,64,283
42,64,281
43,64,280
44,64,277
45,64,277
46,64,277
47,65,279
48,65,279
49,66,279
50,66,280
51,67,282
52,67,282
53,67,282
54,67,281
55,67,281
56,67,283
57,67,282
58,67,282
59,67,281
60,67,282
61,67,283
62,67,284
63,67,284
64,67,284
65,67,284
66,67,285
67,67,285
68,67,285
69,67,285
70,67,285
71,67,285
72,67,285
73,67,285
74,67,286
75,67,287
76,67,287
77,67,287
78,67,288
79,67,287
80,67,287
81,67,291
82,67,291
83,67,295
84,67,295
85,67,295
86,67,295
87,67,294
88,67,296
89,67,296
90,67,298
91,67,295
92,67,294
93,67,294
94,67,294
95,67,294
96,67,295
97,67,294
98,67,292
99,67,292
100,67,292
101,67,291
102,67,290
103,67,290
104,67,290
105,67,288
106,67,289
107,67,289
108,67,289
109,67,289
110,67,290
111,67,290
112,67,291
113,67,291
114,67,289
115,67,288
116,67,289
117,67,289
118,67,290
119,67,290
120,67,291
121,67,292
122,67,292
123,67,291
124,67,291
125,67,291
126,68,291
127,68,290
128,68,290
129,68,290
130,68,287
131,68,287
132,68,288
133,68,288
134,67,287
135,67,287
136,67,289
137,67,288
138,67,287
139,67,286
140,67,286
141,67,286
142,67,284
143,67,284
144,67,285
145,67,286
146,67,286
147,67,284
148,67,284
149,67,285
150,67,286
151,67,286
152,67,286
153,67,286
154,67,286
155,67,286
156,67,288
157,66,288
158,66,287
159,66,288
160,66,285
161,66,286
162,66,287
163,66,288
164,66,289
165,66,289
166,66,291
167,66,291
168,66,291
169,66,291
170,66,291
171,66,288
172,66,290
173,66,290
174,66,291
175,66,291
176,66,292
177,66,292
178,66,296
179,66,295
180,66,294
181,66,293
182,66,290
183,66,290
184,66,288
185,66,288
186,66,288
187,66,288
188,66,288
189,66,290
190,66,288
191,66,286
192,66,286
193,66,285
194,66,287
195,66,287
196,66,290
197,66,289
198,66,291
199,66,291
200,66,291
201,66,293
202,66,293
203,66,292
204,66,292
205,66,291
206,66,291
207,65,288
208,65,288
209,65,289
210,65,290
211,65,290
212,65,290
213,65,290
214,65,290
215,65,290
216,65,291
217,65,291
218,65,291
219,65,292
220,65,292
221,65,292
222,65,292
223,65,293
224,65,291
225,65,292
226,65,290
227,65,292
228,64,294
229,64,294
230,64,295
231,64,295
232,64,294
233,64,292
234,64,292
235,64,291
236,64,291
237,64,288
238,64,287
239,64,287
240,64,286
241,64,287
242,64,287
243,64,288
244,64,290
245,64,292
246,64,292
247,64,292
248,64,291
249,64,292
250,64,291
251,64,294
252,64,294
253,65,292
254,65,288
255,65,286
256,65,284
257,65,285
258,65,285
259,65,288
260,65,290
261,65,290
262,65,290
263,65,289
264,65,289
265,65,289
266,65,289
267,65,285
268,65,286
269,65,286
270,65,286
271,65,288
272,65,288
273,65,284
274,65,284
275,65,287
276,65,287
277,65,286
278,65,285
279,65,285
280,65,285
281,65,285
282,65,283
283,65,284
284,65,284
285,66,283
286,66,281
287,65,284
288,65,285
289,65,285
290,65,285
291,65,285
292,65,285
293,65,284
294,65,284
295,65,285
296,65,286
297,65,287
298,65,287
299,65,287
300,65,287
301,65,285
302,65,283
303,65,281
304,65,282
305,65,282
306,65,280
307,65,280
308,65,278
309,65,278
310,65,276
311,65,278
312,66,276
313,66,276
314,66,276
315,66,275
316,66,276
317,66,276
318,66,276
319,66,272
320,66,273
321,66,273
322,67,273
323,67,279
324,67,279
325,67,278
326,67,280
327,67,281
328,67,279
329,67,279
330,67,281
331,67,281
332,67,282
333,67,281
334,67,281
335,67,282
336,67,282
337,67,282
338,67,283
339,67,282
340,67,282
341,67,281
342,67,280
343,67,278
344,67,279
345,67,280
346,67,280
347,67,280
348,67,278
349,67,278
350,67,276
351,67,275
352,67,279
353,67,279
354,67,278
355,67,278
356,67,280
357,67,283
358,67,282
359,67,281
360,67,281
361,67,281
362,67,281
363,67,281
364,67,281
365,67,281
366,67,282
367,67,282
368,67,282
369,67,282
370,67,284
371,67,284
372,67,288
373,67,287
374,67,285
375,67,285
376,67,289
377,68,290
378,68,292
379,68,293
380,68,295
381,68,295
382,68,294
383,68,295
384,68,295
385,68,295
386,68,295
387,68,295
388,68,295
389,68,297
390,68,296
391,68,295
392,68,296
393,68,295
394,68,295
395,68,295
396,68,295
397,68,296
398,68,294
399,68,294
400,68,294
401,68,294
402,68,294
403,68,294
404,68,295
405,68,294
406,68,295
407,68,294
408,68,296
409,68,296
410,68,295
411,68,296
412,68,296
413,68,297
414,68,298
415,68,301
416,68,300
417,68,299
418,68,300
419,68,301
420,68,301
421,68,298
422,68,298
423,68,299
424,68,300
425,68,301
426,68,301
427,68,302
428,68,302
429,68,301
430,68,301
431,68,301
432,68,298
433,68,300
