step,split_counties,split_munis
0,64,284
1,64,283
2,64,282
3,64,281
4,64,280
5,64,279
6,64,278
7,64,279
8,64,279
9,64,279
10,64,277
11,64,277
12,64,277
13,64,277
14,64,277
15,64,277
16,64,277
17,64,276
18,64,276
19,64,276
20,64,276
21,64,275
22,64,275
23,64,275
24,64,275
25,64,275
26,64,274
27,64,274
28,64,274
29,64,275
30,64,275
31,64,275
32,64,275
33,64,272
34,64,273
35,64,273
36,64,273
37,64,275
38,64,275
39,64,273
40,64,275
41,64,277
42,64,278
43,64,279
44,64,282
45,64,283
46,65,284
47,65,282
48,65,282
49,65,281
50,65,282
51,64,284
52,64,285
53,64,284
54,64,284
55,64,284
56,64,285
57,64,285
58,64,285
59,64,283
60,64,285
61,64,284
62,64,283
63,64,285
64,64,285
65,64,283
66,64,282
67,64,282
68,64,282
69,64,282
70,64,283
71,64,286
72,64,286
73,64,286
74,64,286
75,64,286
76,64,286
77,64,287
78,64,286
79,64,285
80,64,286
81,64,287
82,64,286
83,64,285
84,64,284
85,64,280
86,64,280
87,64,281
88,64,281
89,64,281
90,64,283
91,64,283
92,64,282
93,64,282
94,64,282
95,64,282
96,64,282
97,64,284
98,64,282
99,64,283
100,64,284
101,64,284
102,64,284
103,64,288
104,64,288
105,64,289
106,64,287
107,64,288
108,64,292
109,64,287
110,64,287
111,64,289
112,64,290
113,64,289
114,64,290
115,64,290
116,64,290
117,64,290
118,64,291
119,64,290
120,64,290
121,64,292
122,64,295
123,64,295
124,64,295
125,64,296
126,64,295
127,64,295
128,64,291
129,64,292
130,65,294
131,65,294
132,65,294
133,65,293
134,65,291
135,64,287
136,64,290
137,64,290
138,64,290
139,64,294
140,64,292
141,64,291
142,64,291
143,64,287
144,64,286
145,64,291
146,64,294
147,64,294
148,64,294
149,64,291
150,64,290
151,64,290
152,64,288
153,64,287
154,64,287
155,64,287
156,64,288
157,64,289
158,64,289
159,64,290
160,64,287
161,64,288
162,64,288
163,64,285
164,64,284
165,64,284
166,63,287
167,63,288
168,63,287
169,63,289
170,63,290
171,63,291
172,63,291
173,63,291
174,63,291
175,63,291
176,63,291
177,63,291
178,63,291
179,63,291
180,63,292
181,63,292
182,63,292
183,63,294
184,63,294
185,63,294
186,63,295
187,63,294
188,63,294
189,63,292
190,63,292
191,63,293
192,63,292
193,63,290
194,63,291
195,63,292
196,63,292
197,63,293
198,63,293
199,63,293
200,63,293
201,63,290
202,63,290
203,63,289
204,63,289
205,63,287
206,63,286
207,64,286
208,64,288
209,65,290
210,65,293
211,65,293
212,65,292
213,65,292
214,64,290
215,64,290
216,64,288
217,64,288
218,64,288
219,64,287
220,64,287
221,64,286
222,64,286
223,64,289
224,64,289
225,64,291
226,64,294
227,64,293
228,64,290
229,64,290
230,64,290
231,64,287
232,64,287
233,64,287
234,64,286
235,64,286
236,64,286
237,64,287
238,64,286
239,64,286
240,64,286
241,64,286
242,64,286
243,64,286
244,64,286
245,64,288
246,64,288
247,64,288
248,64,287
249,64,286
250,64,286
251,64,286
252,64,286
253,64,285
254,64,285
255,64,285
256,65,283
257,65,284
258,65,286
259,65,285
260,65,285
261,65,285
262,65,285
263,65,285
264,65,285
265,65,286
266,65,286
267,65,287
268,65,291
269,65,292
270,65,293
271,65,293
272,65,293
273,65,293
274,65,291
275,65,291
276,65,288
277,65,288
278,65,289
279,65,289
280,65,289
281,65,289
282,65,290
283,65,293
284,65,292
285,65,292
286,65,295
287,65,294
288,65,294
289,65,294
290,65,292
291,65,292
292,65,292
293,65,292
294,65,293
295,65,292
296,65,293
297,65,294
298,65,295
299,64,297
300,64,297
301,64,298
302,64,297
303,64,296
304,64,296
305,64,295
306,64,296
307,64,296
308,64,296
309,64,296
310,64,296
311,64,297
312,64,297
313,64,295
314,64,295
315,64,295
316,64,295
317,64,294
318,64,294
319,64,295
320,64,297
321,64,295
322,64,295
323,64,296
324,64,293
325,64,293
326,64,289
327,64,288
328,64,287
329,64,287
330,64,286
331,64,286
332,64,286
333,64,286
334,64,286
335,64,287
336,64,287
337,64,285
338,64,285
339,64,285
340,64,288
341,64,287
342,64,287
343,64,287
344,64,287
345,64,289
346,64,289
347,64,289
348,64,289
349,64,288
350,64,288
351,64,290
352,64,286
353,64,288
354,64,288
355,64,288
356,64,289
357,64,287
358,64,287
359,64,285
360,64,284
361,65,283
362,65,279
363,65,279
364,65,278
365,66,276
366,66,280
367,66,280
368,66,279
369,66,278
370,66,278
371,66,279
372,66,278
373,66,278
374,66,278
375,66,278
376,66,280
377,66,281
378,66,281
379,66,277
380,66,277
381,66,277
382,66,275
383,66,275
384,66,275
385,66,275
386,66,274
387,66,273
388,66,272
389,66,274
390,66,274
391,66,271
392,66,273
393,66,275
394,66,275
395,66,277
396,66,278
397,66,277
398,66,276
399,66,276
400,66,276
401,66,274
402,66,274
403,66,275
404,66,277
405,66,277
406,66,277
407,66,277
408,66,277
409,66,276
410,66,276
411,66,277
412,66,277
413,66,276
414,66,274
415,66,274
416,66,273
417,66,272
418,66,272
419,66,274
420,66,275
421,66,274
422,66,279
423,66,279
424,66,279
425,66,279
426,66,280
427,66,282
428,66,282
429,66,282
430,66,281
431,66,281
432,66,281
433,66,281
434,66,281
435,66,281
436,66,281
437,66,281
438,66,282
439,66,286
440,66,283
441,66,279
442,66,280
443,66,280
444,66,281
445,66,281
446,66,282
447,66,281
448,66,282
449,66,282
450,66,283
451,66,283
452,66,284
453,66,281
454,66,281
455,66,281
456,66,284
457,66,282
458,66,282
459,66,281
460,66,283
461,66,284
462,66,284
463,66,284
464,66,285
465,66,284
466,66,284
467,66,283
468,66,284
469,66,283
470,66,285
471,66,284
472,66,284
473,66,281
474,66,282
475,66,282
476,66,282
477,66,282
478,66,282
479,66,283
480,66,280
481,66,280
482,66,279
483,66,276
484,66,275
485,66,276
486,66,275
487,66,277
488,66,274
489,66,274
490,67,273
491,67,274
492,67,272
493,67,273
494,67,274
495,67,273
496,67,272
497,67,272
498,67,273
499,67,273
500,67,273
501,67,273
502,67,273
503,67,273
504,67,273
505,67,273
506,67,273
507,67,273
508,67,272
509,67,273
510,67,274
511,67,275
512,67,277
513,67,277
514,67,277
515,67,276
516,67,277
517,67,276
518,67,274
519,67,275
520,67,275
521,66,274
522,66,275
523,66,275
524,66,276
525,66,275
526,65,277
527,65,278
528,65,278
529,65,278
530,65,276
531,65,276
532,65,276
533,64,277
534,64,277
535,64,278
536,65,280
537,65,281
538,65,281
539,65,281
540,65,280
541,65,280
542,65,280
543,65,280
544,65,281
545,65,282
546,65,279
547,65,280
548,65,279
549,65,280
550,65,280
551,65,276
552,65,277
553,65,276
554,65,278
555,65,277
556,65,277
557,65,277
558,65,277
559,65,277
560,65,277
561,65,276
562,65,278
563,65,278
564,65,276
565,65,277
566,65,278
567,65,279
568,65,280
569,65,280
570,65,280
571,65,280
572,65,281
573,65,280
574,65,280
575,65,280
576,65,279
577,65,282
578,65,283
579,65,283
580,65,282
581,65,282
582,65,281
583,65,282
584,65,283
585,65,278
586,65,280
587,65,281
588,65,283
589,65,285
590,65,289
591,65,289
592,65,291
593,65,292
594,65,289
595,65,288
596,66,287
597,66,287
598,66,288
599,66,287
600,66,287
601,66,287
602,66,286
603,66,284
604,66,283
605,66,283
606,66,282
607,66,282
608,65,282
609,65,285
610,65,286
611,65,286
612,65,287
613,65,287
614,65,287
615,65,286
616,65,286
617,65,286
618,65,284
619,65,284
620,65,284
621,65,284
622,65,284
623,65,284
624,65,284
625,65,285
626,65,286
627,65,286
628,65,284
629,65,285
630,65,285
631,65,284
632,65,285
633,65,285
634,65,280
635,65,280
636,65,282
637,65,282
638,65,282
639,65,283
640,65,283
641,65,280
642,65,280
643,65,279
644,65,277
645,65,281
646,65,280
647,65,279
648,65,279
649,65,279
650,65,279
651,65,279
652,65,279
653,65,279
654,65,280
655,65,280
656,65,281
657,65,282
658,65,282
659,65,281
660,65,282
661,65,281
662,65,280
663,65,281
664,66,284
665,66,284
666,66,282
667,66,281
668,66,280
669,66,278
670,66,281
671,66,281
672,66,281
673,66,282
674,65,283
675,65,286
676,65,287
677,65,292
678,65,293
679,65,292
680,65,290
681,65,291
682,65,290
683,65,290
684,65,291
685,64,292
686,64,292
687,64,292
688,64,290
689,64,290
690,64,291
691,64,291
692,64,291
693,64,291
694,64,291
695,64,292
696,64,291
697,64,291
698,64,291
699,64,291
700,64,289
701,64,288
702,64,288
703,64,284
704,64,283
705,64,282
706,65,284
707,65,284
708,65,283
709,65,287
710,65,287
711,65,290
712,65,291
713,65,293
714,65,292
715,65,292
716,65,293
717,65,294
718,65,294
719,65,296
720,65,292
721,65,289
722,65,289
723,65,289
724,65,290
725,65,290
726,65,291
727,65,291
728,65,291
729,65,292
730,65,294
731,65,294
732,64,291
733,64,291
734,64,291
735,64,292
736,64,292
737,64,292
738,64,291
739,64,293
740,64,293
741,64,296
742,64,296
743,64,296
744,64,298
745,64,299
746,64,297
747,64,296
748,64,299
749,64,298
750,64,297
751,64,297
752,64,297
753,64,297
754,64,297
755,64,299
756,64,300
757,65,300
758,65,300
759,65,299
760,65,299
761,65,299
762,65,298
763,65,296
764,65,296
765,65,296
766,65,296
767,65,296
768,65,296
769,65,299
770,65,299
771,65,299
772,65,300
773,65,299
774,64,300
775,64,303
776,64,304
777,64,305
778,64,306
779,64,305
780,65,304
781,65,305
782,65,305
783,65,311
784,65,311
785,65,312
786,65,310
787,65,310
788,65,309
789,65,309
790,65,306
791,65,308
792,65,306
793,65,306
794,65,303
795,65,302
796,65,302
797,65,303
798,66,304
799,66,303
800,66,304
801,66,298
802,66,298
803,66,298
804,66,299
805,66,299
806,66,300
807,66,302
808,66,304
809,66,304
810,66,304
811,66,304
812,66,304
813,66,305
814,65,303
815,65,305
816,65,304
817,65,304
818,65,303
819,65,303
820,65,302
821,65,304
822,65,304
823,65,303
824,65,302
825,65,302
826,65,303
827,65,304
828,65,302
829,65,303
830,65,303
831,65,302
832,65,303
833,65,303
834,65,303
835,65,304
836,65,303
837,65,302
838,65,302
839,65,302
840,65,300
841,65,298
842,65,298
843,65,298
844,65,298
845,65,298
846,65,301
847,65,303
848,65,302
849,65,302
850,65,302
851,65,302
852,65,302
853,65,302
854,66,302
855,66,302
856,66,303
857,66,303
858,66,305
859,66,304
860,66,304
861,66,304
862,66,305
863,66,304
864,66,304
