step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,280
4,64,280
5,64,280
6,64,280
7,64,279
8,64,279
9,64,278
10,64,278
11,64,278
12,64,278
13,64,279
14,64,279
15,64,279
16,64,280
17,64,278
18,64,278
19,64,278
20,64,278
21,64,277
22,64,279
23,64,279
24,64,279
25,64,280
26,64,280
27,64,280
28,65,279
29,65,278
30,65,278
31,65,278
32,65,278
33,65,278
34,65,278
35,65,278
36,65,278
37,65,278
38,65,278
39,65,279
40,65,279
41,65,279
42,65,277
43,65,273
44,65,275
45,65,275
46,65,275
47,65,273
48,65,273
49,65,273
50,65,273
51,65,274
52,65,273
53,65,274
54,65,274
55,66,277
56,66,277
57,66,277
58,66,278
59,66,278
60,66,276
61,66,276
62,66,275
63,66,275
64,66,275
65,66,275
66,66,275
67,66,277
68,66,278
69,66,278
70,66,278
71,66,282
72,66,282
73,66,280
74,66,282
75,66,283
76,66,284
77,66,284
78,66,283
79,66,283
80,67,285
81,67,286
82,67,285
83,67,286
84,67,285
85,67,285
86,67,286
87,67,286
88,67,283
89,67,282
90,67,282
91,67,283
92,67,283
93,67,283
94,67,283
95,67,283
96,67,284
97,67,284
98,67,283
99,67,283
100,67,281
101,67,282
102,67,282
103,67,282
104,67,282
105,67,284
106,67,285
107,67,286
108,67,288
109,67,289
110,67,289
111,66,289
112,66,289
113,66,289
114,66,288
115,66,289
116,66,289
117,66,289
118,66,290
119,66,291
120,66,291
121,66,289
122,66,288
123,66,288
124,66,288
125,66,288
126,66,287
127,66,287
128,66,287
129,66,287
130,66,286
131,66,285
132,66,285
133,66,285
134,66,286
135,66,284
136,66,282
137,66,282
138,66,282
139,66,282
140,66,278
141,66,274
142,66,270
143,66,270
144,66,271
145,66,271
146,66,271
147,66,271
148,66,269
149,66,269
150,66,268
151,66,267
152,66,267
153,66,267
154,66,267
155,66,267
156,66,268
157,66,269
158,66,269
159,66,270
160,66,270
161,66,271
162,66,273
163,66,273
164,66,274
165,66,274
166,66,274
167,66,275
168,66,275
169,66,275
170,66,275
171,66,275
172,66,278
173,66,276
174,66,276
175,66,276
176,67,276
177,67,276
178,67,278
179,67,276
180,67,281
181,67,282
182,67,279
183,67,279
184,67,279
185,67,281
186,67,281
187,67,283
188,67,283
189,67,282
190,67,282
191,67,281
192,67,281
193,67,280
194,67,278
195,67,278
196,67,278
197,67,280
198,67,282
199,67,282
200,67,283
201,67,282
202,67,282
203,67,283
204,67,285
205,67,285
206,67,286
207,67,285
208,67,285
209,67,291
210,67,291
211,67,291
212,67,291
213,67,291
214,67,289
215,67,290
216,67,290
217,67,290
218,67,291
219,67,291
220,67,290
221,67,292
222,67,292
223,67,291
224,67,289
225,67,289
226,67,289
227,67,290
228,67,290
229,67,290
230,67,291
231,67,289
232,67,290
233,67,289
234,67,290
235,67,289
236,67,287
237,67,288
238,67,286
239,67,286
240,67,286
241,67,288
242,67,288
243,67,287
244,67,285
245,67,283
246,67,283
247,67,284
248,67,284
249,67,285
250,67,284
251,67,284
252,67,285
253,67,286
254,67,286
255,67,286
256,67,285
257,67,285
258,67,285
259,67,287
260,67,286
261,67,286
262,67,286
263,67,285
264,67,287
265,67,285
266,67,285
267,67,285
268,67,285
269,67,288
270,67,289
271,67,289
272,67,289
273,67,290
274,67,290
275,67,291
276,67,290
277,67,290
278,67,291
279,67,290
280,67,291
281,67,291
282,67,292
283,68,291
284,68,291
285,68,291
286,68,291
287,68,292
288,68,292
289,68,293
290,68,292
291,68,294
292,68,296
293,68,297
294,68,297
295,67,298
296,68,297
297,68,295
298,68,296
299,68,299
300,68,299
301,68,299
302,68,298
303,68,297
304,68,298
305,68,299
306,68,299
307,68,299
308,68,299
309,68,299
310,68,298
311,68,296
312,68,296
313,68,295
314,68,293
315,68,293
316,68,293
317,68,293
318,68,293
319,68,293
320,68,293
321,68,293
322,68,295
323,68,294
324,68,295
325,68,295
326,68,295
327,68,296
328,68,297
329,68,297
330,68,294
331,68,294
332,68,296
333,68,296
334,68,296
335,68,296
336,68,298
337,68,298
338,68,299
339,68,298
340,68,298
341,68,297
342,68,295
343,68,296
344,68,296
345,68,294
346,68,295
347,68,295
348,68,294
349,68,295
350,68,296
351,68,296
352,68,298
353,68,298
354,68,299
355,68,299
356,68,299
357,68,299
358,68,298
359,68,298
360,68,298
361,68,298
362,68,298
363,67,297
364,67,298
365,67,298
366,67,297
367,67,297
368,67,297
369,67,297
370,67,298
371,67,296
372,66,296
373,66,296
374,66,296
375,66,297
376,66,299
377,66,300
378,66,300
379,66,299
380,66,298
381,66,298
382,65,297
383,65,295
384,65,295
385,65,295
386,65,296
387,65,298
388,65,300
389,65,299
390,65,299
391,65,302
392,65,302
393,65,302
394,65,302
395,65,302
396,65,301
397,65,302
398,65,299
399,65,298
400,65,299
401,65,297
402,65,297
403,65,295
404,65,295
405,65,296
406,65,297
407,65,295
408,65,296
409,65,296
410,65,296
411,65,294
412,65,296
413,65,297
414,65,298
415,65,298
416,65,298
417,65,297
418,65,300
419,65,301
420,64,304
421,64,305
422,64,305
423,64,304
424,64,304
425,64,306
426,64,303
427,64,299
428,64,298
429,64,298
430,64,299
431,64,299
432,64,299
433,64,299
