step,split_counties,split_munis
0,64,282
1,63,280
2,63,279
3,63,277
4,63,276
5,63,276
6,63,272
7,63,272
8,63,271
9,63,268
10,63,268
11,63,266
12,62,259
13,62,259
14,62,259
15,61,257
16,61,256
17,61,256
18,61,253
19,61,253
20,61,250
21,61,249
22,61,247
23,61,245
24,61,245
25,61,244
26,61,243
27,61,241
28,61,241
29,61,241
30,61,241
31,61,239
32,61,239
33,61,239
34,61,239
35,61,238
36,61,238
37,61,237
38,61,235
39,61,234
40,61,233
41,61,233
42,61,232
43,61,232
44,61,232
45,61,231
46,61,227
47,61,226
48,61,226
49,61,226
50,61,225
51,60,224
52,60,223
53,59,223
54,59,223
55,59,222
56,59,222
57,59,223
58,59,221
59,59,221
60,59,219
61,59,219
62,59,219
63,59,217
64,59,217
65,59,216
66,59,216
67,58,215
68,58,216
69,58,216
70,58,216
71,58,216
72,58,216
73,58,215
74,58,215
75,58,213
76,58,213
77,58,213
78,58,212
79,58,212
80,58,212
81,58,212
82,58,212
83,58,212
84,58,212
85,58,213
86,58,213
87,58,213
88,57,211
89,57,210
90,57,210
91,57,210
92,57,210
93,57,210
94,57,209
95,57,207
96,56,205
97,56,205
98,56,202
99,56,198
100,56,198
101,56,198
102,56,198
103,56,198
104,56,197
105,56,197
106,56,197
107,56,198
108,57,199
109,57,197
110,57,197
111,57,195
112,57,195
113,57,194
114,57,190
115,57,190
116,57,190
117,57,190
118,57,190
119,57,190
120,57,191
121,57,191
122,57,191
123,57,190
124,57,190
125,57,188
126,57,188
127,57,188
128,57,188
129,57,188
130,58,187
131,58,187
132,58,187
133,58,187
134,58,186
135,58,186
136,58,182
137,58,182
138,58,182
139,58,182
140,58,182
141,58,183
142,58,183
143,58,183
144,59,183
145,59,183
146,59,182
147,59,182
148,59,179
149,59,177
150,59,177
151,59,177
152,59,178
153,59,178
154,59,178
155,59,177
156,59,176
157,58,175
158,58,174
159,58,174
160,58,174
161,58,174
162,58,174
163,58,174
164,58,173
165,58,173
166,58,171
167,58,171
168,58,171
169,58,171
170,58,171
171,58,171
172,58,172
173,58,172
174,58,172
175,58,172
176,58,172
177,58,172
178,58,173
179,58,173
180,57,172
181,57,172
182,57,171
183,58,171
184,58,172
185,58,172
186,58,172
187,58,170
188,58,170
189,58,170
190,58,169
191,58,169
192,58,170
193,58,165
194,58,165
195,58,165
196,58,164
197,58,164
198,58,164
199,58,163
200,58,161
201,58,160
202,58,159
203,58,157
204,58,156
205,58,156
206,58,156
207,58,156
208,58,156
209,58,156
210,58,155
211,58,155
212,57,154
213,57,153
214,57,154
215,57,154
216,57,154
217,57,151
218,57,151
219,57,151
220,57,152
221,57,152
222,57,151
223,57,151
224,57,151
225,57,151
226,57,150
227,57,151
228,57,150
229,57,150
