step,split_counties,split_munis
0,64,284
1,63,282
2,63,281
3,63,275
4,63,275
5,63,273
6,63,272
7,63,271
8,63,270
9,63,270
10,63,270
11,63,271
12,63,269
13,63,269
14,63,269
15,63,266
16,63,265
17,63,264
18,63,262
19,63,262
20,63,261
21,63,260
22,63,255
23,63,255
24,63,254
25,63,250
26,63,250
27,62,248
28,62,248
29,62,248
30,62,246
31,62,245
32,62,245
33,62,245
34,62,244
35,62,243
36,62,243
37,62,243
38,62,243
39,62,243
40,60,241
41,60,240
42,60,240
43,60,240
44,60,238
45,60,238
46,60,238
47,60,236
48,60,237
49,60,237
50,60,237
51,60,237
52,60,237
53,60,237
54,60,237
55,60,237
56,60,237
57,60,236
58,60,236
59,60,234
60,60,234
61,60,232
62,60,232
63,60,230
64,60,228
65,60,227
66,60,226
67,60,226
68,60,226
69,60,225
70,60,224
71,60,225
72,60,224
73,60,221
74,60,219
75,60,219
76,60,219
77,60,217
78,60,217
79,60,217
80,60,216
81,60,217
82,60,218
83,60,218
84,59,217
85,59,217
86,59,215
87,59,214
88,59,210
89,59,209
90,59,210
91,59,210
92,59,209
93,59,209
94,59,209
95,59,208
96,59,208
97,59,209
98,59,209
99,59,206
100,59,206
101,59,206
102,59,206
103,59,206
104,59,206
105,59,205
106,59,205
107,59,203
108,59,203
109,59,203
110,59,203
111,59,203
112,58,203
113,58,202
114,58,202
115,58,202
116,58,201
117,58,201
118,58,202
119,58,202
120,58,200
121,58,200
122,58,199
123,58,199
124,58,198
125,58,193
126,58,192
127,58,192
128,58,193
129,58,193
130,58,191
131,58,191
132,58,190
133,59,189
134,58,186
135,58,186
136,58,184
137,58,184
138,58,184
139,58,184
140,58,184
141,58,184
142,58,184
143,58,183
144,58,182
145,58,180
146,58,179
147,58,179
148,58,179
149,58,179
150,58,179
151,58,179
152,58,178
153,58,178
154,58,177
155,58,177
156,58,177
157,58,177
158,58,177
159,58,177
160,58,177
161,58,177
162,58,177
163,58,177
164,58,177
165,58,177
166,58,177
167,58,176
168,58,176
169,58,176
170,58,176
171,58,175
172,58,176
173,58,176
174,58,175
175,58,175
176,58,175
177,58,175
178,58,175
179,58,174
180,58,172
181,58,172
182,58,170
183,58,170
184,58,170
185,58,168
186,58,167
187,58,167
188,58,168
189,58,168
190,58,169
191,58,169
192,58,169
193,58,170
194,58,170
195,58,169
196,58,170
197,58,171
198,58,171
199,58,171
200,58,172
201,58,171
202,58,170
203,58,169
204,58,169
205,58,169
206,58,170
207,58,170
208,58,167
209,58,166
210,58,166
211,58,166
212,58,166
213,58,164
214,58,165
215,58,165
216,57,163
217,57,163
218,57,162
219,57,162
220,57,162
221,57,161
222,57,161
223,57,161
224,57,159
225,57,158
226,57,157
227,57,157
228,57,157
229,56,157
230,56,157
231,56,157
232,55,155
233,55,155
234,55,152
235,55,152
236,55,152
237,55,152
238,55,151
239,55,151
240,55,151
241,55,151
242,55,151
243,55,151
244,55,151
245,55,151
246,55,151
247,55,151
248,55,151
249,55,152
250,55,152
251,55,152
252,55,151
253,55,152
254,55,152
255,55,152
256,55,152
257,55,151
258,56,152
259,56,151
260,56,152
261,56,152
262,56,152
263,56,153
264,56,154
265,56,154
266,56,154
267,57,154
268,57,153
269,57,153
270,57,153
271,57,153
272,57,152
273,57,152
274,57,151
275,57,152
276,57,151
277,57,150
278,57,150
279,57,150
280,57,147
281,57,147
282,57,146
283,57,144
284,57,145
285,57,144
286,57,144
287,57,144
288,57,144
289,57,144
290,57,143
291,57,140
292,57,141
293,57,140
294,57,138
295,57,139
296,57,139
297,57,139
298,57,139
299,57,139
300,57,140
301,57,140
302,57,141
303,57,142
304,57,141
