step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,275
4,64,272
5,64,271
6,63,270
7,63,268
8,63,268
9,63,266
10,63,264
11,63,262
12,63,259
13,63,259
14,63,257
15,63,255
16,63,255
17,63,252
18,63,249
19,63,248
20,62,247
21,62,247
22,62,248
23,62,246
24,62,247
25,62,248
26,62,248
27,62,247
28,62,246
29,62,245
30,62,246
31,62,246
32,62,245
33,62,244
34,62,243
35,62,243
36,62,243
37,62,243
38,62,239
39,62,237
40,62,238
41,62,239
42,62,240
43,62,240
44,62,238
45,62,237
46,62,236
47,62,236
48,62,234
49,62,234
50,62,234
51,62,234
52,62,234
53,62,234
54,62,234
55,62,234
56,62,232
57,62,233
58,62,232
59,61,229
60,61,228
61,61,228
62,61,227
63,61,227
64,61,226
65,61,226
66,61,225
67,61,225
68,61,225
69,61,225
70,61,225
71,61,225
72,61,223
73,61,222
74,61,222
75,61,222
76,61,223
77,61,222
78,61,220
79,61,220
80,61,215
81,61,215
82,61,215
83,61,214
84,61,214
85,61,214
86,61,214
87,61,213
88,61,210
89,61,211
90,61,211
91,61,210
92,61,210
93,61,210
94,61,210
95,61,210
96,61,209
97,61,209
98,61,207
99,61,207
100,61,207
101,61,206
102,61,206
103,61,206
104,61,204
105,61,204
106,62,203
107,62,204
108,62,204
109,62,205
110,62,205
111,62,205
112,62,205
113,62,204
114,62,204
115,62,204
116,62,204
117,62,204
118,62,204
119,62,204
120,62,204
121,62,204
122,62,203
123,62,202
124,62,200
125,62,199
126,62,199
127,62,199
128,62,199
129,62,197
130,62,196
131,62,196
132,62,196
133,62,196
134,62,196
135,62,196
136,62,196
137,62,197
138,62,197
139,62,196
140,62,196
141,62,196
142,62,195
143,61,194
144,61,192
145,61,193
146,61,192
147,61,192
148,61,192
149,61,192
150,61,191
151,61,191
152,61,191
153,61,190
154,61,190
155,61,191
156,61,191
157,61,188
158,61,187
159,61,187
160,61,183
161,60,183
162,60,183
163,60,183
164,60,183
165,60,180
166,60,180
167,60,180
168,60,180
169,60,180
170,60,178
171,60,176
172,60,175
173,60,175
174,60,175
175,60,174
176,60,173
177,60,173
178,60,173
179,60,170
180,60,170
181,60,169
182,60,169
183,61,169
184,61,169
185,61,168
186,61,166
187,61,166
188,61,166
189,61,166
190,61,166
191,61,162
192,61,161
193,61,161
194,61,159
195,61,159
196,61,158
197,61,159
198,61,157
199,61,156
200,61,156
201,61,156
202,61,156
203,61,156
204,61,156
205,61,156
206,61,156
207,61,156
208,61,156
209,61,153
210,61,153
211,61,152
212,61,152
213,61,153
214,61,152
215,61,152
216,61,152
217,60,151
218,60,151
219,60,151
220,60,150
221,60,150
222,60,148
223,60,148
224,60,148
225,60,148
226,60,149
227,60,148
228,60,148
229,60,148
230,60,148
231,60,148
232,60,148
233,60,149
234,60,149
235,60,149
236,60,148
237,60,148
238,60,148
239,60,148
240,60,148
241,60,149
242,60,149
243,60,149
244,60,148
245,60,148
246,60,145
247,60,144
248,60,143
249,60,143
250,60,143
251,60,142
252,60,143
253,60,143
254,60,142
255,60,142
256,60,142
257,60,140
258,60,140
259,59,139
260,59,139
261,59,139
262,59,139
263,59,139
264,59,139
265,59,139
266,58,139
267,58,139
268,58,140
269,58,140
270,58,140
271,58,140
272,58,138
273,58,138
274,58,139
275,58,139
276,58,139
277,58,139
278,58,138
279,58,139
280,58,138
281,58,138
282,58,136
283,58,136
284,58,136
285,58,136
286,58,137
287,58,134
288,58,134
289,58,134
290,57,134
291,57,135
292,57,136
293,57,136
294,57,136
295,57,135
296,57,136
297,57,136
298,57,136
299,57,136
300,57,136
301,57,137
302,57,138
303,57,138
304,57,138
305,57,138
306,57,140
307,57,139
308,57,139
309,57,139
310,57,137
311,57,136
312,57,136
313,57,134
314,57,134
315,57,134
316,56,135
317,56,135
318,56,135
319,56,135
320,56,136
321,56,136
322,56,135
323,56,134
324,56,134
325,56,134
326,56,134
327,56,135
328,56,133
329,56,131
330,56,128
331,56,128
332,56,127
333,56,127
334,56,126
335,56,126
336,56,126
337,56,126
338,56,126
339,56,126
340,56,126
341,56,126
342,56,126
343,56,126
344,56,125
345,56,125
346,56,125
347,56,125
348,56,125
349,56,125
350,56,125
351,56,125
352,56,125
353,56,124
354,56,124
355,56,123
356,56,123
357,56,123
358,57,123
359,57,123
360,57,123
361,57,123
362,57,123
363,57,124
364,57,124
365,57,124
366,57,124
367,57,123
368,56,123
369,56,122
370,56,122
371,56,120
372,56,120
373,56,119
374,56,118
375,56,118
376,56,118
377,56,119
378,56,119
379,56,119
380,56,119
381,56,119
382,56,118
383,56,118
384,56,120
385,56,120
386,56,120
387,56,120
388,56,120
389,56,120
390,56,120
391,56,120
392,56,120
393,56,120
394,56,120
395,56,121
396,56,121
397,56,122
398,56,122
399,56,122
400,56,121
401,56,121
402,56,121
403,56,121
404,56,121
405,56,121
406,56,121
407,56,121
408,56,120
409,56,120
410,56,120
411,56,120
412,56,119
413,56,119
414,56,120
415,56,120
416,56,120
417,56,120
418,56,121
419,55,119
420,55,118
421,55,118
422,55,118
423,55,117
424,55,117
425,55,117
426,55,117
427,55,116
428,55,115
429,55,115
430,55,115
431,55,114
432,55,114
433,55,113
