step,split_counties,split_munis
0,64,282
1,64,282
2,64,278
3,64,276
4,64,274
5,64,273
6,64,272
7,64,272
8,64,270
9,64,265
10,64,265
11,64,265
12,64,265
13,64,263
14,63,261
15,63,258
16,63,258
17,63,256
18,63,254
19,63,254
20,63,254
21,63,254
22,63,254
23,63,254
24,63,252
25,63,252
26,63,249
27,63,248
28,63,248
29,63,248
30,63,247
31,63,247
32,63,244
33,63,243
34,62,242
35,62,242
36,62,240
37,62,240
38,62,240
39,62,239
40,62,239
41,62,239
42,62,239
43,62,239
44,62,238
45,62,237
46,62,237
47,62,236
48,62,235
49,62,232
50,62,232
51,62,232
52,62,232
53,62,231
54,62,231
55,62,228
56,62,228
57,62,226
58,62,226
59,62,226
60,62,226
61,62,226
62,62,226
63,62,226
64,62,226
65,62,226
66,62,226
67,62,227
68,61,226
69,60,224
70,60,223
71,60,223
72,60,220
73,60,220
74,60,219
75,60,218
76,60,218
77,60,215
78,60,213
79,60,212
80,60,212
81,60,212
82,60,212
83,60,212
84,60,212
85,60,212
86,60,209
87,60,209
88,60,206
89,60,206
90,60,205
91,60,204
92,60,203
93,60,203
94,60,204
95,60,204
96,60,203
97,60,201
98,60,197
99,60,197
100,60,197
101,60,196
102,60,196
103,60,195
104,60,196
105,60,196
106,60,197
107,60,197
108,60,198
109,60,198
110,60,198
111,60,198
112,60,197
113,60,197
114,60,196
115,60,197
116,60,194
117,60,191
118,60,190
119,60,189
120,60,189
121,60,189
122,60,187
123,60,187
124,60,185
125,60,185
126,60,184
127,60,184
128,60,184
129,60,183
130,60,182
131,60,182
132,60,181
133,61,179
134,61,180
135,61,180
136,61,179
137,61,179
138,61,179
139,61,179
140,61,179
141,60,178
142,60,178
143,60,178
144,60,178
145,59,176
146,59,176
147,59,176
148,59,176
149,59,176
150,59,177
151,60,177
152,60,176
153,60,175
154,58,175
155,58,175
156,58,174
157,58,173
158,58,173
159,58,173
160,58,173
161,58,173
162,59,173
163,59,173
164,59,173
165,59,172
166,59,172
167,59,171
168,59,170
169,58,170
170,58,167
171,58,163
172,58,163
173,58,163
174,58,162
175,58,162
176,58,162
177,58,162
178,58,162
179,58,162
180,58,161
181,58,161
182,58,161
183,58,160
184,58,160
185,58,160
186,58,160
187,58,159
188,58,159
189,58,157
190,58,157
191,58,157
192,58,157
193,58,157
194,58,157
195,58,157
196,58,157
197,57,157
198,57,157
199,57,156
200,57,155
201,57,155
202,57,155
203,57,155
204,57,154
205,57,155
206,57,155
207,56,155
208,56,155
209,56,155
210,56,155
211,56,155
212,56,155
213,56,155
214,56,155
215,56,155
216,56,155
217,56,155
218,56,156
219,57,156
220,57,156
221,57,156
222,57,156
223,57,157
224,57,157
225,57,157
226,57,156
227,57,156
228,57,156
229,56,150
230,56,150
231,56,150
232,56,150
233,56,150
234,54,150
235,54,150
236,53,150
237,53,149
238,53,149
239,53,151
240,53,151
241,53,151
242,53,147
243,53,147
244,53,147
245,54,147
246,54,147
247,54,147
248,54,146
249,54,143
250,54,142
251,54,143
252,54,141
253,54,140
254,54,140
255,54,140
256,54,140
257,54,137
258,54,137
259,54,137
260,54,137
261,54,137
262,54,137
263,54,138
264,53,138
265,53,137
266,53,137
267,53,137
268,53,137
269,53,137
270,53,137
271,53,137
272,53,137
273,53,137
274,53,135
275,53,134
276,53,134
277,53,135
278,53,135
279,53,135
280,53,135
281,53,135
282,53,135
283,53,135
284,53,134
285,53,134
286,53,134
287,53,134
288,53,134
289,53,133
290,53,131
291,53,131
292,53,131
293,53,131
294,53,130
295,53,130
296,54,130
297,54,129
298,54,129
299,53,129
300,53,127
301,53,127
302,53,127
303,53,125
304,53,125
305,53,125
306,53,125
307,53,125
308,53,125
309,53,124
310,53,125
311,52,123
312,52,122
313,52,122
314,52,122
315,52,122
316,52,123
317,52,123
318,52,123
319,52,123
320,52,123
321,52,123
322,52,123
323,52,123
324,53,123
325,52,123
326,52,123
327,52,123
328,51,123
329,51,122
330,51,122
331,51,123
332,51,122
333,50,122
334,50,122
335,50,120
336,50,120
337,50,120
338,50,118
339,50,118
340,50,117
341,50,117
342,50,117
343,50,117
344,50,117
345,50,117
346,51,117
347,51,117
348,51,117
349,51,117
350,51,117
351,51,116
352,51,114
353,51,113
354,51,113
355,51,113
356,51,113
357,51,111
358,51,111
359,51,111
360,51,111
361,51,111
362,51,112
363,51,112
364,51,111
365,51,112
366,51,112
367,51,112
368,51,112
369,51,112
370,51,112
371,51,112
372,51,112
373,51,111
374,51,113
375,52,113
376,52,111
377,52,111
378,52,111
379,52,110
380,52,107
381,52,107
382,52,107
383,52,106
384,52,106
385,51,105
386,51,106
387,51,107
388,51,107
389,51,107
390,51,105
391,51,105
392,51,105
393,51,105
394,51,105
395,51,105
396,51,107
397,51,106
398,51,106
399,51,106
400,51,106
401,51,106
402,51,106
403,51,106
404,51,106
405,51,106
406,51,103
407,51,103
408,51,102
409,51,102
410,51,102
411,51,102
412,51,102
413,51,101
414,51,101
415,51,101
416,51,101
417,51,101
418,51,101
419,51,101
420,51,101
421,51,100
422,51,100
423,51,100
424,51,100
425,51,100
426,51,100
427,51,100
428,51,100
429,51,100
430,51,100
431,51,99
432,51,99
433,51,99
