step,split_counties,split_munis
0,64,284
1,64,283
2,64,282
3,64,282
4,64,282
5,64,280
6,64,278
7,64,276
8,64,275
9,64,275
10,64,274
11,64,274
12,63,273
13,63,270
14,63,269
15,63,270
16,63,269
17,63,268
18,63,267
19,63,263
20,63,263
21,63,263
22,63,261
23,63,257
24,63,252
25,63,251
26,63,247
27,63,247
28,63,247
29,63,247
30,63,244
31,62,242
32,62,242
33,62,241
34,62,239
35,62,238
36,62,238
37,62,237
38,62,237
39,62,237
40,62,237
41,62,235
42,62,233
43,62,233
44,62,233
45,62,231
46,62,229
47,62,227
48,62,227
49,62,227
50,62,227
51,62,228
52,62,228
53,60,226
54,60,225
55,60,225
56,60,225
57,60,225
58,60,227
59,60,227
60,60,226
61,60,224
62,60,223
63,60,220
64,60,220
65,60,220
66,60,220
67,60,219
68,60,219
69,59,219
70,59,219
71,59,216
72,59,216
73,59,215
74,59,213
75,59,213
76,59,211
77,59,212
78,59,212
79,59,212
80,59,212
81,59,212
82,59,212
83,59,211
84,59,208
85,59,208
86,59,208
87,59,208
88,59,208
89,59,207
90,59,207
91,59,207
92,59,207
93,59,207
94,59,207
95,59,206
96,59,206
97,59,206
98,59,206
99,59,205
100,59,204
101,59,202
102,59,202
103,59,202
104,59,199
105,59,199
106,59,199
107,59,199
108,59,199
109,59,199
110,59,199
111,59,196
112,59,196
113,59,195
114,59,196
115,59,197
116,59,197
117,59,197
118,59,197
119,59,197
120,59,197
121,59,197
122,59,197
123,59,197
124,59,194
125,59,194
126,59,194
127,59,194
128,59,194
129,59,194
130,59,194
131,59,193
132,59,193
133,59,192
134,59,192
135,59,192
136,59,191
137,59,191
138,59,191
139,59,191
140,59,191
141,59,190
142,59,191
143,59,188
144,58,188
145,58,188
146,58,188
147,58,188
148,58,188
149,58,188
150,58,188
151,58,188
152,58,187
153,58,187
154,58,187
155,58,187
156,57,187
157,57,185
158,57,183
159,57,180
160,57,180
161,56,178
162,56,178
163,56,178
164,56,177
165,56,177
166,56,177
167,56,177
168,55,176
169,55,176
170,55,178
171,55,177
172,55,175
173,54,174
174,54,174
175,54,173
176,54,173
177,54,173
178,54,173
179,54,172
180,54,172
181,54,172
182,54,171
183,54,170
184,54,168
185,54,168
186,54,168
187,54,168
188,54,168
189,54,168
190,54,168
191,54,168
192,53,166
193,53,166
194,53,165
195,53,165
196,53,165
197,53,164
198,53,164
199,53,164
200,53,164
201,53,164
202,53,164
203,53,165
204,53,165
205,53,165
206,53,165
207,53,165
208,53,165
209,53,165
210,53,164
211,53,164
212,53,164
213,53,163
214,53,163
215,53,164
216,53,164
217,53,164
218,53,163
219,53,163
220,53,164
221,53,161
222,53,162
223,53,162
224,53,162
225,53,162
226,53,162
227,53,162
228,53,163
229,53,163
230,53,163
231,53,163
232,54,162
233,54,160
234,54,160
235,54,158
236,54,156
237,54,156
238,54,156
239,54,156
240,54,156
241,54,155
242,54,153
243,53,153
244,53,153
245,54,153
246,54,152
247,54,152
248,54,150
249,54,150
250,54,150
251,54,150
252,54,150
253,54,149
254,54,149
255,54,149
256,54,149
257,54,149
258,54,150
259,54,151
260,54,149
261,54,149
262,54,149
263,54,148
264,54,145
265,54,145
266,54,145
267,54,145
268,54,145
269,54,144
270,54,144
271,54,145
272,54,145
273,54,146
274,54,146
275,54,147
276,54,147
277,53,141
278,53,141
279,53,141
280,53,141
281,53,141
282,53,140
283,53,140
284,53,140
285,53,140
286,53,140
287,53,139
288,52,140
289,52,140
290,52,140
291,52,140
292,52,139
293,52,139
294,52,139
295,52,139
296,52,139
297,52,139
298,52,138
299,52,137
300,52,137
301,52,136
302,52,136
303,52,136
304,52,136
305,52,136
306,52,136
307,52,136
308,52,135
309,52,135
310,52,135
311,52,135
312,52,135
313,52,135
314,52,134
315,52,134
316,52,134
317,52,134
318,52,133
319,52,133
320,51,133
321,51,133
322,51,133
323,51,133
324,51,133
325,51,133
326,51,133
327,51,133
328,51,132
329,51,132
330,51,130
331,51,130
332,51,130
333,51,131
334,51,129
335,51,129
336,51,129
337,51,129
338,51,129
339,51,129
340,51,127
341,51,127
342,51,127
343,51,127
344,51,127
345,51,127
346,51,127
347,51,127
348,51,127
349,51,128
350,51,128
351,51,128
352,51,129
353,51,128
354,51,128
355,51,127
356,51,127
357,51,127
358,51,127
359,51,127
360,51,127
361,51,127
362,51,126
363,51,126
364,51,126
365,51,126
366,51,126
367,51,126
368,51,126
369,51,126
370,51,126
371,51,125
372,51,125
373,51,125
374,51,125
375,51,124
376,51,123
377,51,123
378,51,123
379,51,124
380,51,124
381,51,124
382,51,124
383,51,124
384,51,123
385,51,123
386,51,122
387,51,122
388,51,122
389,51,122
390,51,122
391,51,122
392,51,122
393,51,122
394,51,122
395,51,122
396,51,122
397,51,122
398,51,122
399,51,122
400,51,122
401,51,122
402,51,122
403,51,122
404,51,122
405,51,122
406,51,122
407,51,123
408,51,123
409,51,123
410,51,122
411,51,122
412,51,122
413,51,122
414,51,122
415,51,121
416,51,122
417,51,123
418,51,123
419,51,123
420,51,123
421,51,123
422,51,123
423,51,123
424,51,123
425,51,123
426,51,122
427,51,122
428,51,122
429,51,122
430,51,122
431,51,122
432,51,122
433,51,122
434,51,122
435,51,122
436,51,120
437,51,120
438,51,118
439,51,117
440,51,117
441,51,118
442,51,118
443,51,116
444,51,116
445,51,116
446,51,116
447,51,116
448,51,117
449,51,117
450,51,118
451,51,118
452,51,118
453,51,118
454,51,118
455,51,118
456,51,119
457,51,119
458,51,119
459,51,119
460,51,119
461,51,119
462,51,119
463,51,118
464,51,116
465,51,115
466,51,115
467,51,115
468,51,114
469,51,112
470,51,112
471,51,112
472,51,112
473,51,112
474,51,112
475,51,112
476,51,112
477,51,112
478,51,113
479,51,113
480,51,113
481,51,113
482,51,111
483,51,111
484,51,111
485,51,111
486,51,111
487,51,111
488,51,111
489,51,111
490,51,111
491,51,111
492,51,111
493,51,111
494,51,111
495,51,111
496,51,110
497,51,110
498,51,110
499,51,110
500,51,111
501,51,111
502,51,111
503,51,111
504,51,110
505,51,110
506,51,110
507,51,110
508,50,110
509,50,110
510,50,109
511,50,109
512,50,109
513,50,109
514,50,109
515,50,109
516,50,109
517,50,109
518,50,106
519,50,106
520,50,106
521,50,106
522,50,107
523,50,107
524,50,107
525,50,107
526,50,108
527,50,108
528,50,108
529,50,108
530,50,107
531,50,107
532,50,106
533,50,106
534,50,106
535,50,106
536,50,106
537,50,107
538,50,108
539,50,108
540,51,108
541,51,108
542,52,108
543,52,108
544,52,108
545,52,108
546,52,108
547,52,108
548,52,108
549,52,108
550,52,108
551,52,108
552,51,107
553,51,107
554,51,107
555,51,107
556,51,107
557,51,107
558,51,107
559,51,107
560,51,107
561,51,107
562,51,107
563,51,107
564,51,107
565,51,107
566,51,107
567,51,107
568,52,107
569,51,108
570,51,108
571,51,108
572,51,108
573,50,107
574,50,107
575,50,108
576,50,108
577,50,108
578,50,108
579,50,108
580,50,106
581,50,106
582,50,108
583,50,108
584,50,107
585,50,107
586,50,106
587,50,106
588,50,106
589,50,107
590,50,107
591,50,107
592,50,107
593,50,107
594,50,107
595,50,108
596,50,108
597,50,108
598,50,108
599,50,108
600,50,108
601,50,106
602,50,106
603,50,106
604,50,106
605,50,106
606,50,106
607,50,106
608,50,105
609,50,105
610,50,105
611,50,105
612,50,105
613,50,104
614,50,104
615,50,103
616,50,104
617,50,104
618,50,105
619,50,105
620,50,105
621,50,105
622,50,106
623,50,106
624,50,106
625,50,106
626,50,105
627,50,106
628,50,106
629,50,106
630,50,106
631,50,105
632,50,105
633,50,105
634,50,105
635,50,105
636,50,105
637,50,105
638,50,105
639,50,105
640,50,105
641,50,105
642,50,105
643,50,105
644,50,105
645,50,106
646,50,106
647,50,107
648,50,107
649,50,107
650,50,107
651,50,106
652,50,106
653,50,106
654,50,106
655,50,106
656,50,106
657,50,106
658,50,106
659,50,106
660,50,106
661,50,106
662,50,106
663,50,105
664,50,105
665,50,105
666,50,105
667,50,105
668,50,105
669,50,104
670,50,104
671,50,104
672,50,104
673,50,104
674,50,104
675,50,104
676,50,104
677,50,104
678,50,104
679,50,104
680,50,104
681,50,104
682,50,104
683,50,103
684,50,103
685,50,103
686,50,103
687,50,103
688,50,103
689,50,103
690,50,103
691,50,103
692,50,103
693,51,103
694,51,104
695,51,104
696,51,104
697,51,104
698,51,103
699,51,103
700,51,103
701,51,103
702,51,103
703,50,102
704,50,99
705,50,99
706,50,99
707,50,99
708,50,99
709,50,99
710,50,99
711,50,98
712,50,98
713,50,96
714,50,95
715,50,95
716,50,95
717,50,95
718,50,95
719,50,95
720,50,95
721,50,95
722,50,94
723,49,94
724,49,94
725,49,94
726,49,94
727,49,93
728,49,93
729,49,93
730,49,92
731,49,92
732,49,92
733,49,92
734,49,92
735,49,92
736,49,92
737,49,92
738,49,92
739,49,92
740,49,91
741,49,92
742,49,93
743,49,93
744,49,92
745,49,92
746,49,92
747,49,92
748,49,92
749,49,92
750,49,92
751,49,92
752,49,91
753,49,91
754,49,91
755,49,90
756,49,90
757,49,90
758,49,90
759,49,90
760,49,90
761,49,90
762,49,90
763,49,90
764,49,90
765,49,90
766,49,90
767,49,89
768,49,90
769,49,90
770,49,90
771,48,90
772,48,90
773,48,90
774,48,88
775,48,88
776,48,88
777,48,88
778,48,88
779,48,88
780,48,88
781,48,87
782,48,87
783,48,87
784,48,87
785,48,87
786,48,87
787,48,87
788,48,87
789,48,87
790,48,87
791,48,87
792,48,87
793,48,87
794,48,87
795,48,86
796,48,86
797,48,86
798,48,86
799,48,86
800,48,86
801,48,86
802,48,86
803,48,86
804,48,86
805,48,86
806,48,86
807,48,86
808,48,86
809,48,86
810,48,85
811,48,85
812,48,85
813,48,85
814,48,84
815,48,84
816,48,84
817,48,86
818,48,86
819,48,86
820,48,86
821,48,86
822,48,86
823,48,86
824,48,86
825,48,86
826,48,87
827,48,87
828,48,87
829,48,87
830,48,85
831,48,85
832,48,84
833,48,84
834,48,83
835,48,83
836,48,83
837,48,83
838,48,83
839,48,83
840,48,83
841,48,83
842,48,83
843,48,83
844,48,83
845,48,83
846,48,83
847,48,83
848,48,85
849,48,85
850,48,85
851,48,85
852,48,85
853,48,85
854,48,85
855,48,85
856,48,85
857,48,85
858,48,86
859,48,86
860,49,86
861,49,86
862,49,87
863,49,87
864,49,86
