step,split_counties,split_munis
0,64,282
1,64,282
2,64,280
3,64,280
4,64,279
5,64,279
6,64,278
7,64,278
8,64,279
9,64,278
10,64,277
11,64,277
12,64,277
13,64,276
14,64,275
15,64,275
16,64,274
17,64,273
18,64,273
19,64,273
20,64,273
21,64,271
22,64,268
23,64,268
24,64,267
25,64,267
26,64,265
27,64,265
28,64,264
29,64,263
30,64,263
31,64,262
32,64,261
33,64,261
34,64,260
35,64,257
36,64,257
37,63,256
38,63,257
39,63,257
40,63,256
41,63,255
42,63,253
43,63,252
44,63,252
45,63,250
46,63,251
47,63,249
48,62,247
49,62,248
50,62,248
51,62,247
52,62,244
53,62,244
54,62,244
55,62,244
56,62,244
57,62,241
58,62,241
59,62,241
60,62,241
61,62,240
62,62,240
63,62,240
64,62,240
65,62,240
66,62,239
67,62,239
68,62,236
69,62,238
70,62,238
71,62,238
72,62,238
73,62,238
74,62,238
75,62,234
76,62,234
77,62,234
78,62,234
79,62,234
80,62,234
81,62,232
82,62,232
83,62,231
84,62,230
85,62,230
86,62,224
87,62,219
88,62,219
89,62,219
90,62,217
91,62,216
92,62,214
93,62,214
94,62,214
95,62,212
96,62,212
97,62,211
98,62,211
99,62,211
100,62,208
101,62,207
102,62,206
103,62,206
104,62,206
105,62,206
106,62,206
107,62,206
108,62,204
109,62,204
110,62,204
111,62,204
112,62,204
113,62,204
114,62,204
115,62,204
116,62,204
117,62,204
118,62,204
119,62,204
120,62,204
121,62,204
122,62,204
123,62,204
124,62,204
125,62,204
126,62,205
127,62,205
128,62,205
129,62,205
130,62,205
131,62,205
132,62,205
133,61,205
134,61,205
135,61,204
136,61,204
137,61,202
138,61,201
139,61,201
140,61,201
141,61,200
142,62,200
143,62,201
144,62,201
145,62,201
146,62,197
147,62,197
148,62,196
149,62,196
150,62,196
151,62,193
152,62,193
153,62,194
154,62,190
155,62,188
156,62,187
157,62,187
158,62,187
159,62,187
160,62,187
161,62,186
162,62,186
163,62,186
164,62,187
165,62,186
166,62,187
167,62,187
168,62,186
169,62,186
170,62,186
171,62,182
172,61,181
173,61,181
174,61,181
175,61,180
176,61,180
177,61,179
178,61,178
179,61,178
180,61,178
181,61,177
182,61,177
183,61,174
184,61,174
185,61,174
186,61,174
187,61,174
188,61,174
189,61,174
190,61,174
191,61,171
192,60,169
193,60,168
194,60,168
195,60,168
196,60,168
197,60,168
198,60,168
199,60,168
200,59,167
201,59,167
202,59,167
203,59,166
204,59,166
205,59,166
206,59,166
207,59,165
208,59,165
209,59,164
210,59,164
211,59,164
212,59,164
213,59,163
214,59,162
215,59,162
216,59,163
217,59,163
218,59,163
219,59,163
220,59,163
221,59,163
222,58,162
223,58,162
224,58,162
225,58,162
226,58,163
227,58,163
228,58,163
229,58,163
230,58,161
231,58,161
232,58,161
233,58,161
234,58,161
235,58,159
236,58,159
237,58,159
238,58,159
239,58,159
240,58,159
241,58,159
242,58,159
243,58,159
244,58,158
245,58,157
246,58,157
247,58,157
248,58,157
249,58,157
250,58,157
251,57,156
252,57,155
253,56,154
254,56,154
255,56,154
256,56,154
257,56,154
258,56,152
259,56,149
260,56,149
261,56,149
262,56,145
263,56,144
264,56,144
265,56,143
266,56,142
267,56,142
268,56,141
269,56,141
270,56,141
271,56,141
272,56,142
273,56,142
274,56,142
275,56,142
276,56,141
277,56,140
278,56,138
279,56,138
280,56,138
281,56,138
282,56,138
283,56,138
284,56,138
285,56,138
286,53,137
287,53,137
288,53,136
289,53,136
290,53,136
291,53,135
292,53,135
293,53,134
294,53,134
295,53,133
296,53,131
297,53,131
298,53,131
299,53,131
300,53,131
301,53,132
302,53,131
303,53,131
304,53,131
305,53,131
306,53,131
307,53,131
308,53,129
309,53,129
310,53,129
311,53,129
312,53,129
313,53,128
314,53,128
315,53,128
316,53,128
317,53,128
318,53,128
319,53,128
320,53,128
321,53,128
322,53,127
323,53,127
324,53,127
325,53,127
326,53,128
327,53,128
328,53,128
329,53,128
330,53,128
331,53,128
332,53,127
333,53,128
334,53,128
335,53,129
336,53,129
337,53,129
338,53,128
339,53,128
340,53,129
341,53,129
342,53,129
343,53,129
344,53,129
345,53,129
346,53,129
347,53,129
348,53,126
349,53,126
350,52,125
351,52,125
352,52,124
353,52,124
354,52,124
355,52,124
356,52,124
357,52,124
358,52,124
359,52,124
360,52,124
361,52,124
362,52,124
363,52,125
364,52,125
365,52,125
366,52,125
367,52,125
368,52,125
369,52,125
370,52,125
371,52,125
372,52,125
373,52,125
374,52,125
375,52,125
376,52,126
377,52,126
378,52,125
379,52,125
380,52,126
381,51,125
382,51,125
383,51,125
384,51,125
385,51,125
386,51,125
387,51,125
388,51,125
389,52,124
390,52,124
391,52,124
392,52,124
393,52,124
394,52,124
395,52,124
396,52,124
397,52,124
398,52,124
399,52,124
400,52,124
401,52,124
402,52,125
403,52,124
404,52,124
405,52,124
406,52,124
407,52,124
408,52,124
409,52,124
410,52,124
411,52,122
412,52,122
413,52,122
414,52,122
415,52,122
416,52,122
417,52,122
418,52,122
419,52,122
420,52,122
421,52,122
422,52,122
423,52,122
424,52,122
425,52,122
426,52,121
427,52,121
428,52,121
429,52,121
430,52,121
431,52,122
432,52,121
433,52,120
