step,split_counties,split_munis
0,64,282
1,64,282
2,64,279
3,63,278
4,63,278
5,63,277
6,63,277
7,63,278
8,63,278
9,63,276
10,63,277
11,63,276
12,63,276
13,63,275
14,63,275
15,63,274
16,63,272
17,63,272
18,63,271
19,63,271
20,63,270
21,63,270
22,63,271
23,63,269
24,63,267
25,63,268
26,63,268
27,63,270
28,62,269
29,62,266
30,62,266
31,62,265
32,62,268
33,62,268
34,62,269
35,62,269
36,62,269
37,62,269
38,62,269
39,62,272
40,62,272
41,62,273
42,62,272
43,62,272
44,62,270
45,62,270
46,61,269
47,61,269
48,61,269
49,61,269
50,61,268
51,61,263
52,61,263
53,61,263
54,61,262
55,61,264
56,61,264
57,61,264
58,61,264
59,61,264
60,61,264
61,61,264
62,61,264
63,61,264
64,61,263
65,61,263
66,61,263
67,61,263
68,61,262
69,61,260
70,61,260
71,61,259
72,61,261
73,61,260
74,61,258
75,61,258
76,61,258
77,61,257
78,61,256
79,61,253
80,61,253
81,61,252
82,61,253
83,61,253
84,61,253
85,61,253
86,61,252
87,61,251
88,61,249
89,61,248
90,61,248
91,61,248
92,61,248
93,61,246
94,61,246
95,61,246
96,61,246
97,61,246
98,61,246
99,61,243
100,61,244
101,61,242
102,61,241
103,61,242
104,61,241
105,61,241
106,60,240
107,59,239
108,59,239
109,59,240
110,59,239
111,59,240
112,59,240
113,59,238
114,59,238
115,59,237
116,59,237
117,59,236
118,59,238
119,59,237
120,59,236
121,59,236
122,59,236
123,58,235
124,58,235
125,58,235
126,58,235
127,58,238
128,58,238
129,58,237
130,58,235
131,58,236
132,58,236
133,58,237
134,58,235
135,58,235
136,57,233
137,57,233
138,57,233
139,57,231
140,57,230
141,57,230
142,57,228
143,57,228
144,57,228
145,57,228
146,57,223
147,57,222
148,57,222
149,57,222
150,57,223
151,57,223
152,57,220
153,57,220
154,57,219
155,57,218
156,55,217
157,55,217
158,55,216
159,55,216
160,55,216
161,54,216
162,54,215
163,54,215
164,54,218
165,54,218
166,54,218
167,54,218
168,54,218
169,54,219
170,54,219
171,54,219
172,54,220
173,54,220
174,54,221
175,54,221
176,53,219
177,53,219
178,53,221
179,53,222
180,53,221
181,53,221
182,53,220
183,52,218
184,52,218
185,52,219
186,52,219
187,52,219
188,52,219
189,52,221
190,52,221
191,52,222
192,52,223
193,52,221
194,52,220
195,52,221
196,52,220
197,53,221
198,53,221
199,53,222
200,53,222
201,53,222
202,53,223
203,53,224
204,53,224
205,54,222
206,54,222
207,54,221
208,54,221
209,54,221
210,54,222
211,54,223
212,54,223
213,54,223
214,54,222
215,54,221
216,54,219
217,54,220
218,54,220
219,54,220
220,54,223
221,54,223
222,53,225
223,53,223
224,53,223
225,53,223
226,53,222
227,53,221
228,53,223
229,53,223
230,53,224
231,53,224
232,53,224
233,53,222
234,53,222
235,53,221
236,53,222
237,53,222
238,53,222
239,53,222
240,53,223
241,53,223
242,53,222
243,53,223
244,53,221
245,53,220
246,53,220
247,53,220
248,53,220
249,53,221
250,53,220
251,53,220
252,53,220
253,53,221
254,53,221
255,53,221
256,52,221
257,52,222
258,52,222
259,53,223
260,53,223
261,53,223
262,53,223
263,53,224
264,53,224
265,53,224
266,53,221
267,53,221
268,53,221
269,53,220
270,53,220
271,53,220
272,53,220
273,53,219
274,53,219
275,53,221
276,53,218
277,53,218
278,53,216
279,53,216
280,53,217
281,53,217
282,54,218
283,54,218
284,54,218
285,54,217
286,54,218
287,55,219
288,55,219
289,55,218
290,55,218
291,55,216
292,55,216
293,55,215
294,55,215
295,55,215
296,55,215
297,55,213
298,55,213
299,55,211
300,55,212
301,55,213
302,55,214
303,55,214
304,55,214
305,55,216
306,55,216
307,54,219
308,55,217
309,55,215
310,55,215
311,55,215
312,55,216
313,55,216
314,55,216
315,55,216
316,55,216
317,55,217
318,55,216
319,55,217
320,55,217
321,55,218
322,55,218
323,55,218
324,54,217
325,54,217
326,54,217
327,54,217
328,55,217
329,55,217
330,55,218
331,55,220
332,55,221
333,55,221
334,55,221
335,55,221
336,55,221
337,55,222
338,55,222
339,55,222
340,55,222
341,55,222
342,55,224
343,55,224
344,55,224
345,55,224
346,55,226
347,55,226
348,55,226
349,55,226
350,55,226
351,55,226
352,55,226
353,55,227
354,55,227
355,55,226
356,55,228
357,55,230
358,55,230
359,55,230
360,55,230
361,55,230
362,55,229
363,55,230
364,55,226
365,55,226
366,55,229
367,55,229
368,55,232
369,54,229
370,54,229
371,54,228
372,54,228
373,54,228
374,54,227
375,54,227
376,54,227
377,54,227
378,54,227
379,54,225
380,54,225
381,54,224
382,54,224
383,54,224
384,54,224
385,54,225
386,54,225
387,54,226
388,54,226
389,54,226
390,54,224
391,54,224
392,54,226
393,54,226
394,54,228
395,54,227
396,54,227
397,54,226
398,54,225
399,54,224
400,54,223
401,54,223
402,54,223
403,54,223
404,54,224
405,54,224
406,54,227
407,54,227
408,54,227
409,54,228
410,54,226
411,54,226
412,54,226
413,54,224
414,54,224
415,54,227
416,53,226
417,53,226
418,53,225
419,53,224
420,53,224
421,53,224
422,53,225
423,53,225
424,52,225
425,52,226
426,52,227
427,52,227
428,52,227
429,52,227
430,52,227
431,52,227
432,52,227
433,52,228
