step,split_counties,split_munis
0,64,284
1,64,285
2,64,284
3,63,282
4,63,282
5,63,282
6,63,282
7,63,281
8,63,281
9,63,283
10,62,282
11,61,284
12,61,283
13,61,283
14,61,283
15,61,284
16,61,284
17,61,284
18,61,284
19,61,283
20,61,283
21,61,286
22,61,285
23,61,285
24,61,285
25,61,284
26,61,284
27,61,284
28,61,283
29,61,283
30,61,283
31,61,283
32,61,283
33,61,283
34,61,284
35,61,284
36,60,282
37,60,282
38,60,282
39,60,281
40,60,281
41,60,281
42,59,280
43,59,280
44,59,278
45,59,278
46,59,279
47,59,278
48,59,279
49,59,278
50,59,275
51,59,275
52,59,275
53,59,276
54,59,276
55,59,275
56,59,274
57,59,275
58,59,273
59,59,273
60,59,273
61,59,273
62,59,273
63,60,273
64,60,273
65,60,272
66,60,272
67,60,271
68,60,271
69,60,270
70,60,270
71,60,270
72,60,270
73,60,273
74,60,272
75,60,268
76,60,268
77,60,267
78,60,267
79,60,269
80,61,270
81,61,270
82,60,269
83,60,268
84,60,268
85,60,268
86,60,268
87,60,267
88,60,267
89,60,268
90,59,267
91,58,260
92,58,259
93,58,259
94,58,260
95,58,262
96,58,261
97,58,260
98,58,260
99,58,260
100,58,259
101,58,259
102,58,259
103,58,258
104,57,257
105,57,257
106,57,259
107,57,258
108,57,259
109,57,259
110,57,258
111,58,258
112,58,256
113,58,256
114,58,253
115,58,253
116,58,252
117,58,253
118,58,253
119,58,255
120,58,255
121,58,255
122,58,255
123,58,255
124,58,255
125,57,253
126,57,254
127,57,254
128,57,253
129,57,253
130,57,253
131,57,255
132,57,254
133,57,254
134,57,254
135,57,255
136,57,255
137,56,259
138,56,259
139,56,259
140,56,259
141,56,259
142,54,259
143,54,259
144,54,260
145,54,260
146,54,260
147,54,258
148,54,259
149,54,258
150,54,260
151,54,258
152,54,257
153,54,260
154,54,259
155,54,259
156,54,259
157,54,259
158,54,259
159,54,259
160,54,260
161,54,260
162,53,261
163,53,262
164,53,262
165,53,261
166,53,261
167,53,261
168,53,259
169,53,259
170,53,257
171,53,257
172,53,258
173,53,258
174,53,260
175,53,262
176,53,261
177,52,262
178,52,265
179,52,265
180,52,266
181,52,266
182,52,266
183,52,265
184,52,265
185,52,265
186,52,265
187,52,262
188,52,263
189,52,264
190,52,263
191,53,264
192,53,264
193,53,265
194,53,265
195,54,265
196,54,265
197,54,264
198,54,264
199,54,263
200,54,263
201,54,263
202,54,263
203,54,263
204,54,262
205,54,264
206,54,264
207,54,264
208,54,262
209,54,260
210,54,260
211,54,258
212,54,260
213,54,262
214,54,262
215,54,262
216,54,263
217,54,263
218,54,263
219,54,262
220,54,262
221,54,262
222,54,266
223,54,264
224,54,266
225,54,266
226,54,265
227,54,265
228,54,264
229,54,262
230,54,263
231,54,263
232,54,263
233,54,264
234,54,264
235,54,264
236,54,263
237,54,262
238,54,262
239,54,264
240,55,268
241,55,268
242,55,266
243,55,269
244,55,269
245,55,267
246,55,268
247,55,268
248,55,267
249,55,270
250,55,270
251,54,270
252,54,272
253,54,272
254,54,275
255,54,274
256,54,273
257,54,273
258,54,274
259,54,274
260,54,273
261,54,274
262,54,275
263,54,276
264,54,276
265,54,275
266,54,275
267,54,272
268,54,273
269,54,273
270,54,274
271,54,274
272,54,274
273,54,275
274,54,275
275,54,273
276,53,272
277,52,274
278,52,274
279,52,276
