step,split_counties,split_munis
0,64,282
1,64,281
2,64,281
3,64,281
4,64,283
5,64,283
6,64,283
7,64,283
8,64,283
9,64,283
10,64,283
11,64,283
12,64,282
13,64,282
14,64,282
15,64,282
16,64,282
17,64,281
18,64,281
19,64,280
20,64,279
21,64,277
22,64,276
23,64,275
24,64,272
25,64,270
26,64,272
27,64,272
28,64,270
29,64,269
30,64,269
31,64,269
32,64,269
33,64,268
34,64,268
35,63,267
36,63,267
37,63,268
38,63,268
39,63,268
40,63,268
41,62,267
42,62,267
43,62,267
44,62,267
45,62,267
46,62,267
47,61,268
48,61,269
49,61,270
50,61,270
51,61,270
52,61,272
53,61,273
54,61,272
55,61,272
56,61,269
57,61,269
58,61,269
59,61,268
60,61,268
61,61,268
62,61,267
63,61,268
64,61,267
65,61,265
66,61,266
67,61,265
68,61,263
69,61,263
70,61,263
71,61,263
72,61,264
73,61,263
74,61,264
75,61,263
76,61,263
77,61,262
78,61,262
79,61,262
80,61,261
81,61,261
82,61,261
83,61,261
84,61,261
85,61,260
86,61,260
87,61,260
88,61,261
89,61,260
90,61,259
91,61,259
92,61,259
93,61,259
94,61,259
95,61,262
96,61,260
97,61,260
98,61,262
99,61,263
100,61,264
101,61,264
102,61,264
103,60,263
104,60,262
105,60,265
106,60,265
107,60,266
108,60,263
109,60,263
110,60,263
111,60,263
112,60,263
113,60,263
114,60,263
115,60,263
116,60,264
117,60,263
118,60,264
119,60,264
120,60,265
121,60,265
122,60,265
123,60,265
124,60,266
125,59,265
126,59,267
127,59,265
128,59,266
129,59,266
130,59,266
131,59,265
132,59,261
133,59,259
134,59,259
135,59,259
136,59,259
137,59,263
138,59,263
139,59,263
140,59,262
141,59,262
142,59,262
143,59,262
144,59,262
145,59,262
146,59,262
147,59,262
148,59,262
149,59,262
150,60,262
151,60,262
152,60,261
153,60,263
154,60,260
155,60,260
156,60,261
157,60,261
158,60,263
159,60,261
160,60,259
161,59,252
162,59,252
163,59,252
164,59,251
165,59,251
166,59,251
167,59,248
168,59,248
169,59,248
170,59,248
171,59,246
172,59,246
173,59,246
174,59,247
175,57,247
176,57,247
177,57,246
178,57,245
179,57,245
180,57,245
181,57,245
182,57,246
183,57,246
184,57,246
185,57,246
186,57,247
187,57,247
188,57,246
189,57,246
190,57,247
191,57,248
192,57,249
193,57,249
194,57,248
195,57,248
196,57,248
197,57,248
198,57,248
199,57,248
200,57,248
201,57,248
202,57,249
203,56,248
204,56,247
205,56,244
206,56,244
207,54,243
208,54,245
209,54,247
210,54,247
211,54,246
212,54,247
213,54,247
214,54,246
215,54,247
216,54,247
217,54,247
218,54,247
219,54,247
220,54,247
221,54,247
222,54,247
223,54,245
224,54,249
225,54,248
226,54,248
227,54,248
228,54,248
229,54,246
230,54,246
231,54,244
232,54,243
233,54,241
234,54,241
235,54,244
236,54,244
237,54,244
238,54,243
239,54,244
240,54,244
241,54,244
242,54,245
243,54,245
244,54,246
245,54,246
246,54,246
247,54,246
248,54,247
249,55,249
250,55,248
251,55,247
252,55,247
253,55,247
254,55,248
255,55,247
256,55,248
257,55,248
258,55,248
259,55,249
260,55,249
261,55,248
262,55,250
263,56,249
264,56,250
265,56,251
266,56,250
267,56,251
268,56,252
269,56,252
270,56,247
271,56,247
272,56,247
273,56,247
274,56,247
275,56,247
276,56,247
277,56,247
278,56,247
279,56,247
280,56,247
281,56,249
282,56,249
283,56,249
284,56,249
285,56,249
286,56,250
287,56,251
288,56,251
289,56,251
290,56,251
291,56,252
292,56,251
293,56,252
294,56,250
295,56,249
296,56,250
297,56,252
298,56,252
299,56,253
300,56,252
301,56,252
302,56,251
303,56,251
304,56,251
305,56,250
306,56,251
307,56,249
308,56,248
309,56,248
310,56,248
311,56,248
312,56,248
313,56,248
314,56,249
315,56,249
316,56,247
317,56,247
318,56,246
319,56,246
320,56,243
321,56,243
322,56,243
323,56,243
324,56,243
325,56,243
326,56,243
327,56,243
328,56,243
329,56,242
330,56,245
331,56,245
332,56,246
333,57,246
334,57,246
335,57,246
336,57,246
337,57,246
338,57,245
339,57,247
340,57,247
341,57,247
342,57,247
