step,split_counties,split_munis
0,64,282
1,64,283
2,64,279
3,64,280
4,64,279
5,64,279
6,64,279
7,64,279
8,64,279
9,64,279
10,64,278
11,64,278
12,64,277
13,64,278
14,63,277
15,63,277
16,63,277
17,63,276
18,63,276
19,63,276
20,63,276
21,63,276
22,63,276
23,63,276
24,63,276
25,63,277
26,63,275
27,63,276
28,63,276
29,63,281
30,63,281
31,63,281
32,63,282
33,63,283
34,63,282
35,63,279
36,63,280
37,63,280
38,63,276
39,63,271
40,63,271
41,62,269
42,62,269
43,62,268
44,62,268
45,62,267
46,62,267
47,62,267
48,62,267
49,62,265
50,62,267
51,61,266
52,61,267
53,61,268
54,61,268
55,61,268
56,61,267
57,61,267
58,61,267
59,61,268
60,61,266
61,61,265
62,61,265
63,59,262
64,59,262
65,59,262
66,59,262
67,59,261
68,58,260
69,58,259
70,58,259
71,58,258
72,58,258
73,58,255
74,58,255
75,58,261
76,58,261
77,58,260
78,58,259
79,58,259
80,58,259
81,58,259
82,58,258
83,58,258
84,57,255
85,57,253
86,57,253
87,57,251
88,57,250
89,57,251
90,57,249
91,57,249
92,57,248
93,57,247
94,57,246
95,57,246
96,57,247
97,57,244
98,57,242
99,57,239
100,57,238
101,57,238
102,57,239
103,57,240
104,57,240
105,57,239
106,57,239
107,57,239
108,56,238
109,56,238
110,56,238
111,56,237
112,56,237
113,56,238
114,56,237
115,56,237
116,56,237
117,56,235
118,56,232
119,56,232
120,56,230
121,56,233
122,56,233
123,56,233
124,56,234
125,56,234
126,56,235
127,56,234
128,56,233
129,56,234
130,56,236
131,56,237
132,56,234
133,56,233
134,56,233
135,55,231
136,55,231
137,55,231
138,55,233
139,55,233
140,55,232
141,55,232
142,55,231
143,55,231
144,55,231
145,55,231
146,55,231
147,55,229
148,55,229
149,55,227
150,55,226
151,55,227
152,55,227
153,55,227
154,55,227
155,55,227
156,54,227
157,54,227
158,54,227
159,54,225
160,54,225
161,54,226
162,54,226
163,54,226
164,54,226
165,54,229
166,54,229
167,54,230
168,54,230
169,54,231
170,54,229
171,54,229
172,54,230
173,54,229
174,54,227
175,54,228
176,54,228
177,54,230
178,54,229
179,55,229
180,55,229
181,55,229
182,55,223
183,55,223
184,55,223
185,54,221
186,54,220
187,54,220
188,54,219
189,54,220
190,54,221
191,54,220
192,54,220
193,54,222
194,54,220
195,54,220
196,52,218
197,52,218
198,52,218
199,52,218
200,53,217
201,53,216
202,53,219
203,53,221
204,53,222
205,53,222
206,53,220
207,53,220
208,53,219
209,53,220
210,53,221
211,53,223
212,53,218
213,51,217
214,51,216
215,51,217
216,51,216
217,51,215
218,51,215
219,51,213
220,51,213
221,51,211
222,51,211
223,51,211
224,51,211
225,51,211
226,51,211
227,51,211
228,51,209
229,51,210
230,51,210
231,51,211
232,51,211
233,51,211
234,51,211
235,51,211
236,51,209
237,51,208
238,51,208
239,51,208
240,51,208
241,51,208
