step,split_counties,split_munis
0,64,284
1,64,284
2,64,284
3,64,281
4,64,281
5,63,281
6,63,281
7,63,282
8,63,282
9,63,281
10,63,282
11,63,282
12,63,278
13,63,277
14,63,277
15,63,274
16,63,274
17,63,277
18,63,277
19,63,277
20,63,277
21,63,277
22,63,277
23,63,277
24,63,277
25,63,278
26,63,278
27,63,278
28,63,280
29,63,280
30,63,279
31,63,279
32,63,279
33,63,279
34,63,279
35,63,279
36,63,278
37,63,278
38,63,278
39,63,277
40,63,277
41,63,278
42,61,280
43,61,277
44,61,278
45,61,283
46,61,283
47,60,282
48,60,280
49,60,280
50,60,279
51,60,280
52,60,279
53,60,277
54,60,277
55,60,277
56,60,276
57,60,276
58,60,276
59,60,276
60,60,276
61,60,276
62,60,275
63,60,275
64,59,274
65,59,273
66,59,273
67,59,272
68,59,272
69,59,271
70,59,272
71,59,272
72,59,272
73,59,270
74,59,270
75,59,270
76,59,269
77,59,269
78,58,269
79,58,269
80,58,267
81,58,267
82,58,266
83,58,264
84,58,264
85,58,266
86,58,264
87,58,263
88,58,263
89,58,266
90,57,267
91,57,267
92,57,264
93,57,265
94,57,265
95,57,265
96,57,264
97,57,265
98,57,265
99,57,265
100,57,265
101,57,265
102,57,265
103,57,264
104,57,264
105,57,262
106,57,263
107,57,263
108,57,263
109,57,264
110,57,264
111,57,263
112,57,263
113,57,263
114,57,264
115,57,262
116,57,262
117,57,260
118,57,259
119,57,258
120,57,258
121,57,258
122,57,258
123,57,258
124,57,258
125,57,258
126,57,259
127,57,258
128,57,258
129,57,258
130,57,257
131,57,255
132,57,255
133,57,256
134,57,256
135,57,255
136,57,256
137,57,256
138,57,256
139,56,254
140,56,254
141,56,254
142,56,254
143,56,254
144,56,253
145,56,252
146,56,252
147,56,252
148,56,252
149,56,250
150,56,250
151,56,251
152,56,251
153,56,251
154,56,251
155,56,251
156,56,251
157,56,251
158,56,252
159,56,250
160,56,249
161,56,249
162,56,248
163,56,250
164,56,249
165,55,249
166,55,249
167,55,251
168,55,250
169,54,249
170,54,249
171,54,250
172,54,250
173,54,250
174,54,251
175,54,249
176,54,250
177,53,247
178,53,248
179,53,248
180,53,248
181,53,249
182,53,249
