step,split_counties,split_munis
0,64,282
1,64,281
2,64,279
3,64,280
4,64,280
5,64,280
6,64,279
7,64,279
8,64,275
9,63,274
10,63,275
11,63,273
12,63,276
13,63,276
14,63,276
15,63,274
16,63,273
17,63,273
18,63,273
19,63,273
20,63,272
21,63,271
22,63,271
23,63,266
24,63,267
25,63,266
26,63,266
27,63,266
28,63,266
29,63,266
30,63,263
31,63,264
32,63,264
33,63,264
34,63,264
35,63,264
36,63,263
37,63,263
38,63,263
39,63,263
40,63,262
41,63,261
42,63,261
43,63,261
44,63,260
45,63,260
46,63,260
47,63,261
48,63,260
49,63,259
50,63,258
51,63,257
52,63,257
53,63,255
54,63,257
55,63,258
56,63,258
57,63,258
58,63,258
59,63,258
60,63,259
61,63,258
62,63,258
63,63,258
64,63,258
65,63,254
66,63,253
67,63,253
68,63,253
69,63,253
70,62,251
71,62,253
72,62,256
73,62,257
74,62,256
75,62,256
76,62,255
77,63,256
78,63,257
79,63,257
80,63,256
81,63,255
82,63,256
83,63,256
84,63,256
85,63,256
86,63,255
87,63,257
88,62,256
89,62,254
90,62,254
91,62,251
92,62,252
93,62,252
94,62,254
95,62,252
96,62,253
97,62,253
98,62,254
99,62,254
100,62,253
101,62,255
102,62,257
103,62,257
104,62,255
105,62,255
106,62,255
107,62,255
108,62,255
109,61,254
110,61,254
111,61,254
112,61,254
113,61,254
114,61,254
115,61,254
116,61,254
117,61,254
118,61,254
119,61,254
120,61,252
121,61,251
122,60,250
123,60,250
124,60,248
125,60,248
126,60,251
127,60,252
128,60,252
129,60,252
130,60,253
131,60,253
132,60,253
133,59,252
134,59,252
135,59,252
136,59,253
137,59,253
138,56,251
139,56,251
140,55,248
141,55,249
142,55,249
143,55,249
144,55,249
145,55,252
146,55,257
147,55,257
148,55,257
149,55,257
150,55,259
151,55,260
152,55,260
153,55,260
154,55,260
155,55,259
156,55,259
157,55,259
158,55,258
159,55,260
160,55,260
161,55,260
162,55,259
163,55,259
164,55,258
165,55,259
166,55,262
167,55,262
168,55,262
169,55,261
170,55,259
171,55,257
172,55,257
173,55,257
174,55,255
175,55,252
176,55,252
177,55,251
178,55,250
179,55,249
180,55,249
181,55,249
182,55,249
183,55,250
184,55,248
185,55,248
186,55,248
187,54,248
188,54,248
189,54,248
190,54,248
191,54,248
192,55,248
193,55,248
194,55,249
195,55,248
196,55,247
197,55,250
198,55,250
199,55,250
200,55,249
201,55,248
202,55,248
203,55,248
204,55,246
205,55,246
206,55,247
207,55,249
208,55,249
209,55,249
210,55,252
211,55,251
212,55,250
213,55,249
214,54,247
215,54,247
216,54,248
217,54,248
218,54,247
219,54,248
220,54,249
221,54,249
222,54,249
223,54,249
224,54,249
225,54,249
226,54,248
227,54,247
228,54,246
229,54,246
230,54,246
231,54,248
232,54,248
233,54,248
234,54,248
235,54,248
236,54,250
237,54,250
238,54,250
239,54,248
240,54,247
241,54,247
242,54,247
243,54,248
244,54,248
245,54,246
246,55,248
247,55,243
248,55,242
249,55,242
250,55,239
251,55,240
252,54,238
253,54,238
254,54,238
255,54,237
256,54,237
257,54,237
258,54,237
259,54,235
260,54,235
261,54,233
262,54,233
263,54,235
264,54,236
265,54,237
266,54,235
267,54,235
268,54,235
269,54,235
270,54,234
271,54,233
272,54,233
273,54,233
274,54,234
275,54,234
276,54,235
277,54,234
278,54,234
279,54,234
280,54,235
281,54,235
282,54,235
283,54,235
284,54,235
285,55,239
286,55,239
287,55,240
288,55,239
289,55,238
290,55,237
291,55,238
292,55,238
293,55,238
294,55,238
295,55,238
296,55,239
297,55,239
298,55,237
299,55,236
300,55,235
301,55,235
302,55,234
303,55,233
304,55,233
305,55,233
306,55,232
307,55,232
308,55,232
309,55,232
310,55,231
311,55,234
312,55,234
313,55,234
314,55,233
315,55,233
316,55,233
317,55,233
318,55,234
319,55,234
320,55,233
321,55,232
322,55,231
323,55,231
324,55,231
325,55,228
326,55,227
327,55,226
328,55,226
329,55,226
330,55,226
331,55,225
332,55,223
333,55,224
334,54,223
335,54,223
336,54,221
337,53,219
338,53,219
339,53,219
340,53,219
341,53,219
342,53,219
