step,split_counties,split_munis
0,64,282
1,64,280
2,64,279
3,64,279
4,64,279
5,64,275
6,64,274
7,64,271
8,63,269
9,63,267
10,63,265
11,63,265
12,63,261
13,63,262
14,63,262
15,63,261
16,63,261
17,63,261
18,63,262
19,63,262
20,63,259
21,63,259
22,63,259
23,63,258
24,63,259
25,63,259
26,63,257
27,63,256
28,61,256
29,61,256
30,61,255
31,61,254
32,61,254
33,61,254
34,61,254
35,61,254
36,61,254
37,61,254
38,61,253
39,61,252
40,61,252
41,61,252
42,61,252
43,61,252
44,61,252
45,61,251
46,61,251
47,61,251
48,61,249
49,61,250
50,61,249
51,61,249
52,61,248
53,61,248
54,61,248
55,61,245
56,61,243
57,62,242
58,62,242
59,62,240
60,62,240
61,62,239
62,62,238
63,62,238
64,62,238
65,62,238
66,62,238
67,62,236
68,62,235
69,62,233
70,62,232
71,62,231
72,62,229
73,62,229
74,62,228
75,62,227
76,62,227
77,62,227
78,61,225
79,61,225
80,61,225
81,61,225
82,61,225
83,61,225
84,61,224
85,61,224
86,61,224
87,61,223
88,61,220
89,61,221
90,61,222
91,61,222
92,61,222
93,61,220
94,61,220
95,61,220
96,61,220
97,61,216
98,61,216
99,61,216
100,61,215
101,61,215
102,61,215
103,61,215
104,61,215
105,61,215
106,61,215
107,61,214
108,61,214
109,61,214
110,61,214
111,61,214
112,61,211
113,61,211
114,61,210
115,61,210
116,61,210
117,61,211
118,61,211
119,61,204
120,61,204
121,61,204
122,61,202
123,61,202
124,61,201
125,61,200
126,61,200
127,61,200
128,61,201
129,61,198
130,61,198
131,61,198
132,61,198
133,61,193
134,61,190
135,61,190
136,61,191
137,61,191
138,61,192
139,61,192
140,61,191
141,61,192
142,61,192
143,61,190
144,61,189
145,60,188
146,60,188
147,60,189
148,60,189
149,60,186
150,60,186
151,60,186
152,60,186
153,60,186
154,60,186
155,60,186
156,60,187
157,60,187
158,60,186
159,60,186
160,60,185
161,60,185
162,60,185
163,60,184
164,60,184
165,60,185
166,58,185
167,58,185
168,59,185
169,59,184
170,59,183
171,59,183
172,59,183
173,59,183
174,59,183
175,59,183
176,59,181
177,59,180
178,59,180
179,59,180
180,59,180
181,59,179
182,59,178
183,59,177
184,59,177
185,59,177
186,59,177
187,59,177
188,59,177
189,59,177
190,59,175
191,59,174
192,59,173
193,59,170
194,59,170
195,59,171
196,59,171
197,59,170
198,59,170
199,59,170
200,59,167
201,58,166
202,58,166
203,58,166
204,58,166
205,58,166
206,58,165
207,58,165
208,58,165
209,58,165
210,58,165
211,58,165
212,58,165
213,58,164
214,58,164
215,58,164
216,58,164
217,58,164
