step,split_counties,split_munis
0,64,284
1,64,284
2,64,284
3,64,284
4,64,283
5,64,282
6,64,282
7,64,281
8,64,280
9,64,279
10,64,277
11,64,275
12,64,274
13,64,274
14,64,273
15,64,273
16,64,272
17,64,271
18,64,270
19,64,270
20,64,269
21,64,269
22,64,266
23,64,266
24,64,265
25,64,264
26,64,264
27,64,263
28,64,263
29,64,263
30,64,263
31,64,263
32,64,263
33,64,263
34,64,264
35,64,261
36,64,261
37,64,260
38,64,260
39,64,259
40,64,256
41,64,256
42,63,254
43,63,252
44,63,252
45,63,252
46,63,252
47,63,252
48,63,250
49,63,250
50,63,249
51,63,248
52,63,248
53,63,247
54,63,247
55,63,246
56,63,246
57,63,242
58,63,243
59,63,243
60,63,245
61,63,245
62,62,244
63,62,246
64,62,247
65,62,246
66,62,245
67,62,245
68,62,245
69,62,245
70,62,243
71,62,242
72,61,241
73,61,240
74,61,241
75,61,241
76,61,241
77,61,242
78,61,241
79,61,240
80,61,240
81,61,239
82,61,239
83,61,239
84,61,238
85,61,239
86,61,238
87,61,238
88,61,238
89,61,238
90,61,238
91,61,235
92,61,234
93,61,234
94,61,234
95,61,235
96,61,234
97,61,234
98,61,231
99,60,230
100,60,229
101,60,229
102,60,230
103,60,230
104,60,227
105,60,227
106,60,227
107,60,226
108,60,227
109,60,224
110,60,224
111,60,224
112,60,224
113,60,224
114,60,224
115,60,224
116,60,219
117,60,219
118,60,221
119,60,219
120,60,219
121,60,220
122,60,219
123,60,219
124,60,217
125,60,216
126,60,215
127,60,213
128,60,213
129,60,211
130,60,211
131,60,211
132,60,212
133,59,212
134,59,212
135,59,212
136,59,207
137,59,206
138,59,205
139,59,205
140,58,204
141,58,204
142,58,203
143,58,203
144,58,203
145,58,203
146,58,203
147,58,201
148,58,202
149,58,201
150,58,200
151,58,199
152,58,198
153,58,198
154,58,197
155,58,197
156,58,197
157,58,197
158,58,197
159,58,198
160,58,197
161,58,197
162,58,195
163,58,194
164,58,194
165,58,194
166,58,192
167,58,192
168,58,192
169,58,192
170,59,192
171,59,192
172,59,192
173,59,192
174,59,192
175,59,192
176,59,192
177,60,193
178,59,193
179,59,191
180,59,190
181,59,190
182,59,190
