step,split_counties,split_munis
0,64,282
1,64,281
2,64,278
3,64,271
4,64,271
5,64,271
6,64,269
7,64,269
8,64,269
9,64,269
10,63,268
11,63,267
12,63,266
13,63,262
14,63,259
15,63,258
16,63,258
17,63,256
18,63,257
19,63,257
20,63,254
21,63,254
22,63,254
23,63,253
24,63,253
25,63,253
26,63,252
27,63,252
28,63,252
29,63,252
30,63,252
31,63,250
32,63,249
33,63,248
34,63,248
35,63,246
36,63,245
37,63,245
38,63,245
39,63,244
40,63,242
41,63,242
42,63,240
43,63,240
44,63,240
45,63,240
46,63,239
47,63,239
48,63,238
49,63,238
50,63,238
51,63,238
52,63,238
53,63,238
54,63,235
55,62,234
56,62,233
57,62,233
58,62,231
59,62,230
60,62,230
61,63,230
62,63,229
63,63,229
64,63,225
65,63,226
66,63,225
67,63,225
68,63,225
69,63,225
70,63,226
71,63,225
72,63,224
73,63,223
74,63,221
75,63,220
76,63,220
77,63,220
78,63,220
79,63,219
80,63,219
81,63,219
82,63,217
83,63,218
84,63,218
85,63,218
86,63,216
87,63,216
88,63,214
89,63,213
90,63,213
91,63,212
92,63,213
93,63,213
94,63,213
95,63,213
96,62,212
97,62,211
98,62,210
99,62,209
100,62,210
101,62,210
102,62,210
103,62,212
104,62,211
105,62,211
106,62,211
107,62,209
108,62,209
109,62,207
110,62,206
111,62,205
112,62,205
113,62,204
114,62,203
115,62,201
116,62,201
117,62,201
118,62,201
119,62,198
120,62,198
121,62,197
122,62,197
123,62,196
124,62,193
125,62,192
126,62,192
127,62,192
128,61,191
129,61,191
130,61,192
131,61,192
132,61,192
133,61,193
134,61,193
135,61,194
136,61,194
137,61,195
138,61,195
139,61,195
140,61,193
141,61,191
142,61,191
143,61,190
144,61,190
145,61,190
146,61,191
147,61,191
148,61,191
149,61,191
150,61,191
151,61,191
152,61,187
153,61,187
154,61,188
155,61,188
156,61,188
157,61,188
158,61,189
159,61,189
160,61,189
161,61,190
162,61,188
163,61,188
164,61,188
165,61,189
166,61,190
167,61,188
168,61,188
169,60,186
170,60,185
171,60,184
172,60,182
173,60,181
174,59,177
175,59,176
176,59,175
177,59,175
178,59,175
179,59,175
180,59,175
181,58,173
182,58,171
183,58,171
184,58,170
185,58,168
186,58,169
187,58,169
188,58,168
189,58,168
190,58,168
191,58,168
192,58,168
193,58,168
194,58,168
195,58,168
196,58,168
197,58,168
198,58,168
199,58,168
200,58,168
201,58,167
202,58,166
203,58,166
204,58,165
205,58,165
206,58,165
207,58,163
208,58,163
209,58,164
210,58,162
211,58,163
212,59,163
213,59,161
214,58,160
215,58,162
216,58,159
217,58,159
218,58,159
219,58,156
220,58,155
221,58,155
222,58,154
223,58,154
224,58,153
225,57,153
226,57,153
227,57,153
228,57,153
229,57,153
230,57,153
231,56,150
232,56,150
233,56,150
234,56,150
235,56,151
236,56,151
237,56,151
238,57,151
239,57,150
240,57,150
241,57,151
242,57,151
243,56,152
244,56,153
245,56,153
246,56,153
247,57,154
248,57,152
249,57,152
250,57,152
251,57,152
252,57,153
253,57,151
254,57,151
255,57,150
256,57,150
257,57,150
258,57,150
259,57,149
260,57,149
261,57,148
262,57,147
263,57,147
264,56,147
265,56,147
266,56,147
267,56,145
268,56,144
269,56,144
270,56,144
271,56,144
272,56,143
273,56,142
274,56,141
275,56,141
276,56,140
277,56,140
278,56,139
279,56,138
280,56,137
281,56,137
282,56,137
283,56,136
284,56,135
285,56,135
286,56,132
287,56,131
288,56,131
289,56,132
290,56,133
291,56,132
292,56,132
293,56,133
294,56,132
295,56,132
296,56,132
297,56,132
298,56,132
299,56,132
300,56,132
301,56,132
302,56,132
303,56,132
304,56,131
305,56,131
306,56,131
307,56,131
308,56,132
309,56,132
310,56,131
311,56,131
312,56,130
313,56,130
314,56,130
315,56,129
316,54,127
317,54,127
318,54,126
319,54,126
320,54,126
321,54,126
322,54,126
323,54,127
324,54,127
325,53,126
326,53,125
327,53,125
328,53,124
329,53,122
330,53,121
331,53,121
332,53,121
333,53,121
334,53,122
335,53,121
336,53,121
337,53,121
338,53,121
339,53,122
340,53,122
341,53,122
342,53,122
