step,split_counties,split_munis
0,64,282
1,63,281
2,63,280
3,63,280
4,63,280
5,63,277
6,63,276
7,63,276
8,63,275
9,63,275
10,63,275
11,63,274
12,63,271
13,63,272
14,63,271
15,63,271
16,63,270
17,63,270
18,63,269
19,63,269
20,63,269
21,63,268
22,63,268
23,63,265
24,63,265
25,63,264
26,63,264
27,63,263
28,63,261
29,63,259
30,63,258
31,63,258
32,63,256
33,63,255
34,63,255
35,63,254
36,63,253
37,63,254
38,63,254
39,63,253
40,63,253
41,63,254
42,63,254
43,63,254
44,63,253
45,63,252
46,62,250
47,62,250
48,62,249
49,62,247
50,61,247
51,61,247
52,61,245
53,61,242
54,61,240
55,61,240
56,61,237
57,61,234
58,61,232
59,61,231
60,61,231
61,61,231
62,61,230
63,61,230
64,61,230
65,61,229
66,61,228
67,61,229
68,61,227
69,61,227
70,61,227
71,61,227
72,61,227
73,61,226
74,61,220
75,61,219
76,61,218
77,61,218
78,61,218
79,61,215
80,61,215
81,61,215
82,61,215
83,61,215
84,61,213
85,61,214
86,61,214
87,61,214
88,61,214
89,60,212
90,60,212
91,60,211
92,60,211
93,60,211
94,60,211
95,60,210
96,60,209
97,60,209
98,60,209
99,60,209
100,60,209
101,60,210
102,60,209
103,60,209
104,60,209
105,60,209
106,60,209
107,60,209
108,60,209
109,60,206
110,60,206
111,60,206
112,60,205
113,60,204
114,60,204
115,60,204
116,60,204
117,60,204
118,60,203
119,60,203
120,60,203
121,60,203
122,60,203
123,60,202
124,60,202
125,60,200
126,60,200
127,60,199
128,60,199
129,60,197
130,60,197
131,60,197
132,60,197
133,60,196
134,60,196
135,60,196
136,60,196
137,60,196
138,60,196
139,60,195
140,60,196
141,60,195
142,60,195
143,60,196
144,60,195
145,60,194
146,60,194
147,60,194
148,60,195
149,60,194
150,60,194
151,60,193
152,60,191
153,60,191
154,60,189
155,60,188
156,60,186
157,60,186
158,60,187
159,60,188
160,60,188
161,60,185
162,60,185
163,60,186
164,60,183
165,60,183
166,60,183
167,60,182
168,60,182
169,60,179
170,60,178
171,60,178
172,60,177
173,60,177
174,60,172
175,60,172
176,60,172
177,60,172
178,60,172
179,60,172
180,60,170
181,60,170
182,60,169
183,60,167
184,60,167
185,60,166
186,60,166
187,60,166
188,60,166
189,60,165
190,60,165
191,60,166
192,60,166
193,59,165
194,59,165
195,59,165
196,59,164
197,59,164
198,59,164
199,59,164
200,59,163
201,59,160
202,59,160
203,59,160
204,59,160
205,59,160
206,59,160
207,59,161
208,59,160
209,59,160
210,59,161
211,59,161
212,59,162
213,59,161
214,59,160
215,59,160
216,59,159
217,59,159
218,59,158
219,59,156
220,59,156
221,59,156
222,59,155
223,59,152
224,59,151
225,59,151
226,59,151
227,59,151
228,59,151
229,59,150
230,59,151
231,59,151
232,59,151
233,59,152
234,59,151
235,59,151
236,59,151
237,59,151
238,59,150
239,59,148
240,59,148
241,59,148
242,59,149
243,59,149
244,59,149
245,59,149
246,59,149
247,59,148
248,59,146
249,59,146
250,58,147
251,58,147
252,58,147
253,58,147
254,58,147
255,58,147
256,58,147
257,58,147
258,58,146
259,58,146
260,58,144
261,58,144
262,58,144
263,57,145
264,57,145
265,57,145
266,57,145
267,57,145
268,57,145
269,57,145
270,57,144
271,57,144
272,57,144
273,57,144
274,57,143
275,57,143
276,57,141
277,57,141
278,57,140
279,57,141
280,57,141
281,57,141
282,57,142
283,57,142
284,57,142
285,57,142
286,57,144
287,57,144
288,57,145
289,57,145
290,57,145
291,57,145
292,55,144
293,55,144
294,55,144
295,55,144
296,55,144
297,55,144
298,55,144
299,55,144
300,55,144
301,55,144
302,55,144
303,55,143
304,55,143
305,55,142
306,55,142
307,55,142
308,55,142
309,55,142
310,55,140
311,54,138
312,54,138
313,54,138
314,54,137
315,55,137
316,55,137
317,55,135
318,55,135
319,56,136
320,56,136
321,56,137
322,56,136
323,56,136
324,56,136
325,56,136
326,56,136
327,55,135
328,55,135
329,54,135
330,54,135
331,54,134
332,54,134
333,54,131
334,54,130
335,54,130
336,54,130
337,54,130
338,54,130
339,54,131
340,54,131
341,54,131
342,55,131
343,55,131
344,55,131
345,55,131
346,55,131
347,55,131
348,55,130
349,55,130
350,55,131
351,55,130
352,55,130
353,55,130
354,55,129
355,55,129
356,55,129
357,55,129
358,55,129
359,54,129
360,54,130
361,53,130
362,53,130
363,53,130
364,53,129
365,53,128
366,53,128
367,53,128
368,53,128
369,53,128
370,53,128
371,53,128
372,53,128
373,53,128
374,53,126
375,53,125
376,53,125
377,53,125
378,53,125
379,53,125
380,53,125
381,53,125
382,52,126
383,52,126
384,52,126
385,52,126
386,52,126
387,52,126
388,52,126
389,52,125
390,52,125
391,52,124
392,52,124
393,52,124
394,52,123
395,52,123
396,52,123
397,52,123
398,52,122
399,52,123
400,52,123
401,52,123
402,52,124
403,52,124
404,52,124
405,52,124
406,52,124
407,52,124
408,52,123
409,52,123
410,52,123
411,51,124
412,51,123
413,51,123
414,51,123
415,51,123
416,51,123
417,51,123
418,51,123
419,51,123
420,51,123
421,51,122
422,51,122
423,51,122
424,51,121
425,51,121
426,51,121
