step,split_counties,split_munis
0,64,284
1,64,283
2,64,282
3,64,282
4,64,282
5,64,280
6,64,277
7,64,273
8,64,272
9,64,272
10,64,272
11,64,270
12,64,270
13,64,270
14,64,270
15,64,269
16,64,269
17,64,268
18,64,266
19,64,266
20,64,266
21,64,266
22,64,266
23,64,265
24,64,263
25,64,262
26,64,262
27,64,258
28,64,258
29,64,256
30,64,256
31,64,255
32,64,252
33,64,251
34,64,249
35,64,248
36,64,248
37,64,247
38,64,248
39,64,246
40,64,244
41,64,244
42,64,243
43,64,243
44,64,242
45,64,242
46,64,241
47,64,241
48,64,241
49,64,242
50,64,242
51,64,242
52,64,242
53,64,240
54,64,238
55,64,238
56,64,236
57,64,236
58,64,235
59,64,235
60,64,231
61,64,231
62,64,229
63,64,229
64,64,228
65,64,227
66,64,227
67,64,227
68,64,227
69,63,226
70,63,225
71,63,226
72,63,226
73,63,226
74,63,226
75,63,226
76,63,226
77,63,225
78,63,220
79,63,220
80,63,220
81,63,220
82,63,219
83,63,218
84,63,218
85,63,218
86,63,218
87,63,218
88,63,218
89,62,217
90,62,217
91,62,217
92,62,217
93,62,217
94,62,216
95,62,216
96,62,215
97,62,215
98,62,214
99,62,213
100,62,213
101,62,213
102,62,213
103,61,210
104,61,207
105,61,207
106,61,207
107,61,205
108,61,205
109,61,203
110,61,202
111,61,202
112,61,202
113,61,202
114,61,202
115,61,202
116,61,202
117,61,202
118,61,203
119,60,203
120,60,204
121,60,204
122,59,203
123,58,202
124,57,200
125,57,200
126,57,198
127,57,196
128,57,196
129,57,196
130,57,196
131,57,195
132,57,195
133,57,195
134,56,196
135,56,196
136,56,196
137,56,196
138,56,196
139,56,194
140,56,194
141,56,193
142,56,193
143,56,193
144,56,193
145,56,193
146,56,193
147,56,192
148,56,189
149,55,188
150,55,188
151,55,188
152,55,187
153,55,187
154,55,186
155,55,187
156,55,186
157,55,186
158,55,186
159,55,184
160,55,184
161,55,184
162,54,182
163,54,181
164,54,182
165,54,182
166,54,182
167,54,182
168,54,182
169,54,182
170,54,182
171,54,182
172,52,182
173,53,182
174,53,182
175,53,181
176,53,181
177,53,181
178,53,183
179,53,182
180,53,182
181,53,182
182,53,181
183,53,180
184,53,180
185,53,180
186,53,180
187,53,180
188,53,180
189,53,177
190,53,177
191,53,177
192,53,177
193,53,178
194,53,178
195,53,177
196,53,177
197,53,177
198,52,179
199,52,179
200,52,177
201,52,177
202,52,177
203,52,177
204,52,177
205,52,177
206,52,177
207,52,177
208,52,177
209,52,177
210,52,177
211,52,174
212,52,173
213,52,172
214,52,172
215,52,172
216,52,171
217,52,171
218,52,171
219,53,168
220,53,168
221,53,168
222,53,168
223,53,168
224,53,166
225,53,166
226,53,166
227,53,166
228,53,167
229,53,166
230,53,166
231,53,165
232,53,162
233,53,162
234,53,162
235,53,162
236,53,162
237,53,162
238,53,162
239,53,161
240,53,160
241,53,160
242,53,160
243,53,160
244,53,160
245,53,160
246,53,159
247,53,158
248,53,151
249,53,151
250,53,151
251,53,151
252,53,151
253,53,150
254,53,150
255,53,150
256,53,149
257,53,148
258,53,148
259,53,148
260,53,148
261,53,148
262,53,149
263,53,148
264,53,148
265,53,148
266,53,148
267,53,148
268,52,146
269,51,146
270,51,145
271,51,145
272,51,146
273,51,146
274,51,146
275,52,148
276,52,148
277,52,148
278,52,148
279,52,147
280,52,148
281,52,148
282,52,148
283,52,147
284,52,147
285,52,147
286,52,147
287,52,147
288,52,147
289,52,147
290,52,146
291,52,143
292,52,142
293,52,142
294,52,142
295,52,138
296,52,138
297,52,138
298,52,138
299,52,137
300,52,137
301,52,137
302,52,134
303,52,134
304,52,134
305,52,134
306,52,133
307,52,132
308,52,132
309,52,132
310,52,131
311,51,128
312,51,127
313,51,127
314,51,127
315,51,127
316,51,127
317,51,127
318,51,127
319,51,127
320,51,124
321,51,124
322,51,123
323,51,121
324,51,119
325,51,119
326,51,119
327,51,118
328,51,117
329,51,117
330,51,116
331,51,115
332,51,115
333,51,115
334,51,115
335,51,114
336,51,114
337,51,115
338,51,115
339,51,114
340,51,115
341,51,115
342,51,115
343,51,114
344,51,114
345,51,114
346,51,114
347,51,114
348,51,114
349,51,114
350,51,114
351,51,114
352,51,114
353,51,113
354,51,113
355,51,113
356,51,113
357,51,113
358,51,113
359,51,113
360,51,113
361,51,113
362,51,113
363,51,112
364,51,112
365,51,112
366,51,113
367,51,113
368,51,112
369,51,112
370,51,112
371,51,112
372,51,112
373,51,112
374,51,112
375,51,112
376,51,112
377,51,112
378,51,111
379,51,112
380,51,112
381,51,112
382,51,112
383,51,112
384,51,112
385,51,112
386,51,112
387,51,112
388,51,112
389,51,112
390,51,112
391,51,112
392,51,111
393,51,111
394,51,112
395,51,112
396,51,112
397,51,112
398,51,112
399,51,111
400,51,112
401,51,111
402,51,111
403,51,111
404,51,110
405,51,110
406,51,110
407,51,110
408,50,109
409,50,111
410,50,111
411,50,111
412,49,111
413,49,111
414,49,111
415,49,110
416,49,108
417,49,108
418,49,108
419,49,108
420,49,108
421,49,108
422,49,108
423,49,109
424,49,109
425,49,109
426,49,108
427,49,107
428,49,107
429,49,107
430,49,107
431,49,107
432,49,107
433,49,107
434,49,108
435,49,108
436,49,108
437,49,108
438,49,107
439,49,107
440,49,107
441,49,107
442,49,107
443,49,106
444,49,105
445,49,105
446,49,104
447,49,103
448,49,103
449,49,103
450,49,103
451,49,104
452,49,103
453,49,103
454,49,103
455,49,103
456,49,103
457,49,103
458,49,103
459,49,103
460,49,103
461,49,103
462,49,103
463,49,101
464,49,101
465,49,101
466,49,102
467,49,101
468,49,101
469,49,102
470,49,102
471,49,102
472,49,102
473,49,102
474,49,102
475,49,102
476,49,102
477,49,103
478,49,103
479,49,103
480,49,103
481,49,103
482,49,103
483,49,103
484,49,102
485,49,102
486,49,102
487,49,102
488,49,100
489,49,100
490,49,100
491,49,100
492,49,100
493,49,100
494,49,100
495,49,100
496,49,100
497,49,101
498,49,101
499,49,101
500,49,101
501,49,101
502,49,101
503,49,101
504,49,101
505,49,101
506,49,101
507,49,101
508,49,101
509,49,101
510,49,100
511,49,99
512,49,99
513,49,99
514,49,99
515,49,99
516,49,99
517,49,99
518,49,99
519,49,100
520,49,100
521,49,99
522,49,98
523,49,98
524,49,98
525,49,98
526,49,98
527,49,98
528,49,98
529,49,98
530,49,98
531,49,98
532,49,98
533,49,98
534,49,98
535,49,98
536,49,98
537,49,98
538,49,97
539,48,95
540,48,95
541,48,95
542,48,93
543,48,93
544,48,95
545,48,95
546,48,93
547,48,93
548,48,94
549,48,93
550,48,93
551,48,93
552,48,93
553,48,94
554,48,94
555,48,94
556,48,93
557,48,93
558,48,92
559,48,91
560,48,91
561,48,91
562,48,91
563,48,91
564,48,91
565,48,91
566,48,90
567,48,90
568,48,88
569,48,89
570,48,89
571,48,89
572,48,89
573,48,89
574,48,89
575,48,88
576,48,89
577,48,89
578,48,89
579,48,89
580,48,89
581,48,89
582,48,89
583,47,89
584,47,89
585,47,89
586,47,89
587,47,89
588,48,89
589,48,89
590,48,89
591,48,89
592,48,90
593,48,89
594,48,89
595,48,89
596,48,89
597,48,90
598,48,90
599,48,90
600,48,90
601,48,90
602,48,90
603,48,90
604,48,91
605,48,91
606,48,91
607,48,91
608,48,91
609,48,91
610,48,91
611,48,91
612,48,92
613,48,92
614,48,91
615,48,92
616,48,92
617,48,91
618,48,91
619,48,92
620,48,92
621,48,92
622,48,92
623,48,92
624,48,92
625,48,92
626,48,92
627,48,92
628,48,92
629,48,92
630,48,94
631,48,94
632,48,94
633,48,94
634,48,94
635,48,94
636,48,94
637,48,94
638,48,94
639,48,94
640,48,94
641,48,94
642,48,94
643,48,94
644,48,94
645,48,93
646,48,92
647,48,92
648,48,93
649,48,93
650,48,93
651,48,93
652,48,93
653,48,93
654,48,93
655,48,93
656,48,93
657,48,93
658,48,93
659,48,93
660,48,94
661,48,95
662,48,94
663,48,94
664,48,94
665,48,94
666,48,94
667,48,94
668,48,94
669,48,94
670,48,94
671,48,94
672,48,95
673,48,95
674,48,95
675,48,95
676,48,95
677,48,96
678,48,96
679,48,96
680,48,95
681,48,95
682,48,93
683,48,93
684,48,93
685,48,93
686,48,92
687,48,92
688,48,92
689,48,91
690,48,91
691,48,91
692,48,91
693,48,91
694,47,94
695,47,94
696,47,94
697,47,93
698,47,94
699,47,94
700,47,95
701,47,95
702,47,95
703,47,94
704,47,93
705,47,93
706,47,94
707,47,94
708,47,94
709,47,94
710,47,94
711,47,94
712,47,93
713,47,92
714,47,93
715,47,93
716,47,93
717,47,93
718,47,92
719,47,91
720,47,91
721,47,91
722,47,91
723,47,91
724,47,92
725,47,92
726,47,92
727,47,91
728,47,91
729,47,91
730,47,91
731,47,89
732,47,89
733,47,89
734,47,89
735,47,88
736,47,88
737,47,88
738,47,88
739,47,88
740,47,88
741,47,88
742,47,88
743,47,88
744,47,88
745,47,88
746,47,88
747,47,88
748,47,88
749,47,88
750,47,88
751,47,88
752,47,88
753,47,88
754,47,87
755,47,87
756,47,87
757,47,87
758,47,87
759,47,88
760,47,88
761,47,87
762,47,87
763,47,87
764,47,87
765,47,87
766,47,87
767,47,85
768,47,85
769,47,85
770,47,85
771,47,85
772,47,85
773,47,85
774,47,83
775,47,83
776,47,83
777,47,83
778,47,83
779,47,83
780,47,83
781,47,83
782,47,83
783,47,84
784,47,84
785,47,84
786,47,84
787,47,84
788,47,85
789,47,85
790,47,85
791,47,85
792,47,85
793,46,85
794,46,84
795,46,84
796,46,84
797,46,84
798,46,86
799,46,86
800,46,86
801,46,86
802,46,86
803,46,86
804,46,86
805,46,86
806,46,86
807,46,86
808,46,86
809,46,86
810,46,87
811,46,87
812,46,87
813,45,87
814,45,86
815,45,86
816,45,85
817,45,85
818,45,85
819,45,85
820,45,84
821,45,84
822,45,84
823,45,84
824,45,85
825,45,85
826,45,85
827,45,85
828,45,85
829,45,86
830,45,86
831,45,86
832,45,86
833,45,86
834,45,86
835,45,86
836,45,86
837,45,86
838,45,85
839,45,85
840,45,85
841,45,85
842,45,85
843,45,85
844,45,85
845,45,84
846,45,84
847,45,83
848,45,82
849,45,82
850,45,82
851,46,81
852,46,81
853,46,81
854,46,81
855,46,81
856,46,81
857,46,81
858,46,81
859,46,81
860,46,81
861,46,82
862,46,82
863,46,82
864,46,82
