step,split_counties,split_munis
0,64,282
1,63,281
2,63,280
3,63,279
4,63,279
5,63,277
6,63,274
7,63,273
8,63,272
9,63,272
10,63,271
11,63,271
12,63,271
13,62,269
14,62,265
15,61,263
16,61,260
17,61,260
18,61,260
19,61,260
20,61,260
21,61,260
22,61,258
23,61,255
24,61,255
25,61,255
26,61,254
27,61,251
28,61,251
29,61,250
30,61,250
31,61,250
32,61,249
33,61,249
34,61,250
35,61,248
36,61,248
37,61,248
38,61,249
39,61,249
40,61,248
41,61,248
42,61,247
43,61,246
44,61,245
45,61,245
46,61,243
47,61,243
48,61,242
49,61,240
50,61,240
51,61,240
52,61,240
53,61,240
54,61,239
55,61,239
56,60,240
57,60,238
58,60,238
59,59,237
60,59,237
61,59,236
62,59,233
63,59,233
64,59,233
65,59,232
66,59,232
67,59,232
68,58,232
69,58,232
70,58,232
71,58,231
72,58,230
73,58,230
74,58,230
75,58,226
76,58,226
77,58,226
78,58,226
79,58,226
80,58,225
81,58,225
82,57,223
83,57,223
84,57,223
85,57,223
86,57,223
87,57,223
88,57,224
89,57,224
90,57,223
91,57,223
92,57,223
93,57,223
94,57,220
95,57,220
96,57,220
97,57,220
98,57,220
99,57,220
100,57,220
101,57,220
102,57,220
103,57,217
104,57,217
105,57,218
106,57,218
107,57,218
108,57,218
109,57,217
110,57,217
111,57,217
112,57,214
113,57,213
114,57,212
115,57,213
116,57,213
117,57,213
118,57,210
119,57,210
120,56,208
121,56,208
122,56,208
123,56,208
124,56,208
125,56,208
126,56,206
127,56,206
128,56,206
129,56,204
130,56,204
131,56,201
132,55,202
133,55,199
134,55,196
135,55,196
136,55,195
137,54,192
138,54,191
139,54,191
140,54,191
141,54,191
142,54,191
143,54,191
144,54,191
145,54,192
146,54,192
147,54,192
148,54,190
149,54,190
150,54,190
151,54,190
152,54,190
153,54,189
154,54,189
155,54,189
156,54,189
157,54,189
158,54,189
159,54,188
160,54,187
161,54,187
162,54,186
163,54,186
164,54,186
165,54,185
166,54,185
167,54,185
168,54,185
169,54,184
170,54,184
171,54,184
172,54,184
173,55,184
174,55,183
175,55,183
176,55,182
177,55,182
178,55,182
179,55,181
180,55,180
181,55,180
182,55,180
183,55,180
184,55,180
185,54,179
186,54,179
187,54,179
188,54,175
189,54,174
190,54,174
191,54,174
192,54,174
193,54,174
194,54,173
195,54,174
196,54,174
197,53,173
198,52,173
199,52,173
200,52,172
201,52,170
202,52,168
203,52,168
204,52,169
205,52,169
206,52,169
207,52,169
208,52,166
209,52,166
210,52,166
211,52,166
212,51,165
213,51,165
214,51,163
215,51,162
216,51,162
217,51,162
218,51,160
219,51,159
220,51,159
221,51,158
222,51,157
223,51,156
224,51,157
225,51,158
226,51,158
227,51,158
228,51,158
229,51,158
230,51,158
231,51,158
232,51,159
233,51,159
234,51,159
235,51,159
236,51,158
237,51,157
238,51,157
239,51,157
240,51,157
241,51,157
242,51,156
243,51,156
244,51,157
245,51,157
246,51,157
247,51,157
248,51,155
249,51,155
250,51,155
251,51,155
252,51,155
253,51,154
254,51,154
255,51,154
256,51,154
257,51,154
258,51,153
259,51,153
260,51,155
261,51,154
262,51,154
263,51,152
264,51,150
265,51,150
266,51,150
267,51,150
268,51,150
269,51,151
270,51,152
271,51,153
272,51,153
273,51,152
274,51,152
275,51,150
276,51,151
277,51,151
278,51,151
279,51,151
280,51,151
281,51,151
282,51,151
283,51,151
284,51,151
285,51,151
286,51,151
287,51,152
288,51,152
289,51,151
290,51,151
291,51,151
292,51,151
293,51,151
294,51,151
295,51,151
296,50,143
297,50,142
298,50,142
299,50,141
300,50,141
301,50,141
302,50,141
303,50,141
304,50,138
305,50,138
306,50,138
307,50,138
308,50,137
309,50,136
310,50,135
311,50,135
312,50,135
313,50,136
314,50,136
315,50,136
316,50,136
317,50,136
318,50,136
319,50,136
320,50,136
321,51,136
322,51,136
323,51,136
324,51,136
325,51,136
326,51,136
327,52,136
328,52,136
329,52,136
330,52,136
331,52,136
332,52,136
333,52,135
334,52,135
335,52,133
336,52,133
337,52,134
338,51,134
339,51,134
340,51,134
341,51,132
342,51,132
343,51,132
344,51,132
345,51,132
346,51,132
347,51,132
348,51,132
349,51,132
350,51,133
351,51,133
352,51,133
353,51,133
354,51,130
355,51,130
356,51,130
357,51,130
358,51,130
359,51,130
360,51,130
361,51,130
362,51,130
363,51,130
364,52,130
365,52,130
366,52,129
367,52,129
368,52,129
369,52,129
370,52,129
371,52,129
372,52,129
373,52,129
374,52,131
375,52,131
376,52,130
377,52,130
378,52,130
379,52,130
380,52,130
381,52,130
382,52,130
383,52,130
384,52,130
385,52,130
386,52,130
387,52,131
388,52,131
389,52,131
390,52,131
391,52,131
392,52,129
393,52,129
394,52,128
395,52,128
396,52,127
397,52,127
398,52,127
399,52,126
400,52,126
401,52,126
402,52,126
403,52,126
404,52,126
405,52,126
406,52,126
407,52,127
408,52,127
409,51,127
410,51,126
411,50,124
412,50,124
413,50,125
414,51,125
415,51,125
416,51,125
417,51,125
418,51,125
419,51,125
420,51,124
421,51,124
422,51,124
423,51,124
424,51,122
425,51,122
426,51,122
