step,split_counties,split_munis
0,64,282
1,64,280
2,64,280
3,64,280
4,64,278
5,64,278
6,64,276
7,64,276
8,64,275
9,64,274
10,65,271
11,65,269
12,65,269
13,65,267
14,65,268
15,65,266
16,65,267
17,65,266
18,65,266
19,65,264
20,65,264
21,65,264
22,65,264
23,65,263
24,65,263
25,65,263
26,65,262
27,65,262
28,65,262
29,65,262
30,65,262
31,65,262
32,65,257
33,65,256
34,65,254
35,65,254
36,65,253
37,65,253
38,65,250
39,65,250
40,65,250
41,65,250
42,65,249
43,65,250
44,65,248
45,65,245
46,65,245
47,65,245
48,65,244
49,65,245
50,65,243
51,65,241
52,65,241
53,65,241
54,65,240
55,65,240
56,65,240
57,65,240
58,65,240
59,65,240
60,65,240
61,65,238
62,65,235
63,65,233
64,65,233
65,65,233
66,65,233
67,65,232
68,65,232
69,65,232
70,65,231
71,65,231
72,65,231
73,65,230
74,65,230
75,65,230
76,65,230
77,65,230
78,65,230
79,65,226
80,65,226
81,65,226
82,65,226
83,65,226
84,65,226
85,65,226
86,65,226
87,65,226
88,65,222
89,65,222
90,65,221
91,65,219
92,65,219
93,65,219
94,65,218
95,65,217
96,65,215
97,65,214
98,65,213
99,65,213
100,65,213
101,65,210
102,65,209
103,65,209
104,65,209
105,65,207
106,65,207
107,65,207
108,65,208
109,65,208
110,65,208
111,65,206
112,65,206
113,65,206
114,65,206
115,65,206
116,65,204
117,65,203
118,65,202
119,65,201
120,65,200
121,65,200
122,65,198
123,65,198
124,65,197
125,65,197
126,65,194
127,65,193
128,65,187
129,65,187
130,65,187
131,64,186
132,64,185
133,64,185
134,64,185
135,64,184
136,64,184
137,64,184
138,64,184
139,64,182
140,64,182
141,64,182
142,64,182
143,64,181
144,64,182
145,64,182
146,64,183
147,64,183
148,64,183
149,64,181
150,64,181
151,64,181
152,64,181
153,64,178
154,64,177
155,64,175
156,64,175
157,64,173
158,64,173
159,64,173
160,64,173
161,64,172
162,64,171
163,64,170
164,64,169
165,64,169
166,64,168
167,64,167
168,64,167
169,64,167
170,64,166
171,64,167
172,64,165
173,64,165
174,64,165
175,64,165
176,64,165
177,64,166
178,64,164
179,64,162
180,64,161
181,64,162
182,64,162
183,64,162
184,64,162
185,64,160
186,64,160
187,64,160
188,64,160
189,64,160
190,64,159
191,64,160
192,64,160
193,64,160
194,64,161
195,64,162
196,64,162
197,64,164
198,64,163
199,64,164
200,64,165
201,64,165
202,64,165
203,64,165
204,64,165
205,64,165
206,64,163
207,64,163
208,64,163
209,64,162
210,64,163
211,64,162
212,64,163
213,64,164
214,64,164
215,64,164
216,64,163
217,64,162
