step,split_counties,split_munis
0,64,282
1,64,282
2,64,281
3,64,280
4,64,279
5,64,279
6,64,276
7,64,274
8,64,273
9,64,271
10,64,272
11,64,271
12,64,268
13,64,268
14,64,268
15,64,266
16,64,263
17,64,263
18,64,264
19,64,263
20,64,263
21,64,263
22,64,262
23,64,262
24,64,262
25,64,260
26,64,258
27,64,255
28,64,254
29,64,253
30,64,253
31,64,249
32,64,247
33,64,246
34,64,246
35,64,242
36,64,241
37,64,239
38,64,239
39,64,238
40,64,238
41,64,238
42,64,237
43,64,237
44,64,237
45,64,237
46,64,237
47,64,237
48,64,237
49,64,237
50,64,234
51,64,234
52,64,234
53,64,233
54,64,234
55,64,233
56,64,233
57,64,229
58,64,229
59,64,229
60,64,229
61,64,228
62,64,228
63,64,228
64,64,228
65,64,226
66,64,226
67,64,226
68,64,226
69,64,226
70,64,225
71,64,224
72,64,223
73,64,223
74,64,220
75,64,219
76,64,219
77,64,216
78,64,214
79,64,214
80,64,214
81,64,214
82,64,214
83,64,214
84,64,214
85,64,211
86,64,208
87,64,206
88,64,207
89,64,207
90,64,207
91,64,207
92,64,207
93,64,207
94,64,207
95,64,205
96,64,200
97,64,200
98,64,199
99,64,199
100,64,199
101,64,199
102,64,199
103,64,199
104,64,199
105,64,199
106,64,199
107,64,199
108,64,196
109,64,196
110,64,192
111,64,191
112,64,192
113,64,191
114,64,190
115,64,189
116,64,187
117,64,187
118,64,187
119,64,187
120,64,186
121,64,187
122,64,187
123,64,187
124,64,186
125,64,185
126,64,183
127,64,183
128,64,183
129,64,183
130,64,182
131,64,181
132,64,181
133,64,181
134,64,177
135,64,177
136,64,175
137,64,175
138,64,175
139,64,173
140,64,172
141,64,172
142,64,171
143,64,171
144,64,170
145,64,169
146,64,169
147,64,168
148,64,166
149,64,167
150,64,167
151,64,167
152,64,168
153,64,168
154,64,168
155,64,167
156,64,168
157,64,168
158,64,168
159,64,168
160,64,168
161,64,167
162,64,167
163,64,168
164,64,166
165,64,166
166,64,166
167,64,165
168,64,165
169,64,165
170,64,165
171,64,165
172,64,165
173,64,165
174,64,165
175,64,165
176,64,165
177,64,165
178,64,165
179,64,165
180,64,164
181,64,164
182,64,163
183,64,163
184,64,163
185,64,163
186,64,163
187,64,163
188,64,163
189,64,163
190,64,163
191,64,163
192,64,165
193,64,164
194,64,164
195,64,164
196,64,164
197,64,165
198,64,163
199,64,163
200,64,163
201,64,163
202,64,163
203,64,161
204,64,161
205,64,160
206,64,160
207,64,160
208,64,159
209,64,159
210,64,159
211,64,159
212,64,160
213,64,161
214,64,161
215,64,161
216,64,161
217,64,159
218,64,159
219,64,159
220,64,159
221,64,158
222,64,157
223,64,157
224,64,157
225,64,157
226,64,156
227,64,155
228,64,155
229,64,154
230,64,154
231,64,154
232,64,154
233,64,154
234,64,154
235,64,154
236,64,154
237,64,155
238,64,155
239,64,156
240,64,155
241,64,156
242,64,156
243,64,156
244,64,156
245,64,156
246,64,156
247,64,156
248,64,156
249,64,154
250,64,154
251,64,154
252,64,153
253,64,152
254,64,153
255,64,153
256,64,152
257,64,151
258,64,151
259,64,151
260,64,151
261,64,153
262,64,154
263,64,153
264,64,153
265,64,153
266,64,153
267,64,153
268,64,151
269,64,150
270,64,149
271,64,149
272,64,149
273,64,149
274,64,149
275,64,149
276,64,146
277,64,146
278,64,147
279,64,145
280,64,145
281,64,144
282,64,144
283,64,144
284,64,143
285,64,143
286,64,143
287,64,143
288,64,143
289,64,143
290,64,142
291,64,141
292,64,141
293,64,141
294,64,141
295,64,140
296,64,140
297,64,140
298,64,140
299,64,140
300,64,141
301,64,142
302,64,142
303,64,142
304,64,143
305,64,143
306,64,143
307,64,143
308,64,143
309,64,143
310,64,143
311,64,143
312,64,143
313,64,142
314,64,142
315,64,141
316,64,143
317,64,143
318,64,143
319,64,143
320,64,140
321,64,140
322,64,140
323,64,140
324,64,140
325,64,140
326,64,140
327,64,140
328,64,139
329,64,138
330,64,138
331,64,137
332,64,137
333,63,137
334,63,137
335,63,135
336,63,134
337,63,135
338,63,135
339,63,136
340,63,136
341,63,134
342,63,135
343,63,135
344,63,135
345,63,135
346,63,133
347,63,133
348,63,131
349,63,131
350,63,131
351,63,132
352,63,132
353,63,132
354,63,132
355,63,132
356,63,132
357,63,132
358,63,128
359,63,128
360,63,128
361,63,128
362,63,128
363,63,129
364,63,129
365,63,128
366,63,128
367,63,128
368,63,128
369,63,127
370,64,126
371,64,127
372,64,126
373,64,127
374,64,126
375,64,126
376,64,126
377,64,126
378,64,125
379,64,125
380,64,125
381,64,126
382,64,125
383,64,125
384,64,125
385,64,125
386,64,125
387,64,125
388,64,123
389,64,123
390,64,123
391,64,123
392,64,125
393,64,125
394,64,125
395,64,124
396,64,124
397,64,124
398,64,124
399,64,124
400,64,124
401,64,124
402,64,124
403,64,124
404,64,123
405,64,122
406,64,123
407,64,122
408,63,123
409,63,123
410,63,122
411,63,122
412,63,121
413,63,121
414,63,122
415,63,121
416,63,121
417,63,121
418,63,120
419,63,119
420,63,119
421,63,119
422,63,119
423,63,118
424,63,118
425,63,119
426,63,120
427,63,120
428,63,119
429,63,118
430,63,118
431,63,118
432,63,118
433,63,118
