step,split_counties,split_munis
0,64,282
1,64,280
2,64,279
3,64,276
4,64,276
5,65,275
6,65,273
7,65,272
8,65,271
9,65,271
10,65,270
11,65,267
12,65,267
13,65,266
14,65,264
15,65,263
16,65,262
17,65,255
18,65,252
19,65,252
20,65,251
21,65,249
22,65,249
23,65,249
24,65,249
25,65,249
26,65,248
27,65,248
28,65,248
29,65,246
30,65,244
31,65,242
32,65,242
33,65,242
34,65,242
35,65,241
36,65,241
37,65,241
38,65,239
39,65,238
40,65,235
41,65,233
42,65,233
43,65,233
44,65,231
45,65,231
46,65,231
47,65,229
48,65,229
49,65,228
50,65,227
51,65,227
52,65,226
53,65,225
54,65,223
55,65,223
56,65,223
57,65,221
58,65,221
59,65,218
60,65,219
61,65,220
62,65,219
63,65,218
64,65,214
65,65,214
66,65,214
67,65,213
68,65,213
69,65,212
70,65,213
71,65,211
72,65,209
73,65,208
74,65,206
75,65,206
76,65,206
77,65,206
78,65,206
79,65,206
80,65,206
81,65,206
82,65,206
83,65,206
84,65,202
85,65,202
86,65,200
87,65,200
88,66,200
89,66,200
90,66,198
91,66,197
92,66,197
93,66,193
94,66,193
95,66,192
96,66,192
97,66,190
98,66,189
99,66,189
100,66,189
101,66,189
102,66,189
103,66,189
104,66,189
105,66,189
106,66,189
107,66,189
108,66,188
109,66,188
110,66,188
111,66,185
112,66,185
113,66,185
114,66,185
115,66,185
116,66,185
117,66,185
118,66,184
119,66,184
120,66,182
121,66,177
122,66,177
123,66,178
124,66,178
125,66,178
126,66,178
127,66,178
128,66,177
129,66,176
130,66,175
131,66,174
132,66,173
133,66,169
134,66,169
135,66,168
136,66,168
137,66,168
138,66,168
139,66,168
140,66,168
141,66,168
142,66,168
143,66,166
144,66,166
145,66,166
146,66,164
147,66,162
148,66,161
149,66,162
150,66,161
151,66,158
152,66,158
153,66,157
154,66,157
155,66,157
156,66,157
157,66,156
158,66,156
159,66,155
160,66,155
161,66,155
162,66,156
163,66,156
164,66,154
165,66,154
166,66,155
167,66,155
168,66,155
169,66,155
170,66,155
171,66,155
172,66,155
173,66,155
174,66,155
175,66,152
176,66,152
177,66,152
178,66,150
179,66,146
180,66,146
181,65,146
182,65,146
183,65,144
184,65,144
185,65,140
186,65,140
187,65,140
188,65,140
189,65,140
190,65,141
191,65,141
192,65,138
193,65,138
194,65,138
195,65,137
196,65,137
197,65,138
198,65,138
199,65,138
200,65,138
201,65,138
202,65,138
203,65,137
204,65,135
205,65,134
206,65,134
207,65,134
208,65,134
209,65,133
210,65,133
211,65,133
212,65,133
213,65,134
214,65,134
215,65,134
216,65,134
217,65,134
