step,split_counties,split_munis
0,64,282
1,64,280
2,64,280
3,64,278
4,64,277
5,64,277
6,64,275
7,64,274
8,64,273
9,64,274
10,64,271
11,63,270
12,63,269
13,63,267
14,63,266
15,63,265
16,63,264
17,63,264
18,63,265
19,63,265
20,63,265
21,63,265
22,63,264
23,63,262
24,63,262
25,63,262
26,63,259
27,63,259
28,63,259
29,63,259
30,63,260
31,62,258
32,62,258
33,62,256
34,62,256
35,62,256
36,62,256
37,62,256
38,62,254
39,62,251
40,62,249
41,62,248
42,62,248
43,62,248
44,62,248
45,62,248
46,62,246
47,62,246
48,62,246
49,62,244
50,62,244
51,62,243
52,62,243
53,62,243
54,62,243
55,62,242
56,62,242
57,62,242
58,62,240
59,62,240
60,62,240
61,62,240
62,62,240
63,62,240
64,62,239
65,62,237
66,62,236
67,62,235
68,62,235
69,62,236
70,62,236
71,62,234
72,62,234
73,62,233
74,62,234
75,62,234
76,62,234
77,62,232
78,62,233
79,62,233
80,62,233
81,62,233
82,62,233
83,62,233
84,62,233
85,62,232
86,62,231
87,62,231
88,62,230
89,62,230
90,62,229
91,62,226
92,62,226
93,62,226
94,62,226
95,62,225
96,62,226
97,62,226
98,62,226
99,62,225
100,62,224
101,62,224
102,62,222
103,62,219
104,62,219
105,62,216
106,60,215
107,60,215
108,60,214
109,60,214
110,59,212
111,59,212
112,59,211
113,59,211
114,59,211
115,59,210
116,59,209
117,59,209
118,59,206
119,59,202
120,59,202
121,59,200
122,59,200
123,59,199
124,59,195
125,59,195
126,59,192
127,59,192
128,59,192
129,59,192
130,58,186
131,58,186
132,58,185
133,58,187
134,58,186
135,58,186
136,58,186
137,58,186
138,58,186
139,58,186
140,58,187
141,58,187
142,58,187
143,58,187
144,58,187
145,58,187
146,58,182
147,58,179
148,58,179
149,58,179
150,58,179
151,58,179
152,58,179
153,58,179
154,58,178
155,58,178
156,58,178
157,58,177
158,58,177
159,58,177
160,58,177
161,58,178
162,58,178
163,58,177
164,58,177
165,58,177
166,58,175
167,58,175
168,58,175
169,58,173
170,58,174
171,58,174
172,58,174
173,58,171
174,58,171
175,58,171
176,58,171
177,58,171
178,58,171
179,58,170
180,58,170
181,58,170
182,58,170
183,58,170
184,58,170
185,58,170
186,58,170
187,58,170
188,58,169
189,58,170
190,58,170
191,58,170
192,58,170
193,58,170
194,58,170
195,58,170
196,58,170
197,57,168
198,57,169
199,57,168
200,57,168
201,57,167
202,57,167
203,57,167
204,57,167
205,57,166
206,57,166
207,57,166
208,57,166
209,57,165
210,57,164
211,57,164
212,57,164
213,57,164
214,57,163
215,57,163
216,57,162
217,57,162
