step,split_counties,split_munis
0,64,284
1,64,284
2,64,284
3,64,284
4,64,282
5,63,281
6,63,280
7,63,277
8,63,276
9,63,276
10,63,276
11,63,270
12,63,269
13,63,265
14,63,265
15,62,264
16,62,264
17,62,262
18,62,261
19,61,261
20,60,254
21,60,254
22,60,254
23,60,255
24,60,253
25,60,253
26,60,252
27,60,252
28,60,250
29,60,250
30,59,248
31,59,247
32,59,247
33,59,247
34,59,247
35,59,247
36,59,247
37,59,247
38,59,247
39,59,248
40,59,248
41,59,247
42,59,247
43,59,245
44,59,246
45,59,246
46,59,246
47,59,243
48,59,243
49,59,243
50,59,243
51,59,242
52,59,242
53,59,241
54,59,241
55,59,239
56,59,238
57,59,237
58,59,238
59,59,235
60,59,235
61,59,234
62,59,233
63,59,232
64,59,232
65,57,233
66,57,229
67,57,227
68,57,227
69,57,225
70,57,225
71,57,224
72,57,221
73,57,222
74,57,222
75,57,222
76,57,222
77,57,221
78,57,221
79,57,221
80,57,221
81,57,220
82,57,220
83,57,218
84,57,217
85,57,217
86,57,217
87,57,217
88,57,217
89,57,216
90,57,214
91,57,215
92,57,215
93,57,215
94,57,216
95,57,214
96,57,213
97,57,213
98,57,214
99,57,213
100,57,212
101,57,212
102,57,210
103,57,210
104,57,206
105,57,206
106,57,203
107,57,203
108,57,202
109,57,202
110,57,200
111,57,199
112,57,199
113,57,199
114,57,199
115,57,199
116,57,198
117,57,198
118,57,198
119,57,197
120,57,198
121,57,198
122,57,198
123,57,199
124,57,199
125,57,199
126,57,199
127,57,199
128,57,198
129,57,199
130,57,199
131,57,199
132,57,197
133,57,198
134,57,196
135,57,197
136,57,197
137,57,197
138,57,197
139,57,197
140,57,196
141,57,194
142,57,195
143,57,195
144,57,195
145,57,195
146,57,194
147,57,192
148,57,191
149,57,191
150,57,191
151,57,191
152,57,191
153,57,191
154,57,191
155,57,190
156,57,190
157,57,189
158,57,186
159,57,186
160,57,186
161,57,186
162,57,186
163,57,185
164,57,185
165,57,185
166,57,185
167,57,185
168,57,185
169,57,185
170,57,185
171,57,182
172,57,181
173,57,179
174,57,179
175,57,179
176,57,178
177,57,178
178,57,177
179,57,177
180,57,177
181,57,177
182,57,177
