step,split_counties,split_munis
0,64,282
1,64,281
2,64,281
3,64,278
4,64,277
5,64,277
6,64,275
7,64,275
8,64,275
9,64,274
10,64,274
11,64,274
12,64,272
13,64,271
14,64,269
15,64,269
16,64,267
17,64,267
18,64,266
19,64,265
20,64,265
21,64,264
22,64,264
23,64,264
24,64,263
25,64,262
26,64,263
27,64,263
28,64,264
29,64,264
30,64,264
31,64,264
32,63,261
33,63,260
34,63,256
35,63,255
36,63,255
37,63,255
38,63,255
39,63,253
40,63,252
41,63,252
42,63,250
43,63,250
44,63,247
45,63,247
46,63,247
47,63,246
48,63,245
49,63,245
50,63,245
51,63,245
52,63,245
53,63,245
54,63,245
55,63,241
56,63,239
57,63,239
58,63,239
59,63,239
60,63,239
61,62,235
62,62,235
63,62,235
64,62,235
65,62,235
66,62,235
67,62,236
68,61,234
69,61,234
70,60,232
71,60,233
72,60,233
73,60,232
74,60,229
75,60,228
76,60,226
77,60,226
78,60,226
79,60,226
80,60,226
81,60,226
82,60,225
83,60,224
84,60,224
85,60,225
86,60,225
87,60,225
88,60,225
89,60,225
90,60,225
91,60,225
92,60,225
93,60,225
94,60,223
95,60,222
96,60,222
97,60,222
98,60,222
99,60,218
100,60,218
101,60,218
102,60,219
103,60,219
104,60,219
105,60,219
106,60,219
107,60,219
108,60,217
109,60,218
110,60,218
111,60,218
112,60,217
113,60,217
114,60,217
115,60,216
116,60,212
117,60,210
118,60,210
119,60,210
120,58,209
121,58,206
122,58,206
123,58,205
124,58,205
125,58,205
126,58,205
127,58,205
128,58,199
129,58,198
130,58,197
131,58,197
132,58,197
133,58,198
134,58,197
135,58,197
136,58,197
137,58,197
138,58,197
139,58,198
140,58,198
141,58,198
142,58,198
143,57,198
144,57,198
145,57,198
146,57,198
147,57,198
148,57,198
149,57,198
150,57,198
151,57,196
152,57,194
153,57,194
154,57,193
155,57,193
156,57,193
157,57,191
158,57,191
159,57,190
160,57,190
161,57,191
162,57,189
163,57,189
164,57,188
165,57,187
166,57,187
167,57,187
168,57,188
169,57,187
170,57,187
171,57,186
172,57,187
173,57,186
174,57,186
175,57,185
176,57,185
177,57,185
178,56,182
179,56,184
180,56,184
181,56,183
182,56,182
183,56,182
184,55,181
185,55,181
186,55,180
187,55,180
188,55,178
189,55,178
190,55,178
191,55,178
192,55,178
193,55,179
194,55,179
195,55,179
196,55,180
197,55,180
198,55,181
199,55,181
200,55,181
201,55,180
202,55,180
203,55,179
204,56,179
205,56,176
206,56,174
207,56,173
208,56,173
209,56,173
210,56,173
211,56,173
212,56,173
213,56,172
214,56,172
215,56,172
216,56,172
217,56,172
218,56,172
219,56,172
220,56,172
221,56,170
222,56,168
223,56,168
224,56,168
225,56,168
226,56,168
227,56,168
228,56,168
229,56,168
230,56,168
231,56,167
232,56,166
233,56,167
234,56,167
235,56,167
236,56,167
237,56,165
238,56,165
239,56,162
240,56,162
241,56,162
242,56,162
243,56,162
244,56,161
245,57,160
246,57,161
247,57,162
248,57,161
249,57,160
250,57,161
251,57,162
252,57,162
253,57,162
254,57,162
255,57,160
256,57,159
257,57,159
258,57,159
259,57,155
260,57,154
261,57,154
262,57,154
263,57,154
264,57,152
265,57,152
266,57,152
267,57,152
268,57,153
269,57,153
270,57,153
271,57,153
272,57,153
273,57,152
274,57,151
275,57,149
276,57,150
277,57,150
278,57,152
279,57,153
280,57,153
281,57,153
282,57,153
283,57,151
284,57,152
285,57,151
286,57,151
287,57,152
288,57,152
289,57,150
290,57,151
291,57,150
292,57,150
293,57,149
294,57,148
295,57,148
296,57,146
297,57,147
298,57,146
299,57,146
300,57,145
301,57,145
302,57,145
303,57,145
304,57,145
305,57,146
306,57,146
307,57,146
308,57,144
309,57,144
310,57,144
311,57,145
312,57,145
313,57,145
314,57,145
315,57,145
316,57,145
317,57,144
318,57,144
319,57,144
320,57,141
321,57,142
322,57,142
323,57,138
324,57,138
325,57,138
326,57,135
327,57,135
328,57,135
329,57,135
330,56,133
331,57,133
332,57,135
333,57,134
334,57,134
335,57,135
336,57,135
337,57,136
338,57,136
339,57,136
340,57,136
341,57,134
342,57,134
