step,split_counties,split_munis
0,64,282
1,64,282
2,64,282
3,64,281
4,63,280
5,63,280
6,63,277
7,63,276
8,63,275
9,63,274
10,63,271
11,63,270
12,63,270
13,63,270
14,62,268
15,62,268
16,62,268
17,62,264
18,62,263
19,62,260
20,62,258
21,62,258
22,62,258
23,62,258
24,62,255
25,62,255
26,62,255
27,61,247
28,61,244
29,61,244
30,61,242
31,61,242
32,61,242
33,60,241
34,61,239
35,61,239
36,61,239
37,61,238
38,61,238
39,61,238
40,61,237
41,61,237
42,61,237
43,61,237
44,61,234
45,62,232
46,62,232
47,62,231
48,62,231
49,62,231
50,62,230
51,62,230
52,62,230
53,62,230
54,62,230
55,62,230
56,62,229
57,62,228
58,62,228
59,62,226
60,62,226
61,62,225
62,62,225
63,62,225
64,62,225
65,62,224
66,62,224
67,62,224
68,62,223
69,62,223
70,62,221
71,62,220
72,62,220
73,62,220
74,62,217
75,62,217
76,62,216
77,62,216
78,62,216
79,62,216
80,62,216
81,62,214
82,62,214
83,62,214
84,62,214
85,62,214
86,62,215
87,62,214
88,62,214
89,62,214
90,62,212
91,62,212
92,62,212
93,62,212
94,62,212
95,62,212
96,62,212
97,62,210
98,62,210
99,62,210
100,62,210
101,62,210
102,62,209
103,62,209
104,62,208
105,62,208
106,62,209
107,62,207
108,62,207
109,62,205
110,62,205
111,62,203
112,62,203
113,62,203
114,62,199
115,62,199
116,62,196
117,62,194
118,62,194
119,62,194
120,62,194
121,62,194
122,62,195
123,62,196
124,62,194
125,62,192
126,62,192
127,62,192
128,62,193
129,62,193
130,62,192
131,62,190
132,62,190
133,62,190
134,62,189
135,62,188
136,62,188
137,62,188
138,62,188
139,62,187
140,62,187
141,62,187
142,62,187
143,62,187
144,62,187
145,62,187
146,62,186
147,62,184
148,62,186
149,62,186
150,62,185
151,62,185
152,62,184
153,62,183
154,62,183
155,62,182
156,62,183
157,62,183
158,62,184
159,62,184
160,62,183
161,62,183
162,62,181
163,62,181
164,62,178
165,62,178
166,62,177
167,62,177
168,62,177
169,62,177
170,62,177
171,62,177
172,62,178
173,62,178
174,62,177
175,62,177
176,62,177
177,62,177
178,62,177
179,62,175
180,61,174
181,61,174
182,61,173
183,61,173
184,61,174
185,61,172
186,61,172
187,61,172
188,61,172
189,61,172
190,61,172
191,61,172
192,61,172
193,61,172
194,61,170
195,61,170
196,61,170
197,61,169
198,61,169
199,61,169
200,61,169
201,61,169
202,61,169
203,61,169
204,61,169
205,61,169
206,61,169
207,61,169
208,61,168
209,61,168
210,60,166
211,60,166
212,60,163
213,60,163
214,60,163
215,60,161
216,60,162
217,60,162
218,60,162
219,59,161
220,59,161
221,59,160
222,59,158
223,59,156
224,59,156
225,59,156
226,59,156
227,59,156
228,59,156
229,59,154
230,59,154
231,59,154
232,59,154
233,59,154
234,59,154
235,59,154
236,59,154
237,59,153
238,59,154
239,59,153
240,59,154
241,59,150
242,59,150
243,59,149
244,59,148
245,59,149
246,59,147
247,59,147
248,59,147
249,59,145
250,59,145
251,59,145
252,59,145
253,59,145
254,59,144
255,59,144
256,59,144
257,59,144
258,59,144
259,59,144
260,59,144
261,59,144
262,59,144
263,58,142
264,58,143
265,58,143
266,58,142
267,58,142
268,58,142
269,58,142
270,58,143
271,58,143
272,58,142
273,58,142
274,58,142
275,58,142
276,58,140
277,58,140
278,58,140
279,58,138
280,58,139
281,58,139
282,58,139
283,58,140
284,58,140
285,58,139
286,58,139
287,58,138
288,58,138
289,58,138
290,58,138
291,58,138
292,58,138
293,58,139
294,58,139
295,58,139
296,58,139
297,58,139
298,58,138
299,58,138
300,58,137
301,58,137
302,58,135
303,58,135
304,58,135
305,58,135
306,58,135
307,58,136
308,58,136
309,58,134
310,58,134
311,58,133
312,58,134
313,58,135
314,58,135
315,58,135
316,58,135
317,58,135
318,58,135
319,58,134
320,58,133
321,58,133
322,58,132
323,58,132
324,58,133
325,58,133
326,58,133
327,58,131
328,58,131
329,58,131
330,58,132
331,58,132
332,58,131
333,58,130
334,58,130
335,58,130
336,58,129
337,58,129
338,58,128
339,58,128
340,58,128
341,58,128
342,58,128
343,58,128
344,58,128
345,58,128
346,58,127
347,58,127
348,58,127
349,58,127
350,58,127
351,58,127
352,58,127
353,58,125
354,58,125
355,58,125
356,58,125
357,58,125
358,58,125
359,58,125
360,58,124
361,58,124
362,58,124
363,58,121
364,58,121
365,58,120
366,58,120
367,58,121
368,58,120
369,58,120
370,58,120
371,58,119
372,58,119
373,58,119
374,58,119
375,58,119
376,58,119
377,58,119
378,58,118
379,58,118
380,58,118
381,58,118
382,58,118
383,58,118
384,58,118
385,58,117
386,58,117
387,58,117
388,58,117
389,58,116
390,58,117
391,58,118
392,58,117
393,58,117
394,58,117
395,58,116
396,58,115
397,58,115
398,58,115
399,58,115
400,58,115
401,58,115
402,58,115
403,58,114
404,58,114
405,58,114
406,58,115
407,58,115
408,58,114
409,58,114
410,58,114
411,58,114
412,58,113
413,58,113
414,58,112
415,58,111
416,58,111
417,59,111
418,59,111
419,59,110
420,59,111
421,59,111
422,59,111
423,59,113
424,59,113
425,59,113
426,59,110
427,59,109
428,59,109
429,59,108
430,59,108
431,59,108
432,59,108
433,59,108
