step,split_counties,split_munis
0,64,284
1,64,282
2,64,282
3,64,279
4,64,278
5,64,278
6,64,278
7,64,277
8,64,270
9,64,270
10,64,266
11,64,265
12,64,265
13,64,264
14,64,264
15,64,264
16,64,264
17,64,260
18,64,259
19,64,259
20,64,259
21,64,259
22,64,259
23,64,259
24,63,257
25,63,256
26,63,255
27,63,254
28,63,254
29,63,254
30,63,254
31,63,254
32,63,254
33,63,251
34,63,250
35,63,247
36,63,246
37,63,244
38,63,243
39,63,243
40,63,243
41,63,242
42,63,242
43,62,240
44,62,240
45,62,239
46,62,239
47,62,235
48,62,235
49,62,235
50,62,233
51,62,233
52,62,232
53,62,231
54,62,229
55,62,227
56,62,225
57,62,224
58,62,224
59,62,221
60,62,221
61,62,221
62,62,221
63,62,218
64,62,217
65,62,217
66,62,217
67,62,211
68,62,210
69,62,210
70,62,209
71,62,209
72,62,209
73,62,208
74,62,208
75,62,208
76,62,207
77,62,206
78,62,206
79,62,206
80,62,205
81,62,205
82,62,205
83,62,205
84,62,203
85,62,204
86,62,204
87,62,204
88,62,201
89,62,201
90,62,201
91,62,201
92,62,201
93,62,201
94,62,201
95,62,201
96,62,201
97,61,203
98,61,202
99,61,202
100,61,204
101,61,204
102,61,204
103,61,204
104,61,204
105,61,204
106,61,204
107,61,204
108,61,204
109,61,204
110,61,204
111,61,204
112,61,204
113,61,204
114,61,204
115,61,204
116,61,201
117,61,201
118,61,201
119,61,198
120,61,198
121,61,198
122,61,196
123,61,196
124,61,196
125,61,196
126,61,196
127,61,196
128,61,196
129,61,196
130,61,195
131,61,194
132,61,195
133,61,195
134,61,195
135,61,193
136,61,191
137,61,191
138,61,191
139,61,191
140,61,191
141,61,191
142,61,191
143,61,191
144,61,190
145,60,190
146,60,189
147,60,189
148,60,189
149,60,189
150,60,189
151,60,188
152,60,187
153,60,186
154,60,186
155,60,183
156,60,183
157,60,183
158,60,182
159,60,182
160,60,182
161,60,178
162,60,178
163,60,176
164,60,177
165,60,177
166,60,177
167,60,176
168,60,176
169,60,174
170,60,173
171,60,173
172,60,173
173,60,173
174,60,173
175,60,173
176,60,173
177,60,173
178,60,173
179,60,173
180,60,173
181,60,173
182,60,173
183,60,173
184,60,173
185,60,175
186,60,175
187,60,175
188,60,175
189,60,175
190,60,173
191,60,173
192,60,173
193,59,173
194,59,173
195,59,173
196,58,173
197,58,173
198,58,171
199,58,171
200,58,171
201,58,168
202,58,167
203,58,167
204,58,166
205,58,164
206,58,164
207,58,163
208,58,163
209,58,165
210,58,165
211,58,164
212,58,162
213,58,161
214,58,161
215,58,161
216,58,161
217,58,161
218,58,159
219,58,158
220,58,156
221,58,155
222,58,155
223,58,155
224,58,155
225,58,155
226,58,155
227,58,155
228,58,153
229,58,153
230,58,152
231,58,152
232,58,152
233,58,152
234,58,152
235,57,150
236,57,148
237,57,148
238,57,148
239,57,148
240,57,147
241,57,147
242,57,147
243,57,147
244,57,147
245,57,147
246,57,145
247,56,145
248,56,145
249,56,145
250,56,145
251,56,145
252,56,145
253,56,143
254,56,143
255,56,143
256,56,143
257,56,141
258,56,140
259,56,141
260,56,140
261,56,141
262,56,141
263,56,141
264,56,141
265,56,140
266,56,140
267,56,138
268,56,137
269,56,136
270,56,136
271,56,136
272,56,136
273,56,135
274,56,135
275,56,134
276,56,134
277,56,134
278,56,133
279,56,134
280,56,134
281,56,134
282,56,134
283,56,134
284,56,130
285,56,130
286,56,130
287,56,130
288,56,130
289,56,130
290,56,129
291,56,128
292,56,125
293,56,125
294,56,125
295,56,125
296,56,125
297,56,125
298,56,125
299,56,125
300,56,124
301,56,124
302,56,124
303,56,124
304,56,124
305,56,124
306,56,124
307,56,123
308,56,123
309,56,123
310,56,123
311,56,124
312,56,124
313,56,123
314,56,123
315,56,123
316,56,120
317,56,120
318,56,120
319,56,120
320,56,119
321,56,119
322,56,117
323,56,117
324,56,118
325,56,117
326,56,117
327,56,117
328,56,118
329,55,117
330,55,117
331,55,117
332,55,118
333,55,118
334,55,118
335,55,119
336,55,119
337,55,118
338,55,117
339,55,117
340,55,117
341,55,117
342,55,118
343,55,118
344,55,117
345,55,117
346,55,118
347,55,118
348,55,115
349,55,115
350,55,115
351,55,115
352,55,115
353,55,115
354,55,114
355,55,114
356,55,114
357,55,114
358,55,114
359,55,114
360,55,114
361,55,114
362,55,114
363,55,114
364,55,114
365,55,114
366,55,114
367,55,114
368,55,114
369,55,114
370,55,114
371,55,115
372,55,114
373,55,114
374,55,114
375,55,114
376,55,114
377,55,114
378,55,113
379,55,113
380,55,111
381,55,110
382,55,110
383,55,110
384,55,110
385,55,110
386,55,110
387,55,109
388,55,108
389,55,108
390,55,108
391,55,108
392,55,108
393,55,108
394,55,108
395,55,108
396,55,108
397,55,107
398,55,108
399,55,109
400,55,109
401,55,109
402,55,109
403,55,109
404,55,109
405,55,109
406,54,110
407,54,110
408,54,110
409,54,110
410,54,110
411,54,110
412,54,110
413,54,110
414,54,110
415,54,109
416,54,109
417,54,109
418,54,109
419,54,109
420,54,108
421,54,108
422,54,108
423,54,109
424,54,109
425,54,109
426,54,108
427,54,108
428,54,109
429,54,108
430,54,109
431,54,110
432,54,110
433,54,110
434,54,110
435,54,110
436,54,110
437,54,109
438,54,109
439,54,108
440,54,108
441,54,108
442,54,108
443,54,108
444,54,108
445,54,108
446,54,108
447,54,108
448,54,108
449,54,108
450,54,108
451,54,108
452,54,108
453,54,108
454,54,108
455,54,108
456,54,108
457,54,108
458,54,108
459,54,108
460,54,108
461,54,108
462,54,108
463,54,108
464,54,108
465,54,108
466,53,108
467,53,108
468,53,108
469,52,107
470,52,107
471,52,107
472,52,107
473,52,107
474,52,108
475,52,108
476,52,107
477,52,107
478,52,107
479,52,107
480,52,107
481,52,107
482,52,107
483,52,107
484,52,107
485,52,108
486,52,108
487,52,106
488,52,106
489,52,105
490,52,105
491,52,105
492,52,106
493,52,107
494,52,107
495,52,106
496,52,106
497,52,104
498,52,102
499,52,103
500,52,103
501,52,103
502,52,103
503,52,103
504,52,103
505,52,103
506,52,103
507,52,103
508,52,103
509,52,103
510,52,103
511,52,102
512,52,102
513,52,102
514,52,102
515,52,102
516,52,101
517,52,101
518,52,102
519,52,102
520,52,102
521,52,102
522,52,102
523,52,102
524,52,102
525,52,102
526,52,102
527,52,102
528,52,102
529,52,103
530,52,103
531,52,103
532,52,103
533,52,103
534,52,102
535,52,102
536,52,102
537,52,102
538,52,102
539,52,102
540,52,102
541,52,101
542,52,101
543,52,101
544,52,101
545,52,101
546,52,101
547,52,100
548,52,100
549,52,100
550,52,100
551,52,100
552,52,100
553,52,100
554,52,100
555,52,100
556,52,100
557,52,100
558,52,100
559,52,100
560,52,99
561,52,100
562,52,100
563,52,100
564,52,100
565,52,100
566,52,100
567,52,99
568,52,99
569,52,99
570,52,98
571,52,98
572,52,97
573,52,97
574,52,97
575,52,97
576,52,97
577,52,97
578,52,97
579,52,97
580,53,97
581,53,97
582,53,97
583,52,97
584,52,97
585,52,97
586,52,97
587,52,97
588,52,95
589,52,95
590,52,95
591,52,95
592,52,94
593,52,93
594,52,93
