step,split_counties,split_munis
0,64,282
1,64,280
2,64,279
3,64,278
4,64,277
5,64,277
6,64,277
7,64,275
8,64,276
9,64,275
10,64,275
11,64,273
12,64,273
13,64,272
14,64,270
15,64,270
16,64,269
17,64,267
18,64,265
19,64,264
20,64,264
21,63,264
22,63,264
23,63,262
24,63,262
25,63,260
26,63,257
27,63,255
28,63,255
29,63,252
30,63,251
31,63,251
32,62,249
33,62,247
34,62,247
35,62,246
36,62,245
37,62,245
38,62,243
39,62,244
40,62,244
41,62,239
42,62,239
43,61,238
44,61,238
45,61,238
46,61,238
47,61,234
48,61,232
49,61,232
50,61,231
51,61,231
52,61,230
53,61,230
54,61,229
55,61,229
56,61,228
57,61,225
58,61,225
59,61,224
60,60,222
61,60,220
62,60,221
63,60,217
64,60,217
65,60,216
66,60,216
67,60,216
68,60,215
69,60,214
70,60,214
71,60,214
72,60,211
73,60,211
74,60,211
75,60,210
76,60,207
77,60,207
78,60,207
79,60,206
80,60,206
81,60,205
82,60,205
83,60,203
84,60,203
85,60,202
86,60,202
87,60,200
88,60,198
89,60,198
90,60,198
91,60,195
92,60,195
93,60,195
94,60,194
95,60,194
96,60,194
97,60,194
98,60,195
99,60,195
100,60,195
101,60,195
102,60,194
103,60,194
104,60,194
105,60,193
106,60,193
107,60,192
108,60,192
109,60,191
110,60,189
111,60,188
112,60,188
113,60,185
114,60,185
115,60,185
116,60,185
117,60,185
118,60,184
119,60,184
120,60,184
121,60,184
122,60,184
123,60,184
124,60,184
125,60,183
126,60,183
127,59,181
128,59,179
129,59,179
130,59,179
131,59,178
132,59,178
133,58,177
134,58,177
135,58,176
136,58,176
137,58,176
138,58,174
139,58,174
140,58,173
141,58,173
142,58,173
143,58,173
144,58,172
145,57,172
146,57,171
147,57,171
148,57,171
149,57,169
150,57,169
151,57,169
152,57,169
153,57,169
154,56,167
155,56,167
156,56,167
157,56,167
158,56,168
159,56,168
160,56,167
161,56,165
162,56,165
163,56,165
164,56,165
165,56,163
166,56,163
167,56,161
168,56,159
169,56,159
170,56,159
171,56,160
172,56,159
173,56,159
174,56,159
175,56,153
176,56,153
177,56,154
178,56,151
179,56,151
180,56,150
181,56,150
182,56,150
183,56,150
184,56,150
185,56,148
186,56,147
187,56,147
188,56,147
189,56,147
190,56,147
191,56,147
192,56,147
193,56,146
194,56,146
195,56,146
196,56,146
197,56,146
198,56,146
199,56,146
200,56,144
201,56,144
202,56,141
203,56,142
204,56,142
205,56,142
206,56,142
207,56,143
208,56,143
209,55,142
210,55,142
211,55,142
212,55,142
213,55,142
214,55,143
215,55,143
216,55,143
217,55,142
