step,split_counties,split_munis,P1s,P2s,Ds
0,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
1,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
2,64,286,0.05918121770268947,0.672051271304227,0.5542929292929293
3,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
4,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
5,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
6,64,286,0.05791859144006317,0.6619502612032171,0.553030303030303
7,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
8,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
9,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
10,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
11,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
12,64,287,0.05918121770268947,0.6518492511022069,0.5542929292929293
13,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
14,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
15,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
16,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
17,64,288,0.05918121770268947,0.6518492511022069,0.5542929292929293
18,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
19,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
20,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
21,64,289,0.05918121770268947,0.6518492511022069,0.5542929292929293
22,64,293,0.05918121770268947,0.6518492511022069,0.5542929292929293
23,64,292,0.05918121770268947,0.6518492511022069,0.5542929292929293
24,64,289,0.05791859144006317,0.6619502612032171,0.553030303030303
25,64,290,0.05791859144006317,0.6619502612032171,0.553030303030303
26,64,292,0.05791859144006317,0.6619502612032171,0.553030303030303
27,64,292,0.05791859144006317,0.6619502612032171,0.553030303030303
28,64,292,0.05791859144006317,0.6619502612032171,0.553030303030303
29,64,292,0.05791859144006317,0.6619502612032171,0.553030303030303
30,64,294,0.05791859144006317,0.6619502612032171,0.553030303030303
31,64,296,0.05791859144006317,0.6619502612032171,0.553030303030303
32,64,296,0.05791859144006317,0.6619502612032171,0.553030303030303
33,64,293,0.05791859144006317,0.6619502612032171,0.553030303030303
34,64,293,0.05791859144006317,0.6619502612032171,0.553030303030303
35,64,293,0.05791859144006317,0.6619502612032171,0.553030303030303
36,64,293,0.05791859144006317,0.6619502612032171,0.553030303030303
37,64,293,0.05791859144006317,0.6619502612032171,0.553030303030303
38,64,293,0.055393338914810686,0.6821522814052372,0.5505050505050505
39,64,294,0.055393338914810686,0.6821522814052372,0.5505050505050505
40,64,296,0.055393338914810686,0.6821522814052372,0.5505050505050505
41,64,295,0.055393338914810686,0.6821522814052372,0.5505050505050505
42,64,295,0.055393338914810686,0.6821522814052372,0.5505050505050505
43,64,296,0.055393338914810686,0.6821522814052372,0.5505050505050505
44,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
45,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
46,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
47,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
48,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
49,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
50,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
51,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
52,64,297,0.05413071265218439,0.6922532915062474,0.5492424242424242
53,64,298,0.05413071265218439,0.6922532915062474,0.5492424242424242
54,64,298,0.05413071265218439,0.6922532915062474,0.5492424242424242
55,64,299,0.05413071265218439,0.6922532915062474,0.5492424242424242
